Environment: LunarLander-v2
Agent: A2C
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 960.7698833942413 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-2568.6813537967996	11.501866560641986
2	-2007.4249329209804	-64.7928693113459
3	-644.0780327802883	-384.91817814778494
4	-504.8928176149549	-411.12585000032055
5	-289.25576948095954	7.640911017800363
6	-1031.1443988646242	-241.82016553863957
7	-724.430753845246	-139.94710157695494
8	-2248.570628921627	-99.05522182633325
9	-634.0832216965442	-926.339625400414
10	-602.3874335585044	-333.17346583927053
11	-1316.5701641213034	8.561989575404795
12	-308.8309586829905	-1068.5110132824393
13	-362.76181449427054	-519.3630034525914
14	-6070.640253629351	-177.16276315707265
15	-620.0260415601934	-292.301585906223
16	-3762.0881339949797	156.20440171600154
17	-2767.210673394511	-180.5450377575413
18	-2020.2097863602771	-246.80221513723095
19	-528.9386340179342	-344.3281833203825
20	-2057.6553118456095	-58.49222254112203
21	-837.5836587458989	-56.624110562266594
22	-2071.079071653958	-226.39172775223534
23	-631.2046638376547	-284.0139121911632
24	-638.0476753339759	-40.671808151404605
25	-381.83930475286564	-45.86356295295957
26	-2442.2713085630317	-215.97729512843534
27	-434.56913053469617	246.26213337969534
28	-370.9734557212065	-177.1081499434067
29	-888.6691653534283	12.999055729331104
30	-693.5349065961293	-298.62975613221863
31	-378.8468825082209	-60.822344537023895
32	-248.1366431782388	-186.5787103954313
33	-392.4771430493227	-198.69031358721824
34	-470.26308229245825	-273.89564329681264
35	-191.21784096750423	-51.15936024599989
36	-1547.244244646375	-10.86230384101411
37	-822.2501712875962	-457.1357374275125
38	-763.4240803019786	-265.38664637885853
39	-303.6998116108532	-196.6268570456943
40	-1708.8547143587248	-200.04042675421385
41	-240.95601933603257	-622.4341162918759
42	-338.0102510035954	-256.2853168905351
43	-536.2569418285032	-792.8127344495431
44	-522.3552452583209	-936.3739692513868
45	-633.11473870531	-328.1197516338865
46	-731.9002582189225	-209.2244770775645
47	-1513.8594846289145	-286.35994722459634
48	-248.54918756997472	-345.9647294901983
49	-355.61102518020255	-1047.6591683470574
50	-649.1449459257384	-628.3176613014384
51	-406.794175069877	-294.8710296283078
52	-551.4211755495613	-930.211232264129
53	-902.83303032095	-395.79990522266644
54	-469.84631480429675	-148.49899585110222
55	-351.84388506390246	-476.3848842133712
56	-1631.997537598688	-121.80471384682039
57	-428.5312006235746	-448.3243979673887
58	-1194.8725720465238	-309.262569538175
59	-170.69360886064055	-316.5503765158272
60	-554.3424409614461	-293.6006945802267
61	-512.9714474802872	-280.44830717500975
62	-328.47047026774135	-4.5776834200834315
63	-230.4791303020697	-229.63155995193875
64	-12.791849425093842	-50.35873432448726
65	-212.37473477697404	-312.46409183786454
66	-387.1520223978249	-17.05270839012131
67	-243.93778644494967	-27.59298152691524
68	-200.615083875475	-114.65368867367458
69	-206.5838882640878	-368.652769620446
70	-332.0565290846903	3.17758222405088
71	-219.7667373065301	-97.42772085338237
72	-152.79840948756024	-57.40999772009927
73	-319.7731780236768	-39.245554987141034
74	-475.0348628626225	-39.1490934556826
75	-394.8465479297841	-19.080410820347012
76	-300.62677627542575	-10.925111775592157
77	-190.93301161600652	-41.93702914653559
78	-362.7558408466944	-235.2845122245402
79	-166.8676534258874	17.85015202359476
80	-210.53112775581474	-41.40383804131439
81	-200.36284555704995	-38.39848177798912
82	-173.62287938445354	-66.13670749769172
83	-138.47315322058176	-247.45317753923123
84	-204.60684954184615	-28.16870783937304
85	-366.0786351083034	-162.385018101618
86	-211.59833680515342	-230.0041243157385
87	-17.117201504001727	-0.12514692886412604
88	-115.35379441535319	-146.28057550189268
89	-173.06925101576758	-4.069861709124126
90	-337.8725695646915	-257.57925798539725
91	22.6901500054924	-36.302025618201796
92	-199.49163400501794	-312.74017510280623
93	-263.8486684445844	-27.031226648023946
94	-12.65061892428259	-92.78802346325956
95	-72.3519362386579	-229.166433988146
96	-437.3182597456715	-147.21725460683723
97	-73.19639016099146	-23.198348038394855
98	-228.7295596692393	-225.52957741514192
99	-76.09931187829052	92.37127759002979
100	-239.39224566160388	-13.281085026130626
101	-234.3996020112805	-74.49647607824008
102	-171.23297080695107	-65.72937099227997
103	-234.37709795309763	-47.23300046154428
104	-19.375739453275614	-209.60183887028327
105	-110.66313483475908	-177.27299216860183
106	-192.9453923769247	-18.62075577238025
107	-334.4053936798774	-182.583583208344
108	-165.71910832268577	31.15880818222996
109	-168.0631182255621	-1.5227832413397095
110	-75.00407429758556	-22.695301236896782
111	-238.71598034555666	-11.249673735244173
112	-173.03432306939817	-39.29774729109239
113	-158.40269537740184	-30.88977584975713
114	-143.8325523838737	20.733243045885132
115	-307.099815817975	13.87258045679333
116	-191.13084093422725	-10.447582698863869
