Environment: LunarLander-v2
Agent: A2C
Experiment: gravity_experiment
Parameter: Gravity = -10
Time Taken: 673.5235643386841 seconds
Episodes: 790 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-398.30213701868803	-1030.340501040881
2	-96.04800763619569	-880.3531879820721
3	-356.5764455348533	-1171.2323308396446
4	-136.5526611879538	-671.0280410404521
5	-122.6955903150327	-1255.4903790968162
6	-370.60016946430426	-565.6799683162427
7	-125.9839318546569	-579.1534775263033
8	-335.5382341857311	-532.0824855043497
9	-298.09763058569854	-697.1257856899326
10	-172.08242582119988	-682.4139107749977
11	-74.18033924250915	-650.6717608543144
12	-95.05761508542113	-345.7387178462609
13	-136.81062115346424	-568.3591990285752
14	-270.1013652501782	-609.6930642340485
15	-321.02127453119533	-527.0910575741038
16	-82.72987411488776	-619.1405363146102
17	-168.3690590659188	-793.4371948237615
18	-129.31518415379776	-166.66187922413755
19	-8.496228822163275	-639.681640440407
20	-0.4796515181771781	35.26243092854685
21	-225.99203197840123	-454.92839149485116
22	-268.0935559106922	-585.1002244084011
23	-275.89141508643013	-269.2717178034986
24	-133.99485324894636	-829.2870856005594
25	-271.96869438431827	-1078.5617704613894
26	-245.06081727360973	-682.0598522160778
27	-168.1111862862657	-193.37867366549852
28	-213.2933138442715	-664.7516206132001
29	-92.29630269517105	-545.9510419251978
30	-195.03984539976523	-935.8402939026555
31	-113.4777942712291	-214.3237021269075
32	-118.84098736113359	-932.3648242904303
33	-125.00997363744825	-183.5831789699563
34	-112.77327932978513	-176.40367013432962
35	-138.7119606508561	-238.5889204353954
36	-131.85943521001153	-187.7474230409835
37	62.930588728414676	-223.5070676917432
38	-327.3503345080185	-1120.255196608269
39	-389.55849432938913	-2616.478148941656
40	-116.69014069451354	-179.52203265020268
41	-139.2842068805118	-625.0984289217171
42	-99.91102858450392	-649.0531480566893
43	-127.16597087569869	-716.4150029426676
44	-112.74182121742702	-489.01911954193406
45	-93.07714522313299	-1082.5291317445894
46	-127.96759325040877	-555.7570840154586
47	-194.91057920706584	-3038.795571731422
48	-138.02475625036578	-548.7856928416829
49	-128.77715131622082	-631.4621524645033
50	-96.36194541814598	-793.5284733957466
51	-105.50584842223276	-575.7887136711906
52	-13.901899651143694	-1567.6730337448585
53	-209.73204844189254	-1362.1863186459893
54	-97.3135642155479	-776.3069673542504
55	-79.15291834943685	-760.5383317236555
56	-206.476029279876	-583.55801549496
57	-155.4845478266525	-1824.2371898880226
58	-179.98451995781835	-576.8513667372044
59	-63.1532541042981	-543.8101237714372
60	-90.32095423857407	-761.2895288332743
61	-163.1322174292321	-793.3194117808124
62	-257.3781941707773	-583.9469521456367
63	-210.6391516117306	-689.9428754551542
64	-76.04394096416846	-542.7196367523602
65	-118.82852589708965	-729.7725463705835
66	-350.41980293694576	-527.1992464326745
67	-210.7161631158895	-549.6870029915531
68	-260.8848234342088	-3111.7656206626375
69	-311.58500937959764	-548.6796576948036
70	43.757260232628255	-703.8495416746083
71	-95.84908720565875	-663.5993197485432
72	-59.583490321543664	-596.9792749720923
73	-122.09778786540822	-927.2214481206578
74	-75.15843892663676	-555.60994699868
75	-218.49881134611942	-649.7684608345498
76	-97.47078080673445	-758.9431274031041
77	-357.74301376355027	-873.4098782076616
78	-168.5443031833483	-569.6737122113257
79	-44.61523896758515	-471.7225369810176
80	-145.27418237939824	-434.89774876583675
81	-181.2912550659978	-405.74066452976973
82	-99.80488057015079	-2150.837773868188
83	-51.73087077183898	-807.4980846960922
84	-60.473546094104314	-1936.080079572826
85	-74.91182157122802	-1203.2237370422445
86	-0.7523310152661651	-957.5824406478239
87	-179.30105805453042	-1117.5534723793694
88	-82.51815973240774	-2238.9122383014064
89	-83.68019181223741	-558.4076228054051
90	-118.77329897037322	-450.1331771761668
91	-133.87699161812083	-842.7045445919722
92	-141.85853910468347	-541.543394251006
93	-58.4355044282815	-264.5897359429433
94	53.19766840007222	-735.7478425706012
95	-197.85566275993492	-689.7829131665018
96	-163.28593034459703	-1115.5788358916343
97	-403.7453589426118	-373.5285126033882
98	-108.27010138494181	-521.5746814484442
99	-261.4911250519059	-496.60022034785044
100	-266.7428189263271	-876.582050985089
101	-37.45834563626086	-493.73335433510977
102	-200.31354386371328	-1102.741729754678
103	-103.68303321250174	-497.54944892703276
104	-90.19102435308594	-3013.005338615829
105	-294.8587272485067	-376.46975686381904
106	-424.09703751454583	-1562.119680078822
107	-668.9109571942057	-3948.3010598028827
108	-283.9880308997416	-623.4711086634254
109	-205.45703289041955	-725.7440768412102
110	-66.22910732299296	-323.70699876519404
111	-233.78525952361676	-958.7074548458045
112	-387.34340481472043	-569.9649794963874
113	-40.69552620967167	-850.4599614575126
114	-95.61620208506295	-498.16804469592614
115	-237.4625119830496	-636.1264467162592
116	-543.3565473761766	-3810.65186011134
117	-284.8771360924287	-2518.9743867605325
118	-119.71212197087203	-467.77861287032283
119	-141.5177603920399	-1171.320813595807
120	-278.6937093943198	-415.624744420749
121	9.363509363817471	-1173.847547237457
122	-68.99762515119873	-1916.8233442754802
123	-106.85192306716725	-1453.0652527636196
124	-254.9066649924027	-290.6345290692965
125	-230.29834955175727	-1532.794226523021
126	-18.644869689612094	-1597.2939120377866
127	-224.4192718169678	-333.13451091716365
128	-3.1411295980205978	-1848.9230597242588
129	-141.061224183612	-1476.1446389723321
130	-30.809208593565913	-2131.5948150027434
131	-2.7033232981222426	-919.9280224842496
132	-87.3103265920936	-4764.959836738582
133	-97.51540448260924	-817.1048140241261
134	-201.08728368607353	-1443.3309626886125
135	-205.26465438143507	-1233.591998790239
136	-89.93935709491711	-1439.8801755231525
137	-31.87164421298924	-1864.3280659107131
138	-294.0037849954115	-1938.7769680431388
139	-128.07531357750076	-1327.603681384866
140	-181.27243418293642	-1812.3256875987006
141	-238.6333254733515	-1285.4809749374406
142	-180.81707861026968	-1301.3729662696314
143	-60.051450385338356	-1023.2442224826327
144	-130.66191954800206	-254.75995804968727
145	-18.43742042772857	-1123.010013620119
146	-5.16591267759415	-1464.3536630138763
147	-70.56812666804566	-591.1367455954432
148	-23.614284548288097	-618.9649979146833
149	-56.503373969189674	-266.72309665271234
150	-80.71984517221173	-744.5957802624966
151	-67.20253737083831	-605.1553599240168
152	1.2975803136007187	-815.8459493984955
153	-77.15617620696766	-277.89771664443765
154	-39.19760552490122	-379.22873013763893
155	-52.20338871984098	-1132.1185994620732
156	-87.71055585008125	-780.7979041304546
157	-77.95097723166776	-1060.1524700860891
158	26.516722429463016	-687.9856385602648
159	-240.00785248810945	-1066.859032142935
160	1.107172887186465	-1535.1537497454985
161	-208.30447941242898	-838.5734194786203
162	-217.83693205610433	-564.5302087262451
163	-52.59662411024788	-700.8009818594039
164	-154.39445578242035	-1135.2115298427047
165	-51.003776448200995	-1332.04173620579
166	-2.901289387794364	-832.3697742841155
167	-22.93197371855969	-805.6879463998733
168	62.75177409938533	-1331.063773776255
169	-251.8163090011792	-728.9974043844745
170	-194.76015807223772	-808.9723763343193
171	-227.4182904633713	-1572.198641918561
172	-847.3209192652678	-504.8453753080201
173	-93.592445718494	-1051.4196526816158
174	-192.03729890200898	-687.0852597685513
175	-59.65741300535936	-674.4344429227448
176	22.873600162669874	-1636.223747854627
177	-97.27384374090535	-2571.293267545907
178	-93.09602596200892	-1381.9045647222333
179	30.4326517126405	-1320.0404263508901
180	-32.58864921361811	-755.4655415447149
181	-80.20349168147891	-1503.9394972268324
182	-27.8601677744672	-1939.3351805884959
183	27.35104252109413	-394.6313525175364
184	-66.59021412795569	-358.0736713096578
185	11.048870825151965	-526.6901872083938
186	-35.32792998524101	-851.3597280485868
187	-69.63525263337706	-900.9663426920506
188	62.8369978697268	-825.8028020145167
189	-49.67234401631811	-569.2890693763948
190	-85.86468128329827	-548.906379278025
191	2.8865883135695185	-488.297136686894
192	-112.60782408416077	-380.74957528354895
193	11.513916256162602	-421.246449016655
194	-171.87291231845893	-490.1819620819596
195	-43.0021379638556	-378.7668456487552
196	-149.282418497924	-398.0046645831726
197	-165.21873370748733	-321.2917807141822
198	-122.49157748098227	-425.13607632864694
199	-178.92077270883448	-453.074019100744
200	-343.1587114674368	-310.9752431376882
201	-149.8226122338338	-579.9397967832672
202	-73.96898589419882	-322.09483667238203
203	-105.31929309622605	-510.83708985025027
204	-17.83267891630784	-252.3850243974362
205	-170.14956892553408	-413.82353756452824
206	-71.53523753839792	-426.89973923481165
207	-138.49328730424702	-1181.2638781458863
208	-59.43097680383997	-550.2220837879072
209	-98.92238214441176	-1487.64519316248
210	0.7946866549724376	-1571.6929866582748
211	-107.40353287843571	-1742.537780172241
212	-204.81338840616712	-1350.664317796527
213	4.340575772622287	-697.2149698522626
214	-115.68119732465267	-660.3337642446945
215	33.52770671099404	-1213.6144253214616
216	-41.736223116661776	-786.6438572139078
217	13.46321027632554	-1007.8602380406032
218	3.0512099718422405	-762.6027847993298
219	-65.10681660522548	-852.4672573139827
220	-143.8966755238911	-568.4104424112247
221	32.77151805426496	-806.2463461845513
222	0.12230803730173534	-581.7281347679038
223	-29.28267714728642	-883.2206786260248
224	-20.34687161086653	-678.0796452759738
225	-29.313251096932262	-753.8397990305778
226	-145.8030719720777	-701.3702976221435
227	-1.4095138797094222	-575.2644963043444
228	-319.5585784480077	-455.72304693914475
229	26.027502635639934	-499.02022486958225
230	-0.2017494165549465	-321.386818413128
231	-238.84312575944114	-570.5081195298045
232	-41.29988961462735	-523.0216167926012
233	44.20168649903466	-499.70186450249173
234	40.06438442821127	-511.354431401854
235	-8.979492754383472	-409.01221924133915
236	20.914884525399096	-446.3086231847115
237	-33.16535551760954	-340.30881936570734
238	12.28390620349758	-364.9119241709395
239	-18.786613737114447	-447.2445231689295
240	-60.84020165886598	-482.7443678938517
241	-19.34168103179215	-540.6389078942852
242	-35.64185663380647	-418.6523826424817
243	-23.77714757043023	-566.9456056893484
244	-8.157736305564129	-643.610997012236
