Environment: LunarLander-v2
Agent: A2C
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-97.36870966585865	-144.9899673943679
2	-349.1060043017613	-155.97567475110367
3	-490.00999418047076	-188.73255830216138
4	-213.76422959045698	-116.54106033908872
5	-359.323306699107	12.868006847315215
6	-88.9822071594873	-107.16577090583608
7	-159.75753021063775	-153.93320670233499
8	-194.49985450373163	-157.29644186042833
9	-198.99901504935536	-107.14259531583153
10	-6.8496144212323316	-105.03941250168069
11	-217.14518914784463	-127.39706412878877
12	-133.45840158850783	-140.25864559738224
13	-124.33878940628047	-126.01331095497571
14	-159.4471980098845	-143.60199879030293
15	-179.47953850592222	-151.68988408392795
16	-140.94320867841975	-174.0474867645933
17	-129.22114584011806	-150.85685794214984
18	-86.53033786655693	-133.02430287921632
19	-253.14490577673644	-124.2625788491235
20	-177.3673800925478	-104.66903396807076
21	-196.60481713834957	-152.42530654060846
22	-194.25338703457908	-143.31397740799542
23	-209.00706805034758	-123.22948233005849
24	-98.58727749634762	-137.21526617627364
25	-57.6878556092786	-178.96852679812213
26	-167.96387282491798	-98.68869438764644
27	-113.08396750779582	-107.35527490936471
28	-156.71206004306225	-143.1142866943701
29	-139.2167674560411	-113.28628125653528
30	-160.91370131209183	-316.00158454482425
31	-77.77201789158428	-95.40789645444633
32	-92.7097587179761	-108.1460041905352
33	-107.55091584107734	-351.6468473735
34	-129.4961155179455	-151.4595271659415
35	-51.360877992190865	-115.4634474869996
36	-162.8196440343129	-192.44471237672647
37	-131.42216455355268	-106.92668476617992
38	-82.44338668275131	-108.68162119467317
39	-103.15630367956726	-182.12761693320687
40	-151.49802770656552	-113.55832722867656
41	-218.12782324425186	-422.0057020114362
42	-160.03056836448877	-82.86516396921601
43	-94.7093942396582	-100.84881855040146
44	-95.07694961169466	-64.76072701737665
45	-125.349643468204	-104.29565914841758
46	-240.12617901931054	-140.06777662551505
47	-112.9781776369128	-189.2087751825486
48	-104.29888994640251	-162.49421155849842
49	-90.3847665115706	-221.46529829732646
50	-185.86695933154124	-202.74554959075002
51	-132.34858200074606	-135.65187919229825
52	-54.69354100021846	-174.29680338744677
53	-40.004456352957234	-193.60397649826535
54	-78.44230998765399	-324.659487717816
55	-105.08171312058806	-354.88185719881324
56	-106.51685957431529	-421.5783669181671
57	-59.943164795668196	-360.06843438502233
58	-213.47998715239558	-300.6419765473774
59	-378.82419175990987	-390.4587234403093
60	-252.9306588733901	-372.67309490959786
61	-213.5512945949725	-409.950962666578
62	-385.00131142033536	-165.3356376363049
63	-173.24314555807297	-397.83249214809035
64	-128.35653005908853	-448.7347367553438
65	-96.23114902226324	-193.68231973433228
66	-131.9223672598102	-353.1096635909344
67	-134.6518197001983	-385.2961148928794
68	-144.03584807792564	-381.1163627495052
69	-242.71500608112797	-353.9186171749816
70	-120.48940854613836	-595.0056711350444
71	-265.0057349897073	-436.8169519699323
72	-131.19090612537957	-479.3385839967813
73	-180.28114040903267	-399.5625835921094
74	-174.94634317743146	-456.0479994526791
75	-32.070093299241464	-471.3109839989166
76	-44.633943295600105	-510.8331827044798
77	-2.2354164856976837	-453.5957248894774
78	-194.07857453679125	-507.80037446379635
79	-42.67576967822281	-661.0084609980048
80	-116.50465063416993	-1127.0630740224788
81	-188.49740185679275	-1081.2294073747928
82	-70.46391333806861	-1166.5679240363208
83	-81.77592180811394	-1518.9010084226138
84	-158.44478905307872	-813.9977350945826
85	-16.847049897912726	-1274.5191342788999
86	-80.68337282693469	-706.8867349900742
87	-166.43742336392557	-1599.6430288050324
88	-161.7835212459956	-1059.0569574921496
89	-167.08625284020084	-1366.187926547187
90	-593.3409786602028	-591.6720430849492
91	-64.51522517510092	-753.2338866302653
92	-280.79900071344423	-637.7261028212744
93	-254.8243204509091	-464.2376277392494
94	-292.6239340138593	-890.9786171744593
95	-32.86293604820665	-580.6874906542446
96	-96.59232373475133	-541.004369870984
97	-86.70044956012298	-332.6693347126568
98	-245.04055535740378	-463.36582432453935
99	-52.33772656501957	-593.0359575607926
100	-280.42718067992877	-624.8512853554749
101	-40.304363783525844	-1062.477853414311
102	-226.09081109037203	-478.160371357373
103	-108.18678655605812	-457.9733261545474
104	-561.2769286824386	-505.29153253846806
105	-140.83985981564	-680.4037284251497
106	-137.7462342103349	-895.4796015826279
