Environment: LunarLander-v2
Agent: A2C
Solved in 1654 Episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-146.81467655079467	-1073.8909539128053
2	-142.019563607384	-563.2248548308826
3	-262.10841643480575	-533.9466400692711
4	-374.76895387126626	-837.4139712039589
5	-244.7318857350782	-519.8532283812768
6	-128.27748402283402	-573.6334681852829
7	-360.99369944401525	-682.4310770074588
8	-352.55593089991316	-673.8446762704908
9	-12.821969235261264	-522.0799002478041
10	-162.55426289701927	-741.0365051066057
11	-109.13713096467444	-710.4027926074041
12	-100.98927394876334	-784.6624730768407
13	-186.8118426754719	-753.2699403728352
14	-342.9165579793811	-778.5119493854413
15	-127.2428685281376	-776.1651570867014
16	-258.4798939322043	-685.7230690691255
17	-122.56082603156581	-906.4320987018682
18	-99.09225963748256	-715.5237363362562
19	-88.12710365215736	-829.4274315359664
20	-359.58123058159816	-991.3180131199458
21	-312.4816707950814	-1144.7032445964549
22	-375.7407724704218	-597.3804284645375
23	-211.94736788511057	-1282.4859781983741
24	-28.569071526269767	-748.7070307172297
25	-386.9810507990508	-650.2040021544552
26	-276.970182766879	-670.9228481972178
27	-438.8837158610068	-536.6335545795482
28	-50.52980509839465	-516.5381434791166
29	-121.93354976968104	-1411.9519942414036
30	-203.74606205100378	-1696.4188405463617
31	-273.8242058526764	-418.5981301801565
32	-317.50317002115867	-334.02929627744015
33	-33.85228541342164	-462.74264693093005
34	-49.053254873048274	-1201.2073304527623
35	-256.5723499829889	-516.6802578457434
36	-198.14837922836278	-1434.4851123894705
37	-196.2808960996375	-789.4620674584606
38	-109.86960963577735	-1459.6732087036955
39	-47.75117615535454	-668.3931503593049
40	-283.039713748801	-551.1729839984646
41	-88.31642903751685	-636.5626883553784
42	-202.56290612819708	-375.96394658936083
43	-252.11567414184577	-1192.5198650276545
44	-241.70965257376938	-994.129745083725
45	-88.91618086533428	-1186.8607629852352
46	-125.8278372846518	-1191.558413597544
47	-65.02765423399848	-464.1089352474991
48	-162.48816776839982	-499.7539085965978
49	-104.09658152646222	-581.0146707935603
50	-289.9404503068736	-679.6465580469826
51	-374.666112875084	-1032.496727302619
52	-180.0318379251809	-1046.614331549584
53	-289.33471299139194	-239.1032820232166
54	-223.52824266761905	-2105.5661981714984
55	-114.5012654924991	-646.6637055277024
56	-190.72798204684267	-500.33535343922307
57	-29.697349700092502	-479.4952595325918
58	-135.9972035331345	-638.9878915796476
59	-259.3066537167124	-528.1881502195504
60	-443.37205733621244	-893.8498438155843
61	-358.52054280794874	-678.9817838755707
62	-283.21821895437085	-870.3065827611846
63	-35.62262575753222	-898.5460014322482
64	23.28969920923518	-1777.1137733363523
65	-312.16332318971456	-2056.570891774969
66	-269.0919561919766	-1121.8616574847342
67	-118.77189467186066	-1659.0369764808318
68	-125.34412463138247	-2696.7672061267413
69	-182.98556398515063	-2120.117358453578
70	-93.32559407845717	-292.1455910610272
71	-232.76740225259468	-1368.9552624088637
72	9.389409078408633	-282.97181338611153
73	-83.58208844526445	-318.4735320504427
74	-77.23613539784938	-2250.4330727559463
75	-340.6352806178701	-939.9225882346726
76	-113.18560716405912	-2279.7768183424855
77	-43.13161524322622	-1523.522882243835
78	-49.94815465751988	-1757.8739305991448
79	-87.8039926018032	-1528.466041425495
80	-150.22147670098605	-4219.061980898033
81	-272.1938700632026	-3193.1164315149276
82	-93.37769350561149	-1662.1599558669816
83	-119.15961503906823	-1758.617787931196
84	-330.05914675725774	-4435.034508214525
85	-55.78415530742703	-1233.5423289414377
86	-105.36914739512949	-4122.131048285797
87	-62.92190143211592	-1630.8816101803557
88	-233.33658110527585	-1191.3557877057774
89	-86.26103192923908	-2041.780686330517
90	-416.67334575555316	-193.03700777204705
91	-64.23652573664575	-1506.2764687419326
92	-160.35263226075097	-237.93333472702744
93	-38.245241659094134	-2641.5086702964977
94	-18.00035866182263	-308.20379337574457
95	-158.13530375777793	-4208.418804049036
96	-164.31087210007357	-1428.6184063438109
97	-179.677390248363	-292.57002830003137
98	-60.21338238734687	-934.6447985609822
99	-181.3176370875263	-429.4558766897442
100	-102.68349751144035	-424.0974125050851
101	-211.8863909325131	-215.7091967097041
102	-140.17593094601722	-1050.2957876488117
103	-71.42172171370824	-1547.3703648660548
104	17.396034742358488	-530.5839946580782
105	-10.887426764554291	-257.1024897851908
106	-80.90311836111727	-1371.7913343467005
107	42.88149062174984	-995.0396434387236
108	-53.28092311482956	-921.4432366726086
109	-67.46917894161355	-1484.9489702885144
110	-84.63028714093866	-462.94661939683755
111	-207.77632936329	-1748.5129358302727
112	-123.02990991916323	-963.9679103001613
113	-274.8203337630045	-215.4313327075455
114	-7.611736861594082	-1597.4445206691812
115	-218.78750464352242	-407.8136485768232
116	-53.95375348086628	-2073.4429706660685
117	-80.0826097880809	-1519.8728046144097
118	-289.4331641785071	-1605.4921920962615
119	1.1048184110627517	-577.4267396983245
120	-16.43648792181341	-2327.8890467472806
121	-178.81185825479588	-5646.591684366165
122	-158.41662027981215	-294.65199723979117
123	-221.91653451522848	-2916.724484899801
124	-6.4980262497414	-2299.3448588634965
125	-237.35719967922654	-359.8867529546899
126	-96.98579120878863	-3331.253725430192
127	-296.7970383615683	-312.3033971071028
128	-46.6235619604211	-2259.848129288332
129	-161.08052757986047	-530.228445863127
130	-154.4950430235511	-1655.2881803961166
131	-161.70573874676683	-374.27099967582524
132	-1036.7702752289033	-404.57196206895736
133	-123.10080938194778	-2445.704242549419
134	-1374.1197463899448	-448.7893230037493
135	-587.3782489490077	-1543.6955366670431
136	-1771.1223336139576	-1551.1092261165163
137	-563.674224300439	-1918.0452090829228
138	-288.6177563882626	-1447.3766410339638
139	-512.7420768106135	-1385.0089936502739
140	-727.924038563915	-1656.285359455132
141	-612.9786062280358	-544.0070311831005
142	-471.7375836632731	-1565.3187910177528
143	-55.01306927266054	-1344.958420536146
144	-881.1642270858731	-744.3605058955168
145	-476.41579245153395	-451.44833231509205
146	-740.9885375207624	-1294.513442109221
147	-682.0225975265529	-380.1982096444442
148	-1061.4736545992787	-439.16305097793037
149	-218.9194367886638	-500.368963243528
150	-340.71478602700495	-1147.6470122706876
151	-87.0057487665662	-3667.275695318871
152	-424.3476723816577	-763.9096081391182
153	-234.4526772232199	-405.4142776065183
154	-350.3192892004039	-1950.5555069970726
155	-274.8513193145951	-322.54500889163114
156	-77.80929253130623	-2160.70016131476
157	-576.3058400560997	-4449.576159003216
158	-19.029794775238862	-5444.900575907577
159	11.190049648465717	-1441.448845674985
160	-10.805269069166144	-2023.5770891084717
161	-88.28185909414582	-1392.570489255106
162	-97.77775779204316	-809.4058470741423
163	-71.54696435889122	-513.2014935663133
164	-23.702689237430505	-1030.5245795152568
165	-35.34677965007681	-1007.3646830779678
166	6.593135026541944	-782.49820108463
167	-7.6725638398587535	-834.3465574326492
168	-66.28243479330685	-825.231636458139
169	-0.27026669733048436	-178.49853089478881
170	-49.59185182754379	-473.5960865759863
171	-74.88341089954395	-666.9286635103816
172	-46.45493642634746	-1771.8874667011144
173	-101.10339244704527	-1691.9971002069865
174	40.28874814926664	-442.4426585666921
175	-2.4345807774995194	-1495.8181029288546
176	-37.82747226053225	-1724.1281096453301
