Environment: LunarLander-v2
Agent: A2C
Experiment: standard LunarLander experiment
Parameter: standard
Time Taken: 312.2527062892914 seconds
Episodes: 507 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-112.26462134361174	-912.3033662023962
2	-93.87982815375823	-111.86798851177781
3	-319.7273638351662	-400.49225762907577
4	-175.418519173407	-141.86356756996972
5	-317.13850036694595	-551.1840028736353
6	-341.20173636590675	-113.12886985380695
7	-343.5929021041702	-120.00378399486999
8	-251.43574945390776	-139.22941528598574
9	-72.20400068998026	-175.39758455103987
10	-73.08655444089848	-140.92432051839035
11	-98.63984875446887	-138.80832033293197
12	12.161285123284529	-102.33451231737149
13	-163.4190370856269	-137.8132449219541
14	-233.5633340306251	-137.77624362366515
15	-214.6909348370523	-126.01920648178424
16	-337.1068759042184	-132.27481693659303
17	-250.0850639603431	-168.66143066329585
18	-85.32461924746572	-116.10783212449027
19	-341.9601012547613	-153.68868747812382
20	-110.2022593125795	-113.84950011128612
21	-343.0509508804713	-126.22984540462778
22	-126.7099766715155	-137.77952582285013
23	-192.92076660751619	-140.19955474715448
24	-437.58305924015076	-135.97709082715068
25	-97.42446315743118	-101.41721020371878
26	-127.95797266130157	-168.06388765222061
27	-108.88572701306416	-159.53791467905558
28	-163.92280524218026	-176.4600799353036
29	-101.13272520117674	-106.3951480298224
30	-219.96691302326724	-179.37321153369538
31	-166.70593372106273	-122.38190345408074
32	0.5060026875278822	-97.5713939828371
33	-122.18392831576273	10.642749628133544
34	-219.6666507532703	-108.69746785961652
35	-140.06434530751983	-147.21027184830342
36	-253.16671460407474	-95.3960588274295
37	-77.41712310747539	-137.30956825711388
38	-259.3050102838796	-22.910331947602884
39	-375.58790611633924	-151.63535473192485
40	-117.14120509765516	-197.59446850594856
41	-182.45937797346247	-115.27412732835856
42	-205.63034762242677	-161.28878571284986
43	-211.2344115923463	-161.12847795065625
44	-98.70609843347205	-175.17118152775618
45	-201.03142948242314	-140.65018989538578
46	-106.76906221312908	-135.91109941510382
47	-276.9025850567006	-156.51708287025917
48	-102.93919578224842	-153.77318544787488
49	-175.2488965966606	-147.13833886267724
50	-82.21465153920806	-155.68286020127607
51	-104.16099395229935	-142.68488760814037
52	-161.48264883667193	-137.23655746690727
53	-343.75611792930204	-106.41020687012934
54	-108.24016340431433	-146.67095546022045
55	-138.05035615545944	-181.72109906232805
56	-191.15598355361217	-122.89062867879042
57	-70.20234405045989	-175.87297352853983
58	-45.267573698158905	-159.3947820761021
59	-100.17863040838732	-82.51152356802484
60	-76.69517068091851	-124.14652484013624
61	-334.39610895159836	-110.19016052855147
62	-439.15180419314567	-89.46242615919667
63	-54.79601162902226	-151.5984628763211
64	-215.78737462999317	-107.38578162671834
65	-86.7190513213441	-120.80373063704826
66	-176.1546353597638	-156.8016890362608
67	-145.47922984219642	-118.43355709591407
68	-205.4152754877167	-146.49736056711214
69	-128.88592306723476	-98.36807874975764
70	-273.81006299880767	-129.7311980022177
71	-34.523234796412794	-127.24526408928494
72	-434.04485527095045	-131.65837045404385
73	-197.20972624015673	-106.87278286764709
74	-124.67568019602935	-41.04454392697761
75	-104.74804001997903	-129.6582132712995
76	-85.64202171886625	-149.1339719213612
77	-130.16884375727295	-133.01000410736654
78	-122.80634490996849	-29.144379326201033
79	-103.06949864354316	-146.02217566196833
80	-51.446590971180086	-138.2680880086251
81	-128.40075627893992	-143.1819025994689
82	-83.5619503290809	-153.77626924038537
83	-125.29357981419186	-130.12843184724488
84	-122.3581377954659	1.8091339549479954
85	-174.12119646730798	-85.56869391844688
86	-83.74309552670448	-119.9746758710322
87	-206.81171209500062	-127.03153195793483
88	-147.70221638336446	-48.49930223056253
89	-116.03727187848975	-217.16769765968542
90	26.795632633787974	-225.13243238928104
91	-59.37163746315191	-248.5105136463759
92	-121.41852692548278	-276.0266837949954
93	-81.30943745918839	-419.28324852505364
94	-125.73353055893733	-287.79503587302133
95	-83.86683935247642	-347.40449148273865
96	-281.27538276889663	-309.71280102929165
97	-73.80168290046964	-415.8402202478275
98	-89.6223559761197	-566.5890144437207
99	-242.56990685864807	-517.1730868079015
100	-77.30489078144089	-661.5761149888531
101	-311.9977997976357	-506.0334897275104
102	-157.86970964729244	-762.5879904070788
103	-87.25730490254145	-521.4033151778674
104	-85.72292827996439	-987.2899092990014
105	-125.44003568196516	-870.2192646042747
106	-181.0035035601556	-480.9622480683233
107	-230.77593242752738	-623.3189216587558
108	-235.32459416957107	-650.6039862484718
109	-249.32243089105438	-1445.420136411638
110	-96.16168686092294	-516.8149855426375
111	-61.04690250358568	-560.5678302626876
112	-116.8378902424499	-1485.8549157929663
113	-58.95424336238235	-1389.9364129815033
114	-320.32668883564844	-588.906424021896
115	-66.9583898927751	-844.7236691273447
116	-436.71930999758183	-2475.646743673659
117	-62.44242396486246	-493.2083251552743
118	-227.46119982983993	-628.839204208446
119	-51.952117408883275	-743.3510253513973
120	-314.5121709348658	-495.69959081158436
121	-292.25842076655806	-1256.478545123675
122	-141.87028408814535	-2784.3573188516566
123	-122.64779505838177	-1746.0599886379725
124	-36.69221845010924	-485.93877361270694
125	-182.13164373034053	-537.9359679782374
126	-183.93980953841668	-1337.119676446795
127	-47.10904935421304	-461.930113253562
128	-107.95027478526299	-843.5297685967261
129	23.106377405535284	-611.6432335260603
130	-65.26322949387853	-842.9033060278427
131	-31.058157286344382	-832.1343862276601
132	-311.70103644839605	-1506.4619074566394
133	-250.26422646017076	-820.4839423760338
134	-110.14998838496763	-911.0168292579951
135	-199.717112040306	-471.8046718235693
136	-306.3934462537086	-301.5223124658087
137	-80.99751525295012	-1079.945447570275
138	-207.68238383458169	-948.5878973382261
139	-205.0809873058804	-740.3332583217046
140	-76.24662779666022	-1427.719855423341
141	-118.72063181147584	-916.2956850374601
142	-214.46511988606198	-837.0131048381347
143	-69.28183558028145	-1199.3076207250863
144	-66.13826118559398	-1030.6521741403533
145	-51.979793642608726	-448.14980712117887
146	-65.4316098550929	-976.7487613624384
147	-49.49906836887731	-2240.542893178526
148	-31.109033287010874	-1053.525442801845
149	-179.98183340110205	-1155.2945625911489
150	-17.332921090732498	-812.6431525863103
151	-18.97763269688737	-1092.9205022646265
152	-83.25763350625112	-298.3785876813379
153	-295.88771574226416	-316.92579281129457
154	-42.605764146743894	-1308.5911189967146
155	-363.0610631035346	-728.9341465001147
156	-389.9651653596256	-1284.0603151609325
157	-59.68795942537122	-678.7707725885768
158	-417.98771387914735	-799.5910247800099
159	-351.57726434932283	-2288.7787012015215
160	-338.37283580587643	-741.635808956207
161	-27.13034146241621	-819.9656226410507
162	-387.24559663469756	-1650.0794558391967
163	-182.72493665608596	-663.3592407421344
164	-252.0500013294133	-835.2411257914196
165	30.034734668512414	-946.4554267584791
166	-453.47827586744296	-1419.5413121501717
167	-1.5730814173885364	-1823.794808195153
168	-566.2950722950803	-864.6941838989574
169	-564.4338678657182	-588.245190400059
170	-4.971255415039126	-1098.3053470317395
171	-294.5743163055602	-363.89150468848123
172	-13.66504961337455	-287.40445003898924
173	-39.35629832882472	-713.5019154522271
174	-354.4642126529806	-953.3573204530667
175	-54.5949512208966	-1001.0411247590129
176	-285.0694839959286	-988.8384381936658
177	-93.37846912031289	-892.5011134996681
178	-350.6900878353551	-831.3460576546037
179	-244.76257737198	-515.5937474287709
180	-116.13433489398496	-896.2313139572692
181	-47.52102580615558	-549.2942494442759
182	-278.82827408529545	-538.0828770906685
183	-15.629685444096935	-520.6830308787185
184	-46.45690443271534	-353.75256054005837
185	-87.95983876410958	-490.6462472987252
186	-231.52784773940732	-443.53663017088945
187	-37.900297848636995	-501.1534367654048
188	-51.59781998402451	-428.8579864362818
189	-125.14633639603022	-433.46211107131865
190	-56.68039287819106	-431.22140701337463
191	-92.09486534142064	-936.3594006277979
192	13.179614310402362	-1667.716548740719
193	-25.88674612357923	-1627.502068252578
194	-47.05553082395828	-447.5833826548769
195	-200.70569331851385	-2176.6441416274174
196	-151.82571978934897	-2914.3021918212057
197	-9.334346971501915	-2222.88845114502
198	-155.05224076301778	-513.1109106414976
199	-309.92745526041233	-4573.423498466727
200	-33.89863232959826	-519.9722928993942
201	-60.717971153677254	-5745.798907356003
202	-221.1255272003059	-637.978788470403
203	-40.53895810221191	-635.9254729786373
204	-34.74354909274169	-5937.874435376714
205	-57.26366521439756	-3065.5506432341535
206	-326.12933585801375	-424.31938707198464
207	7.514716404363597	-9864.785273551506
208	-92.40124820139725	-5338.443955432464
209	-170.5287804821574	-5084.827909804673
210	-24.584996955850215	-1879.9573204190467
211	-19.883466104356756	-1164.6738532414122
212	-61.07011041148266	-1026.8535273201999
213	-0.8614546867668338	-1397.8573183109388
214	3.7318706820469174	-1055.4214615906426
215	-403.01908591762276	-781.1664454391718
216	-348.6866316870869	-1241.9421376019943
217	-30.10122861035626	-1033.2016032285205
218	0.325707780380867	-578.2630249538329
219	15.495458611828724	-490.54288720563665
220	-4.1660950488235216	-387.951938755638
221	21.99093617603654	-422.47004146570487
222	-5.179201407613718	-396.87140317331864
223	-49.46654845170721	-501.1568532730885
224	-27.227776165584444	-663.8911260283637
225	-14.214068563173624	-535.1894751619038
226	-118.75474435431533	-367.52112481410063
227	-242.86962479413663	-521.0439763616123
228	-65.77628719904772	-580.320832325536
229	-33.374790019464	-408.57962136293605
230	-325.93278951482705	-277.89060221208297
231	-87.64174635659006	-538.2437437550623
232	-300.80974991608207	-235.4458526461133
233	-30.49032505896612	-276.05909052983
234	-84.27497541936187	-235.76948217190815
235	-88.29924809194786	-284.29909314881854
236	-66.58890981212365	-305.2439472258932
237	-132.73739670837804	-230.13326488824018
238	-153.62451620564502	-223.21954765238797
239	-125.6611773277171	-275.81660839204096
240	0.08657015058481932	-291.846444790295
241	-47.50417432074015	-299.68909675265013
242	-55.68569496668018	-234.69997290134154
243	-46.811692326854214	-342.4876911194093
244	26.01482771467866	-1461.2501973809813
245	-165.88505315636743	-548.2466733518886
246	-19.11733270439842	-1093.6883369730358
247	-96.36632768493047	-4298.868721974866
248	-236.975862640938	-1794.2633257747193
249	-53.48253729510749	-1558.651210776758
250	-66.40286422637791	-1717.535149948544
251	-96.5671264884561	-612.5188994498444
252	-2.6975496568476656	-1278.223718131908
253	-352.6254546803989	-1206.488236931758
254	-374.2524452850706	-1370.0244965679456
