Environment: LunarLander-v2
Agent: A2C
Experiment: standard_experiment
Time Taken: 838.9662849903107 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-120.58646380804372	-542.1429870858542
2	-298.2124495047883	-482.17220901798584
3	-279.37922794942506	-669.3824091189982
4	-346.1779796342654	-520.8004227044676
5	-190.22500192106568	-1093.2074105248632
6	-110.55355609650722	-412.61996832267664
7	-228.48667566097143	-289.155521543323
8	-88.06483432587348	-163.12863677153643
9	8.584883029683695	-363.90070352537396
10	-100.75505962943203	-635.3187744231477
11	-174.91117102330367	-478.9407642819887
12	-137.31475590107576	-205.306057381245
13	-66.93194297750875	-492.5181668114191
14	-35.62294177315759	-125.8356957766646
15	6.7790668731435915	-158.9905129151867
16	-81.91579601541692	-256.8769273460682
17	-244.84978481459012	-144.19352962220117
18	-142.06320437178783	-146.19540649250482
19	-73.94545391634631	-148.39355594824698
20	-74.41276776894607	-116.99028877953751
21	-179.8531319452324	-149.42671589663053
22	-120.6621933140717	-127.75227859948521
23	-15.57489643919881	-153.63299435090883
24	-177.896425207942	-125.05169605538423
25	-142.79238602163787	-310.9585863033521
26	-213.40746055779266	-150.08191451451407
27	-67.51676350131578	-153.1160612415512
28	-140.61944274066835	-276.80531303476914
29	-115.65580976055159	-433.5224634045207
30	-26.294741757870312	-482.6859056249781
31	3.579576723152016	-363.1306657153111
32	-270.4329057215813	-689.9145762253821
33	-439.752390707393	-638.4578428655121
34	-69.3380948102624	-438.27568808659356
35	-175.49621401186238	-374.93022631154946
36	-116.25014532415672	-204.00291694394957
37	-120.48733187975587	-1530.1823618608448
38	-79.58912030441846	-948.3410053722793
39	-93.19707225651278	-1101.5435494156054
40	-316.4271847541371	-1234.1381501143514
41	-304.46871817939814	-310.0113434712671
42	1.404067597502305	-246.12841954855938
43	-105.17537091489636	-346.98729702528726
44	-298.3797036034009	-431.7673404652912
45	-190.04342322596062	-1769.5027268144406
46	-280.64566635555616	-304.1927957958767
47	-193.62579682073522	-602.1869843229618
48	-636.7858817737288	-467.8800668537893
49	-494.859408227703	-571.5742073818915
50	-1195.5363657513396	-333.95634559842506
51	-727.2609214865136	-443.38874258114623
52	-247.1139991989597	-421.36353002315997
53	-648.2917147876017	-561.0256768770698
54	-166.30662756570948	-1395.9265936614597
55	-278.8791445135468	-381.2940905765298
56	-479.6860842373254	-547.5794785439778
