Environment: LunarLander-v2
Agent: A2C
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 1, Turbulence power = 0.5
Time Taken: 1264.7668795585632 seconds
Episodes: 1770 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-263.8266790633878	-698.4685804824022
2	-400.67621097766767	-283.61025938791255
3	-140.28395006700094	-634.04319182382
4	-81.9123472837412	-654.3566912791122
5	-377.9999156276521	-547.6468636303629
6	-113.27979943902066	-479.64820874435105
7	-247.75280384077885	-373.89704306205107
8	-311.9212920346588	-460.2376671223141
9	-358.56391360128515	-358.4073417694902
10	-572.7463306203663	-336.6896117569963
11	-95.54888455303069	-324.51557240365116
12	-159.77703509789822	-291.3335782251675
13	-500.5486194794864	-348.0921036958397
14	-89.61125593292243	-354.98188527347423
15	-130.3205584642853	-323.6405667487294
16	-241.11490574557874	-185.93589764409825
17	-303.36537191557335	-1347.8111347569065
18	-342.7513168779233	-305.48039651248615
19	-316.3719760720095	-196.12031787703444
20	-128.68429673087266	-271.0942983664843
21	-149.45310055830663	-186.1707636859945
22	-245.52310971554343	-170.58991255061414
23	-114.46918425258431	-65.83444529949344
24	-82.45914560019166	-695.8301693059357
25	-235.94281076285736	-635.7492769974591
26	-160.93513807600385	-925.953635876354
27	-160.66309457751717	-1019.4583004742593
28	-30.187886524948937	-1408.8378604026254
29	-191.3779330750471	-749.6847913084314
30	-242.16229120883813	-621.8631364651742
31	-103.78165796851438	-834.0886285821599
32	-110.77323456609638	-651.3471331710982
33	-228.56891022079023	-605.0698238142288
34	-79.90966640103522	-409.15875764129805
35	-42.65455449991242	-623.4341436687371
36	-66.47653069670876	-986.2719674721168
37	-474.3960310962923	-825.8973035369069
38	-237.9861702252918	-528.417382829201
39	-359.4713169173822	-728.1624149631541
40	-143.8483323267453	-690.3594315394929
41	-28.51739419224127	-1014.6660381784507
42	-122.91283739728091	-1050.969128628028
43	-113.99327560413938	-525.7665001732412
44	-121.90918341589294	-657.6307532838027
45	-376.3797214490161	-528.3608792172633
46	-189.65157383749232	-324.1591837124414
47	-190.3624474638275	-641.4501819153533
48	-113.6235583534535	-760.9631298649016
49	-94.11021964335869	-463.1588189177664
50	-107.744548364136	-721.6805579304349
51	-451.6475675892987	-584.913963406656
52	-252.64918350253905	-564.8787234748577
53	-123.97139071565452	-517.9966585453261
54	-89.52300484352065	-413.31868794801954
55	-205.75246076770696	-492.1071160849247
56	-427.85057207710054	-511.6076498089285
57	-152.16948102698805	-724.2607842188007
58	-212.26545382367928	-612.9859109309211
59	-634.4257423023048	-290.81757239189324
60	-388.64794876332957	-395.5771960044766
61	-16.350457799245504	-345.57000629356594
62	-115.13005255983114	-425.6241041984888
63	-498.0800644372457	-425.20291680576565
64	-137.92071731073264	-548.1529655818068
65	-240.0051227444066	-340.10227074167557
66	-122.7620017646214	-328.5838058108924
67	-134.47939486800811	-397.88033893544383
68	-63.50994518653075	-595.8516115411949
69	-300.6147322325163	-372.6409122236205
70	-77.48380704276204	-410.32115269814767
71	-105.30802559698805	-373.1816639522965
72	-62.8195524394838	-420.5234396899176
73	-173.15560474151823	-348.62913221243036
74	-112.17524054177915	-359.4092712700103
75	-65.5644789198458	-400.5697212630163
76	-428.5150541642837	-501.7973623789244
77	-83.95970353385239	-398.1744821924432
78	-54.29838589085109	-533.0023099894555
79	-82.9030905852841	-446.8924338993347
80	-44.191319590356414	-271.9241924755549
81	-46.909088929339774	-446.09222125615634
82	-187.54929023271654	-645.8507781653674
83	-181.04636522153982	-618.0570506280353
84	-22.737374741094627	-682.5702740208507
85	-59.63255887966429	-712.9757511630271
86	-93.64212088530286	-523.3847384122809
87	-134.71197645053604	-617.5219477236341
88	-221.7375790825244	-510.1209198374224
89	-35.83595993977576	-552.138778888452
90	-165.6039065806778	-714.8649892898483
91	-329.4840080815776	-648.3172590435277
92	-78.51454573648586	-746.0681008322756
93	-176.7875606173369	-620.9617997951528
94	-89.81114150642297	-246.4357150657435
95	-129.6356014430736	-471.54155709787983
96	-152.65329082285098	-350.3956303716168
97	-311.64636393860445	-717.5256137160695
98	-172.36655073877222	-592.2252642862325
99	-69.40216148008145	-734.8761541545018
100	-118.25709240920743	-620.7065373533845
101	-71.23728662604859	-317.2487393485826
102	-219.80754443437877	-438.6781378139326
103	-238.0876125317813	-417.00131708565743
104	-180.86749504213634	-201.75705654546422
105	-253.9472856515784	-433.3572607035202
106	-145.83602118990396	-651.8380714771715
107	35.22874675798337	-282.32337581287834
108	-71.86339109040559	-389.14150923576375
109	-38.72201095923212	-268.20445059013895
110	-189.25878744315753	-316.1763762396475
111	-36.863570223393594	-652.2332570213736
112	-183.82104865141872	-297.92639831406467
113	-209.24560757865945	-358.3962516112599
114	-149.36865034918378	-389.0243520812642
115	-513.4197810242883	-249.81885840934237
116	-88.49381889526272	-755.4625381265027
117	-467.92462075152304	-617.4615529957498
118	-80.83132488886046	-271.674847383868
119	-277.99846732677656	-262.7731898661564
120	-224.43906836154108	-465.74003713736414
