Environment: LunarLander-v2
Agent: A2C
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 1, Turbulence power = 0.5
Time Taken: 2354.1729764938354 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-161.8505259814541	-326.3600212136823
2	-147.7425660129956	-209.41750266675646
3	-171.75692941226134	-227.51978592130075
4	-102.56542639476773	-310.99110584089686
5	-118.62690181230217	-481.9198262189191
6	-207.14693192766714	-353.48117484789054
7	-126.19695624811969	-649.202618228958
8	-154.17614727653591	-527.4256115068245
9	-389.43519587959264	-1496.6823813545845
10	-195.28957925832106	-511.9211170142509
11	-122.68169885542338	-643.6160953718539
12	-340.85801450369945	-396.3104430480894
13	-340.51943080988207	-414.18511061097814
14	-144.3981136538623	-1438.6085847802983
15	-146.73347211478688	-637.8579676701914
16	-93.41547000908908	-388.461032509546
17	-392.46043888754355	-759.1769640696209
18	-223.18183733836543	-726.7420914956158
19	-119.1397751516781	-596.0683931552467
20	-127.03603237381944	-367.9241610309575
21	-211.0677811274605	-430.83721652281514
22	-376.00928593555074	-791.3713529448349
23	-208.77555412276698	-1170.2907815543476
24	-325.98633262257863	-1428.293622065874
25	-53.41532452757683	-871.4504356326228
26	-157.81961555389674	-547.6564478315343
27	-133.88601778208934	-443.9807515550284
28	-310.2858148030366	-791.5273475311224
29	-52.156480972530375	-324.1850631160804
30	-401.9470578328743	-719.3369904738643
31	-235.61381503790486	-531.7764284226284
32	-73.43323399721106	-440.6828433562114
33	-382.14575126716045	-684.0970291582305
34	-319.41876449494976	-594.5178488672079
35	-75.2929788780521	-642.945017392687
36	-353.7554580934438	-526.2961410660785
37	-259.62738945765005	-367.46534678084805
38	-80.35019835290952	-609.3788658276501
39	-34.1494027866205	-740.6776872037102
40	-113.79346113601892	-718.9500971730743
41	-98.40976173609002	-2021.6131968255788
42	-132.45732120560928	-1305.5574544059834
43	-70.08371485623964	-927.4795284131983
44	-349.95397754788746	-420.6961211791669
45	-134.92074025406546	-277.0662808210999
46	-291.538349265376	-1083.266496186399
47	-50.93654323011961	-707.0884085575238
48	-192.30643866425459	-321.9069561053211
49	-127.78015257061128	-1421.6554374263903
50	-114.4959497784393	-959.088609239035
51	-211.61583753231756	-1791.1878297254138
52	-175.68977673120608	-1088.2070933578893
53	-185.42659854716484	-1201.899616983205
54	-222.83329184661392	-617.2448604110477
55	-474.6282509968821	-3261.681175524331
56	-199.69970125756083	-261.9397287197477
57	-93.27814043886154	-4560.775649733726
58	-26.836871855489846	-1717.3079703968936
59	-272.4966899537111	-2135.148982183033
60	-181.40487372430277	-387.9850578676975
61	-216.857760428176	-2493.0627962584763
62	-78.18344059957053	-330.04374988659504
63	-48.75832922614259	-1552.6271344672898
64	-58.07718917718125	-2959.383791519093
65	-53.96797561278509	-3341.709135929003
66	-132.0419732248607	-97.1894387870474
67	-153.6933165245607	-2481.1614574383702
68	-165.76010939794116	-2478.5192316120965
69	-153.93295445706178	-1353.0994767848554
70	-205.78477451015362	-665.5857898777984
71	-95.86771616451112	-369.64601216025085
72	-105.93803776603453	-204.58407348886587
73	-135.0972532919684	-138.39066613953557
74	-154.32916464955036	-83.8491794975473
75	-12.4578899432003	-62.545704482858866
76	-65.35677792995133	158.15982122218455
77	-21.140398568380462	-131.01987900533723
78	-81.10285838229322	26.02449022602571
79	-57.15217584986184	-34.34653487460561
80	-22.330251364448188	-120.38267869606436
81	-179.02481030844416	-173.28721596689473
82	-215.34099821677006	-92.58776176383331
83	-205.92026998667802	-163.8100193537289
84	-83.20528519713538	-153.05241010486037
85	-53.01847985628971	-125.67111168134964
86	-80.5922424841382	-120.20117532673936
87	-167.22165270843755	-71.92036974920707
88	-78.92890082421508	-178.60350792796112
89	-72.13753607107576	-152.37894326270924
90	-108.51588235834572	-208.6486945248717
91	-90.09926977642829	-190.93839110149815
92	-21.984845004561336	-136.63611071066924
93	-50.59392261383051	-232.48659235274764
94	-114.26661412677623	-155.7148114938846
95	-77.33373307067173	-125.61850999860941
96	-117.75886130546891	-198.16176476102368
