Environment: LunarLander-v2
Agent: A2C
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 1282.520262479782 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-160.07594258927168	-528.696674749822
2	-219.9692130792567	-536.5921528503548
3	-149.89691517500722	-659.1936611828602
4	-188.86674545580985	-448.2681188284911
5	-470.6387473687568	-583.5611223298575
6	-563.5473052385606	-894.6233012857689
7	-378.09529747886313	-633.4815691748473
8	-86.65672833850641	-581.9346250138826
9	-225.76903764421425	-1060.0609619992622
10	-124.98831925955133	-965.5235135122382
11	-493.82672761996656	-670.0661425365873
12	-463.6163826903649	-282.3950510643125
13	-378.8086480221457	-291.94951369314145
14	-305.7548031982144	-296.03248974874475
15	-336.48915419111574	-404.5780056791997
16	-323.7241426310778	-393.9446688110208
17	-129.87140917436017	-347.1688312641279
18	-215.7558455037184	-283.83361968421013
19	-267.77482522670255	-206.49460119633545
20	-87.64098127087142	-451.07035991622837
21	-291.60653115867535	-286.9861682805265
22	-365.14274145753643	-283.06247244025536
23	-110.86171166993968	-254.83444924920107
24	-128.03524760812923	-321.46775829059277
25	-482.5121089846398	-273.63380865192676
26	-104.47234306996121	-268.26680860244994
27	-278.1921214786281	-316.27024832600796
28	-225.46489124694165	-224.83225716963767
29	-1.7578504858230133	-306.2586070892562
30	-358.5078513056855	-284.7648325177049
31	-305.40117963307523	-252.98368966751
32	-350.65336000406785	-251.06861136964287
33	-318.4128851450065	-240.10409585204704
34	-256.23942703995453	-417.90462422974235
35	-83.62735515776055	-216.74681791613446
36	-312.1649276882494	-248.0473984047826
37	-266.7886068948667	-301.7053789122431
38	-213.84073351293466	-257.1758002072238
39	-176.87454194265882	-306.337093653038
40	-256.16071160331165	-339.4266743795763
41	-274.02941834326066	-251.5648314255913
42	-74.0380185254586	-255.31930681523866
43	-367.3275418047109	-383.67719516216516
44	-109.38974089951711	-73.77108020482598
45	-114.22212555387537	-256.201693546128
46	-424.28174495494284	-313.48398596155886
47	-381.2705086339847	-464.99783457632986
48	-178.46885167924432	-262.8867532298877
49	-195.3297262469511	-191.9638765022765
50	-269.88924153465837	-200.4730239636082
51	-331.5663654989048	-210.7060788041896
52	-397.85057528373045	-243.71518059722456
53	-159.7084167528463	-204.48919745815238
54	-160.54945712578933	-358.2434417408162
55	-193.42407362181046	-238.8296622766395
56	-215.35706006663534	-186.76095171069312
57	-354.7696064583623	-339.36855146358823
58	-133.58900833734145	-289.0817154261956
59	-224.86821937944418	-277.4890247884274
60	-112.477365890816	-394.57802545287444
61	-289.57818315018443	-193.43005350553628
62	-352.8907065453436	-231.94142964026776
63	-121.98467116735895	-303.70999564757335
64	-421.11868732538153	-313.64500318303317
65	-243.13016326429218	-338.3592183381561
66	-335.9661573335425	-375.4555331153056
67	-215.30657609726796	-406.6937064151929
68	-447.7402609656198	-318.85367133478957
69	-141.34763061294194	-352.5126499541193
70	-510.5604539119816	-301.4993832962185
71	-199.89638589403955	-402.5643123684697
72	-452.43615770320264	-264.66571742179224
73	-300.6436051084647	-265.03559657417713
74	-483.21430522594227	-495.1855852120254
75	-44.99526728844568	-439.99026906759025
76	-216.67007541342633	-221.45713975620146
77	-74.84232098319407	-386.09465256937585
78	-78.57666089657971	-331.4806603671648
79	-494.28422759876486	-435.669512955797
80	-311.7954629863375	-347.1108365690676
81	-63.656565133514604	-383.3463382116816
82	-561.772315292945	-270.1716286544246
83	-224.18644220958322	-209.7564881415696
84	-100.41606975589302	-151.62997301298316
85	-244.41367468985453	-166.27769246034916
86	-343.2172622851414	-143.88937951132053
87	-186.72457571183256	-148.60509522967274
88	-324.18839802171374	-171.41974300578852
89	-265.00007234941154	-133.33647316825966
90	-103.81809798346278	-201.03280809144434
91	-127.53498270124824	-219.64852227854524
92	-284.80828049907984	-302.4648642117269
93	-117.55029953452234	-206.42099287979931
94	-81.31232290451621	-131.40660783151029
95	-140.12163026528646	-189.95609762532
96	-237.51489278239646	-130.1093011557074
97	-177.23921426926174	-160.72509388927176
98	-403.0133765514459	-157.13629659179355
99	-239.00305376312826	-147.46561458579987
100	-235.13643274392163	-227.19415637241073
101	-226.07821757946883	-169.4003213518792
102	-153.3939915593088	-94.76942068924106
103	-215.23896220213345	-157.19236270006178
104	-74.07602209496716	-157.00625713443003
105	-261.696366922581	-222.70244290922898
106	-173.41024475858268	-124.09975038571719
107	-153.45629737461542	-147.44854308864478
108	-250.18643641460895	-159.55993318231316
109	-169.1567484436123	-213.05896586419567
110	-156.9018686593961	0.025114135793046444
111	-126.88040097577657	8.677455918056864
112	-44.86800037822168	-227.57730289130933
113	-317.77325666886907	5.9562042303351035
114	-158.50869999361993	-110.31441297461036
115	-286.177056331038	35.704204899956466
116	-142.66216214096875	-19.35728723961067
117	-380.69622491744235	-35.574977620116854
118	-115.42381080960106	-63.26761537333018
119	-253.1948067593774	-68.65752721880563
120	-237.02331654011837	-243.97694671574962
121	-236.82505374336398	-57.815235648658955
122	-140.8376843682109	-182.70850258261316
123	-36.340686975922324	69.7321819444623
124	-129.671609489005	-13.06921895449534
125	-217.42500652467135	-5.680575402106967
126	-308.4011711966711	9.015655353391736
127	-47.62023548342442	-125.9530274745994
128	-51.214986969607224	-126.35559468633176
129	-51.90956181217473	137.67293881077183
130	-195.01107890245353	120.93968819893837
131	-208.8734996306705	-74.86073848173379
132	-299.4584668381324	210.86629845103792
133	-168.4770809554194	-91.43494136601798
134	-49.89845390571971	34.63229801771337
135	-155.4404477861137	-17.108755654826396
136	-159.3889673386593	-66.35245433590583
137	-347.7552885252595	9.47339095447154
138	-157.91758044097608	-57.570511742716135
139	-164.0723402552835	-57.57001343694436
140	-207.64959961326466	187.62092249289364
141	-290.90415189246096	-6.205691771206176
142	-183.46538930226316	-57.749062658720746
143	-220.15285257629378	-58.17560124262731
144	-137.88863221594846	-37.31652620336657
145	-74.20762065487446	-70.89146806275402
