Environment: LunarLander-v2
Agent: A2C_DQN
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-284.3835906128545	-506.0567577135445
2	-135.44843842446363	-381.86334740169593
3	-201.7943274243657	-259.82912439049284
4	-124.37366497954694	-309.7058022964619
5	-214.53562428136325	-255.44112168448572
6	-120.47039040409334	-458.4885509805788
7	-53.46148825509546	-629.4724677969525
8	-362.52334047191613	-522.9921673019116
9	-518.8408876176078	-851.1611824899289
10	-223.64665350509426	-792.8142928423459
11	-125.06766319361967	-554.6166913869033
12	-234.08100276014002	-753.6296736010588
13	-268.72813839664855	-277.6319717094802
14	-459.556926452608	-796.0032765036167
15	-406.7620554525231	-415.35787529557155
16	-115.83275614236979	-556.4157393917932
17	-94.42008070501424	-587.7370527197404
18	-375.0096284520107	-751.3891919943591
19	-174.72535766376683	-757.4315442118024
20	-128.0606656577081	-469.46564109498246
21	-149.0737051782986	-571.0006400017169
22	-223.75600355264896	-459.9199407999493
23	-378.0115682237929	-741.0201489878465
24	-433.88040732115354	-597.0567662547874
25	-85.79767007385286	-489.08112562265484
26	-250.21170925035173	-975.3180942668733
27	-481.1085053988076	-656.9971562130991
28	-438.17290259823045	-1062.9325961665586
29	-28.494279934043917	-782.594947501006
30	-182.4298616625407	-428.7007922808827
31	-88.55638365843164	-400.16601099787295
32	-76.57131354855574	-445.19712622044796
33	-343.5400753169023	-703.6895275882373
34	-246.4683070238895	-886.9361325711359
35	-429.24531829191125	-928.7684068453987
36	-168.92981402035903	-243.58858798607557
37	-83.72523462643197	-1079.9994773240571
38	-89.34916302140746	-674.9912868803017
39	-378.1975729303084	-1410.4297238595484
40	-200.3648476392412	-750.1112458082112
41	-87.52886751028919	-1282.365894559173
42	-83.90499620690957	-392.91332352734645
43	-130.4276409744337	-1065.4612125978988
44	-86.26291546892756	-1051.099493689604
45	-200.67607734106855	-973.4236604224767
46	-196.06493869877926	-1107.2066789445162
47	-237.62509455643965	-1136.0525328968795
48	-130.82139830623908	-655.2635157052113
49	-306.88308153215326	-1317.3563722423357
50	-232.05288181148342	-1982.8003752135428
51	-144.79322017555467	-940.6505004394875
52	-68.34248721731515	-947.3229855640869
53	-84.85586157242236	-339.2733174750294
54	-78.26565927612728	-377.1166628618199
55	-67.19292222234853	-402.53721715190215
56	-133.4477403351388	-996.7041375623205
57	-196.196034396616	-899.0487641279451
58	-273.82198837568893	-483.9220329600726
59	-508.62664641919156	-2444.098436953746
60	-64.18308234329595	-1102.0432080754572
61	-408.47432458307276	-2485.6636906601757
62	-185.89358174498145	-1082.515601235838
63	-440.99634988590054	-1369.9981325469448
64	-286.08225808082364	-558.4809953818599
65	-322.4656021398696	-1712.117303133356
66	-11.88809565783015	-293.45194774189133
67	-312.3809500534029	-304.1361381970131
68	-417.3249312049293	-1193.2727120794789
69	-45.60786001346246	-875.866775093915
70	-511.5075118805191	-549.2534294949912
71	-20.52097279389926	-1036.5994493064236
72	-263.90950108123303	-588.7402164505487
73	-259.0104277562319	-560.442240763676
74	-92.8535603929292	-999.294722508408
75	-176.24271538026386	-993.9188462163517
76	-151.3604456136532	-856.1597353518147
77	-368.3704545177269	-676.58858657903
78	-221.55249512743177	-1362.6823024280159
79	-217.09692438717633	-585.9173852691732
80	-93.03068146248285	-816.0615571097383
