Environment: LunarLander-v2
Agent: A2C_PPO
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-87.32636212648531	-119.28542149440021
2	-103.43596091307218	-279.7623578290571
3	-362.364105679139	-433.835164531412
4	-137.99636978206416	-403.1681167700456
5	-305.41233013735587	-338.31408071827985
6	-227.89050863598504	-306.14013372892566
7	-158.26035792701896	-136.72290127740106
8	-340.4380397641173	-600.1475393632143
9	-374.88181520854886	-68.79722088769867
10	-640.3693627295712	-706.9177795095438
11	-326.94652002119176	-647.3539665056961
12	-177.66905429385366	-757.8215038204886
13	-125.81032899558342	-286.03448990306254
14	-207.81807992512898	-114.27000830707377
15	-87.25428286722634	-320.0090037128365
16	-129.77574882379253	-198.86524564735078
17	-323.47955803373316	-689.4278253200762
18	-56.05528222394678	-433.5074391219697
19	-133.88421954180194	-650.7672877105321
20	-185.16271377609777	-300.8329111417604
21	-237.6978003938565	-304.1829900206307
22	-107.92432342562043	-232.65808100783386
23	-214.30318389811276	-618.6970479794476
24	-143.94526330123102	-708.4227801749846
25	-353.0029752376666	-283.00835284742595
26	-347.0247516044415	-127.28792901133903
27	-131.48357140372443	-102.376525730717
28	-14.417581811752157	-104.51974441123515
29	-118.35554770247899	-736.581413491471
30	-74.83212042322226	-686.0843851297483
31	-85.90617471770142	-716.4246370441773
32	-100.81550960598867	-699.0828961447883
33	-265.8587477832357	-603.2607886081119
34	-276.0193053017202	-470.8007440936906
35	-165.88168740887744	-638.0485891657336
36	-194.05917555994805	-473.65990509446596
37	-83.85134193170424	-613.6868752696278
38	-164.68689474261788	-521.141600225945
39	-122.66534293712974	-666.0506867277207
40	-349.276090528459	-511.4218280700909
41	45.79276262458967	-673.96438673819
42	-174.7345184527755	-594.438971601519
43	-247.89729816335358	-363.3015279302993
44	-116.35559087325387	-553.8157835488632
45	-166.85571651949306	-374.9749379025343
46	-304.5317736646161	-656.9098550361704
47	-224.5005854020698	-502.20704983551127
48	-134.4112335496767	-356.0060785487528
49	-159.76625694368562	-484.4362211769567
50	-133.15803059063245	-610.671776802149
51	-307.8996621193253	-644.5848159534214
52	-249.57557749300923	-746.5161995594385
53	-98.04429430473878	-411.7614840629553
54	-134.03468965096178	-138.33455777448154
55	-95.61733830291665	-491.3281208902455
56	-463.0519963731619	-732.6526559183726
57	-114.33961867487186	-673.4906920101554
58	-470.97688183601457	-288.0726852611989
59	-147.5734785729138	-238.8888166356457
60	-241.78347267109186	-312.6953966730083
61	-365.5202736574502	-454.26997113304526
62	-155.18396224318167	-269.28258414755516
63	-51.20925833244348	-154.6945220094099
64	-520.7582359735616	-650.7698231288614
65	-52.88447173965783	-124.41625356736763
66	-88.15757384291949	-120.60567034032672
67	-166.64998895569767	-392.7408792865283
68	-95.67495773480788	-196.65686519646852
69	-142.107149878089	-183.38337704805264
70	-393.1499481032214	-468.6986268675858
71	-361.5111097134364	-108.2706841617445
72	-115.12687069335149	-391.5624604719423
73	-362.2944870871599	-215.44483165552896
74	-114.5963913654872	-513.01979037811
75	-444.04355581383356	-39.45285658739377
76	-246.12812733198572	-107.91797993342394
77	-226.20679225525544	-216.1072083400877
78	-185.2802681222658	-67.42313717226655
79	-228.9893841194264	-193.64274272833913
80	-114.27228927204828	-116.61929856163891
81	-93.9625331990454	-258.28199757019786
82	-123.73927981684903	-103.6499473637957
83	-214.03503576176513	-144.80185296507193
84	-145.75390465511651	-210.4404900281167
85	-412.97594558868025	-16.323502746882838
86	-58.193458471730565	-243.2159686584799
87	-223.94597484208867	-520.995456032925
88	-90.04598990364342	-171.26605705915563
89	-105.1114922011173	-25.212296509610937
90	-323.15498058154265	-162.91088045007746
91	-146.2415534341816	-165.03118886877382
92	-88.27865585727453	-354.0641875675098
93	-105.73170154705566	-301.3761278220337
94	-308.57114952154757	-386.2875605528304
95	-153.16862738082304	-35.6111025755806
96	-379.6190969601564	-48.423286623076585
97	-157.22168825291914	-465.5227496620914
98	-69.11482470125554	-443.32281244171264
99	-284.0782951569297	-311.95406442263607
100	-233.8810607303195	-382.54370988257483
101	-259.95107135880176	9.578876892251756
102	-80.42602071735773	-12.46836185032592
103	-231.29172562755778	-456.23444483397606
104	-87.79870292984953	-410.8150133845955
105	-72.29313812044794	-223.27186048972894
106	-166.7385470335534	-393.5139072785958
107	-286.55894128309427	-234.53154931821277
108	-53.557426501790985	-95.70908770660111
109	-76.73501238242608	-186.10660455933737
110	-280.1110459631359	-325.10342926881157
111	-365.8576315944249	-215.52246456797823
112	-159.43226491673047	-496.2703207235581
113	-559.3231293401187	-353.65784562740123
114	-296.30320264289435	-368.9277115875024
115	-282.82426381338087	223.3996139246338
116	-199.05243402180324	-434.1020889517358
117	-102.27971325428445	-444.3731334528145
118	-107.09238942007391	-309.45810983982005
119	-122.66937452472774	-395.4301584244931
120	-171.3118570609551	-418.3573044338787
121	-337.3975893536865	-356.06161854122126
122	-61.15991495115652	-496.56535517463624
123	-148.1110142690035	-376.8758522222447
124	-117.6064336803808	22.46407098861323
125	-390.8275024012641	-415.78221829495067
126	-410.68972587527537	-358.31175163412763
127	-127.05188451094367	-291.69930538126766
128	-137.83058451160713	-464.2003713479783
129	-348.01536358221813	-233.92777164913923
130	-246.11790839853214	-122.59557436787972
131	-184.53065860131983	-180.91426157056276
132	-56.72299507804283	-489.3413846115053
133	-322.7694563749731	-445.9056655801599
134	-406.08860211739557	-437.50410905790756
135	-435.9338724905442	-200.56722923173865
136	-239.94384496142692	-325.4189638861678
137	-95.47040885109149	-115.47652576209174
138	-81.51840137001177	-124.90494577716953
139	-131.2425705889019	-260.12099600865054
140	-228.47391981501843	-561.9028126233236
141	-165.58025187295067	-311.8079270314339
142	-94.11601524954263	-186.4418395733405
143	-166.35656131019846	-107.04567280132939
144	-85.76721027960373	-131.96514859538246
145	-98.3371672135425	-128.32207470229423
146	-379.14126303267057	-180.08600557183743
147	-49.199736027944695	-334.29154989250924
148	-97.09750731840028	-429.18679607871184
149	-131.29507113592175	-156.95747776535686
150	-90.05161621774343	-218.06407951310217
151	-105.99622943198094	-337.817344178443
152	-113.28715158775844	-318.81609734389446
153	-127.47923237372109	-246.82904078786953
154	-96.5807113887663	-370.0823890638492
155	-161.65717021142595	-253.5129904110479
156	-72.43096785547797	-136.59850507863518
157	-77.24529411507176	-389.9928115631076
158	-402.46141585819794	-281.39442504213287
159	-147.83970139380682	-229.77823028268682
160	-319.9745568308782	-119.04023850663688
161	-109.72859236164373	-186.716504992609
162	-203.73773707047116	-216.90412380975414
163	12.067185341252198	-181.2582146579358
164	-98.18267826193546	-208.58693436372724
165	-84.8088628905315	-183.07545180664738
166	-217.40631940873055	-214.71280001754383
167	-149.47784759129377	-243.12723043783322
168	-197.67357685015176	-368.53544975653705
169	-41.64545785982215	-220.43682848412362
170	-249.33089070848575	-237.2727866271495
171	-98.23664671304235	-331.0439610222276
172	-255.33629541608067	-209.4906784307747
173	-189.39185297118243	-316.5998746704599
174	-238.5122632470718	-602.2044693008493
175	-106.26763207078884	-243.1268722162977
176	-324.37644759788884	-572.4743525162478
177	-190.20354363746057	-388.8908994867248
178	-131.33917806544684	-379.2625849642655
179	-386.0772458385194	-410.7740744403387
180	-503.5507754793566	-550.9257866487746
181	-261.91077362842924	-543.1800582397918
182	-202.22665056643228	-516.2928458180077
183	-216.94588304004526	-502.4893615389578
184	-28.537194724096693	-582.1589678231754
185	-114.24932688874175	-428.6572247426903
186	-203.35400571616685	-499.75813492004534
187	36.99248002580279	-401.2625478559013
188	-104.85568769353546	-618.5674780449413
189	-338.5976534827595	-579.4561952298204
190	-102.31563426258676	-479.25983235663534
191	-410.93548662911815	-537.0933161324679
192	-128.61088124447332	-561.7761997778165
193	-73.55637813630241	-311.44430185476926
194	21.56204994367077	-579.681915976952
195	-99.37984133258988	-592.9453977592364
196	-279.52130847671236	-652.7897396777445
197	-137.09514050834832	-504.0938209630338
198	-146.48492436776502	-537.3078137809518
199	-339.8335083377053	-620.5936000103355
200	-192.60350662184834	-562.4399079854088
