Environment: LunarLander-v2
Agent: A2C_SU
Experiment: Random Gravity LunarLander experiment
Parameter: random gravity
Time Taken: 991.0505576133728 seconds
Episodes: 1263 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-120.67534454645656	-463.688911683058
2	-127.55784801009307	-460.2998319105917
3	-294.28532784235284	-507.8628249004033
4	-380.9788738271637	-333.98883617741785
5	-183.31274944447645	-333.64991472017596
6	-235.63381901991485	-449.0506566266527
7	-129.0201274736488	-143.3509526606412
8	-148.195618152416	-15.942988879216813
9	-74.82259358423114	-486.0185868051232
10	-137.21108737662786	-177.62599421615806
11	-191.4718648189105	-305.3019883618576
12	-122.76560701657189	-97.7465437430593
13	-119.80541111673884	-19.340633771426695
14	26.036980872363813	-422.4021528843049
15	-181.1706213680644	-103.35415893448886
16	-127.54068874259919	-507.9045156329329
17	-191.58563525040907	47.79551371959937
18	-132.0669571856808	-391.6708648902766
19	-140.45193413072536	-680.9310956460359
20	-44.94853506464982	-553.4255951379398
21	-113.99053809969179	-495.4223754593304
22	-73.19057772864622	-423.3506100398329
23	-85.89152235663684	-517.274398527223
24	-30.798632086349272	-397.9821092143566
25	-369.2754129688536	-654.5651124841567
26	-88.43346551238199	-141.34738272452262
27	-376.53881046882594	-635.5038246138929
28	-339.38497982144304	-409.31648551800436
29	-242.0962037705903	-537.988072120399
30	-227.99187041663725	-140.65069881547458
31	-178.47694308389987	-449.2676976120554
32	-160.34508543918565	-621.3243151576812
33	-65.35560990092057	-428.7797399830692
34	-105.49048667316914	-671.6359175273037
35	-310.4941139464677	-214.81073016236786
36	-0.6493649121510714	-283.3535638890062
37	-124.59601515807024	-321.17594475256715
38	101.63669217246898	-111.93943761366066
39	-120.01288921138261	-98.76189347288374
40	-259.9727364534539	-65.50882382877893
41	-66.85552352526442	-32.7138757814571
42	-68.2443610826532	-76.40273608037985
43	-121.8414433478527	-81.30607807510788
44	-112.7159717956032	-105.19486723090289
45	-96.50525341639766	-60.389747513517776
46	-65.18375342511327	-105.14296412586528
47	-186.7827966163414	-80.08284711708399
48	-97.20606490092379	-77.85205802588082
49	-147.1579025315873	-73.36160807312199
50	-197.80817321350213	-61.71685988512701
51	-135.80669874774293	-110.30732730461924
52	-73.71593592390477	-77.07180339683742
53	-83.26056214131347	-60.27927116395352
54	-162.5483482349088	-89.56894106521892
55	-358.6178831535534	-78.46684906029644
56	-71.40103831141795	-147.88540783129721
57	-88.4080686263112	-78.64706980284987
58	-228.00816986208594	-163.53099976665985
59	-117.0411619459357	-228.41025880894952
60	-326.51283511661825	-329.8872234272821
61	-164.36853988255518	-279.99415137042547
62	-130.22477458326657	-237.82632088749818
63	-131.16862107960839	-256.37235712615654
64	-222.12960626835326	-294.1355109406832
65	-93.40758394350205	-313.0158546997296
66	-59.79356930879777	-299.7431627588854
67	-74.3855837089715	-293.6400333821169
68	-244.47387034489645	-311.08509362504964
69	-37.07368739714869	-357.7574954533016
70	-144.09093556708677	-320.34185657555435
71	-121.74443515264403	-360.6063544423221
72	-82.31803354980022	-358.9263676397915
73	-117.55611562331104	-427.5433477329288
74	-463.0181710537105	-446.1966735964872
75	-121.05997956638345	-644.3833754658854
76	-182.21561210001084	-562.7282112173295
77	-141.3839116280626	-514.8591312129016
78	-248.84369106802973	-486.7871026611284
79	-74.05287481915119	-546.229849732463
80	-270.27877742540744	-523.3221812298883
81	-76.72871904773564	-564.7406064981919
82	-83.81268318176726	-580.5180616859059
83	-89.74356091149977	-492.6994269288249
84	-73.96735082634419	-582.0457049422608
85	-164.34283651819476	-659.8311413420023
86	-66.15671745952363	-564.8982008677324
87	-193.29286284628853	-704.2597986373415
88	-149.7474784570831	-615.187311137871
89	-210.03110290297803	-821.8722980225946
90	-217.75261721596775	-822.7000391508672
91	-67.33300633153776	-647.649631366336
92	-11.449972028563451	-1007.2555839611028
93	-247.5802830248113	-566.2796367761489
94	-92.54281189425568	-1091.7096592580901
95	-194.78858313172265	-210.24945578697833
96	-463.4044988764871	-544.2170433028798
97	-52.03463817129733	-999.7386741677985
98	-169.21673929950572	-1051.3959562621292
99	-162.97217083238178	-1466.9584908771146
100	-165.20809877381475	-1696.966365716432
101	-171.1839198426352	-1445.3139199706852
102	-87.95862050620318	-2356.5193334224205
103	-29.51211206070913	-2835.1716467142965
104	21.371655416348517	-3524.4133088790527
105	-126.62588710119034	-4038.9465757439502
106	-52.62270927332287	-2007.571826958307
107	-344.0098541474425	-2229.440999309456
108	-103.33040085497356	-1905.9837512395802
109	-79.6905420458467	-2232.232630364326
110	-281.5999542501562	-2222.0545469637705
