Environment: LunarLander-v2
Agent: A2C_SU
Experiment: Random Gravity LunarLander experiment
Parameter: random gravity
Time Taken: 2330.4319047927856 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-100.79610688883957	-478.3388876387238
2	-193.12965896540928	-1078.026827621919
3	-305.0169719711206	-628.3404135041005
4	-153.6810968631744	-1506.431024940819
5	-55.625037982256586	-2079.3809780602814
6	-112.36196299159761	-515.2367313008251
7	-99.19260691733092	-798.0781792532993
8	-114.23890521765657	-622.4087934861275
9	-279.57241113803036	-571.0773974810079
10	-150.9961496198559	-425.39864566157485
11	-78.7659170091736	-529.1429817848787
12	-111.42006782235872	-718.2800951452668
13	-277.0781693884203	-649.6550878514804
14	-121.66807477133315	-786.9115631000827
15	-85.88047108085615	-593.8096538132365
16	-265.33138216409463	-1213.185233602821
17	-95.01409531774291	-1464.622957103226
18	-129.3921644668355	-558.480171497522
19	-164.74073585720075	-545.5885645890335
20	-169.3462518575808	-538.0958600388315
21	-141.70541190948978	-713.7244066935049
22	-66.72181385239521	-412.6102372052112
23	-219.2971327338349	-1154.9954412402446
24	-234.84120102638656	-273.52011369527816
25	-111.96899925794023	-781.9574096200282
26	-71.13079807301197	-867.9329544812994
27	-245.398272584182	-1100.4899015586907
28	-15.90240544402809	-815.8010730951249
29	-180.11621991543922	-821.7809586821301
30	-136.42803903243532	-791.0345437949127
31	-243.01366304549347	-869.5017009012505
32	-252.24732519818292	-922.8581999605083
33	-233.31324164648692	-504.01552852002123
34	-333.9510541748531	-651.9019531680821
35	-137.31501055592636	-840.4598363678259
36	-114.98954189358895	-655.7432838044746
37	-81.75464594993929	-549.6292282388503
38	-82.58682149338802	-342.95049220275905
39	-119.55697187063129	-150.92096580456257
40	-136.57644017171353	-153.31583073963478
41	-109.26862884371216	-492.4803570618545
42	-94.73065076289967	-131.26229764034264
43	-188.0037310764191	-113.33401720823001
44	-129.58447905346156	-40.03613719885868
45	-135.92963225951348	-178.86391943627586
46	-77.10705900136949	-249.3878410872614
47	-182.10289136035135	-336.3244795817359
48	-270.5648207066207	-282.599149179713
49	-108.15419672287433	-357.3824145149156
50	-145.4338628453848	-358.35213849277494
51	-376.90650495295654	-110.84798613054339
52	-69.32027255829709	-437.54206236844215
53	-142.56507149888387	-125.65365045667191
54	-326.92917588638204	-319.0198284357947
55	-111.13273960098265	-338.5629923710643
56	-192.13914185184242	-281.7558424144148
57	-194.16879178267362	-62.61023280710397
58	-118.39797327559924	-114.33778412810231
59	-303.075839085132	-343.6009646899755
60	-160.97999138697935	-79.0962643556691
61	-132.0030943306214	-163.3789201052882
62	-76.87676405319267	-113.87373475790348
63	-125.41357954353965	-251.5787677222122
64	-120.12078506803141	-225.77657219800986
65	-256.797997629415	-52.01046465417837
66	-148.0759635354089	-105.34165261779981
67	-218.57735200301994	-56.63037588807789
68	-130.13734428877368	-227.4342747306378
69	-112.06592976207266	-261.7178757447922
70	-211.8179046517829	-280.4866761416717
71	-221.0317155214558	-58.894903208181844
72	-153.30664131923857	-99.23570624595233
73	-294.2046620345802	-295.69053717569693
74	-130.26438407934558	-154.50127895663573
75	-129.03922140944425	-322.9708040024667
76	-108.82212887328197	-66.44178435013062
77	-279.3187232085984	-321.281163774918
78	-103.26723805671773	-165.46444441198668
79	-1.9164386219799638	-415.2396781048678
80	-75.94217248108934	-449.97761519568536
81	-137.0815836916161	-160.6646172061333
82	-143.53966248023522	-262.8089028788414
83	-122.64502969904824	-241.0805462897761
84	-282.61420454346603	-46.229596462532655
85	-84.41441824106744	-181.51023488160916
86	-99.23741905450031	-349.3691339050345
87	-363.26073796766684	-78.45392069967718
88	-68.75417978574218	-220.83765335148587
89	-135.78906681580867	-688.301057548959
90	-83.53204571895455	-301.32357546083955
91	-111.76463219622603	-220.94412373684904
92	-77.33370565851158	-240.48301080029256
93	-177.6954328421336	-390.3030108186764
94	-168.90015030136175	-265.68076008513106
95	-43.856739027434195	-304.5058932096913
96	-224.46961488482077	-375.43094828410585
97	-189.7765401377818	-292.97425965264074
98	-175.99149351065307	-355.59685707490723
99	10.673179968916628	-223.7203969720846
100	-46.871010159441454	-243.52542693934151
101	-179.66993701798054	-1386.1946446588784
102	-334.8386324223132	-749.2721617285512
103	-171.1093182639347	-1489.321094182701
104	-159.9819416316891	-536.2854527286864
105	-278.8278999601354	-296.1883255806635
106	-36.97604684617747	-1048.5652948122315
107	-306.467658776813	-1296.4515605314136
108	-123.2716688004396	-1490.7253331229606
109	-124.0877339909839	-1774.670849014618
110	-177.28981487147666	-2754.278548435953
111	-294.8439694674078	-895.8945407038351
112	-278.79925815140507	-710.4643631377949
113	-256.98933437457447	-973.9822202477562
114	-236.44449475488534	-544.4322225721054
115	-140.7034415610841	-785.3277049029285
116	-57.60686171443943	-483.19787825731333
117	-256.73098395749867	-352.0442895461889
118	-253.9930768429099	-2042.8205562003832
119	-26.11034905823091	-592.4785660459738
120	-22.281130934686786	-683.7408811796953
121	-514.2841756595315	-1018.5065693778473
122	-297.5625092141499	-386.34476326503466
123	-59.557668128607986	-585.0871514269779
124	-66.91209955789364	-553.4145947766451
125	-254.73754123744743	-1527.0194049118236
126	-367.6899798693812	-2799.3235394123853
127	-228.2592876599879	-402.0370771113682
128	-472.4761497262311	-1622.1428109103265
129	-242.01818010865975	-247.4838481392997
130	-187.043359902396	-1250.419776253612
131	-284.9253807586885	-2089.5148503004334
132	-328.4155757062258	-622.1357307490408
133	-91.84650922001768	-1383.0579847561214
134	-295.62901800704174	-1280.7337696411862
135	-96.80118262339329	-1735.4666210956943
136	-17.662931059013417	-1174.2599355959517
137	-136.5840694109949	-1577.5577457483616
138	-322.85866899089024	-2323.260073851498
139	-159.42336084195483	-1692.6351896716146
140	-43.033875989539354	-1641.9004069220694
141	-13.390059380057096	-623.5476870904613
142	-67.37447141741393	-1645.5685797217045
143	-6.253502554102852	-1581.342822256486
144	-186.8201723360362	-1080.8936875611794
145	-55.21478691530616	-1350.2982377192297
146	-391.0250736389533	-1922.8543650716667
147	-287.12764104513064	-2133.6419706591673
148	-51.65330328763646	-1243.148974939098
149	-46.92113470252808	-982.5757272052502
150	15.820221056470317	-977.8214885291278
151	-57.593264046894824	-1648.1678695450746
152	-169.05668082400956	-2427.672989308057
153	-84.53124256013948	-2083.8257683435395
154	-86.55767383618071	-951.9404173997526
155	35.7148482641031	-2118.86604087874
156	-261.3540577110623	-1520.1731601894346
157	-145.73010848132958	-3440.6106575532053
158	-37.23579946064115	-855.7351008116483
159	-116.63398011600736	-2468.3864152557962
160	-79.98052656724016	-958.0763469422523
161	-32.96337149847156	-4250.934343497926
162	-42.78499544860567	-1296.732446168437
163	-58.49813061410816	-1995.9645586527818
164	-50.698676825575895	-1767.1685541979728
165	-45.967779410509266	-1633.3950735964302
166	-39.19612445577053	-1152.8227156874575
167	-36.515909613255985	-1360.1604125852118
168	-75.61945140015865	-1602.6522462338578
169	-70.87015195071834	-1819.3292414842542
170	-37.093203306410345	-1726.438561101114
171	1.3601115593295106	-2745.7126304529747
172	0.48448749049171624	-7201.477323072723
173	-83.61651554357128	-4430.79835938131
174	-53.868979873413	-5979.63966323734
175	-18.333014079688724	-8835.175965745088
176	-0.8908152395935929	-4791.384703391165
177	-61.88389741966903	-2986.8476217119696
178	-69.82095471327159	-4204.577741572468
179	-62.673381416458575	-990.1258525748531
180	-4.710683393319897	-884.2779788679107
181	-15.089368296264468	-890.6666889012729
182	21.70447733408679	-922.8311362707275
183	-23.85781695874148	-1855.8362733083334
184	-42.07158112630685	-835.803993928085
185	-31.049855387986213	-579.3679271362332
186	-8.156275961680223	-782.9823358538968
187	-28.89816244705476	-330.3745301476669
188	-13.623766338894853	-545.8382428668713
189	45.274941793830926	-557.7810519825606
190	-53.749739801271176	-512.1671192749366
191	-30.03571016041677	-492.2277319150536
192	-17.526962301572254	-868.6778734506748
193	-64.82996650805194	-1136.499010697763
194	17.951529827341986	-1148.2772585783368
195	-7.873993881621274	-855.7461051458498
196	-220.7753110709253	-1048.5979047832834
197	-199.6990333147745	-1195.7407818990976
198	-58.48964218265687	-1168.4633605161746
199	-191.6253894338273	-675.6814771420453
200	-253.96651996590072	-1098.6801372723696
201	-9.273653978234526	-681.9229003681775
202	-155.86171391372113	-603.5841805662835
203	-96.08692088841413	-1240.348033558058
204	-129.96638642475136	-694.8694605992761
205	6.901908135453567	-659.2507638030215
206	-123.03181975722734	-526.8195296916659
207	-21.51312671687647	-317.8150382342587
208	0.33144805664789284	-430.48584232114933
209	20.951679645382953	-275.07010270795183
210	16.132870043934727	-264.04489238064366
211	-45.600782249661066	-124.17937565786447
212	-158.7752289591606	-221.7291224502973
213	-184.49413401987223	-118.08880096792566
214	-96.3661293352588	-191.1928827192126
215	-21.725633535393555	-160.3790436760771
216	-52.42292081511506	-133.06390614015726
217	-89.59108702416975	-192.39549083034746
218	-86.33714551424022	-143.95969596463556
219	-99.11670404764487	-124.90209573632251
220	-10.405733812908323	-132.68152437336542
221	48.67715557033475	-142.2850921148406
222	-94.52851972484054	-129.83593225273344
223	-211.06751013778174	-153.8985664314688
224	-13.908115243151196	-151.32899413930292
225	-101.1006481972799	-145.21234662233786
226	-70.39943004033053	-151.92813139889964
227	-39.917711063324774	-88.86171198668343
228	-4.190690688079761	-159.8410150548526
229	-10.252973447780182	-223.46460122936844
230	-20.83492298564324	-145.74143855437447
231	-18.287450077445527	-319.05084715066624
232	33.871437075440326	-197.35221338326866
233	23.40151128743706	-260.526276217881
234	-67.81527405560323	-201.83592543647524
235	24.887806862201032	-131.19992474278487
236	72.30883424163599	-162.41565409397225
237	-59.36348063697584	-183.75616134641427
238	50.640980676066626	-186.29496405984253
239	-4.9439911410043464	-184.80162819832483
240	12.387563590759186	-145.81875830366698
241	50.22574730423413	-172.54587326379067
242	-49.8571640581427	-153.894816486794
243	-39.65725672872924	-148.69192826485656
244	-16.903040505243197	-152.48734969443797
245	-126.05456225174544	-167.47710526911322
246	-38.18697749050841	-165.71398494770443
247	-71.57746057620659	-145.74056794148257
248	-21.205584895939637	-182.69144346865232
249	-99.03150110740526	-187.76910337342588
250	-55.78481280518028	-145.66198280281324
251	-189.21620975060802	-197.06340256269084
252	33.31299136295104	-151.29122126503404
253	-176.39144615839254	-183.40464983284414
254	8.49318008582485	-146.02999118059657
255	14.220856666302595	-170.87452615408858
256	-87.89212713048899	-184.48758896623292
257	31.59339885181612	-175.86940775282324
258	40.00255668671376	-203.07639096266664
259	23.800303727312155	-225.79718621492162
260	71.58885657710402	-193.73370313391297
261	-44.37036397905467	-293.32093555131377
262	7.1871547650320196	-111.355753932192
263	46.74926204446331	-26.150035391503746
264	-0.8354961630619044	-100.67738158692725
265	-3.375036981092933	-135.95357180192394
266	17.09828078936441	-157.1809256309703
267	130.2319626523988	-155.10371751291152
268	55.786561331352516	-220.89709093685093
269	20.114251576551766	-158.91891082957792
270	20.687408328013348	-174.59855665281128
271	24.01762196682698	-175.5379655497407
272	136.96368894536653	-231.0202413494946
273	-82.52193272233211	-249.14704339965857
274	-54.38228039750156	-154.47600233775762
275	83.55764218003766	-143.07628589418027
276	-99.21574313244069	-202.97818078265033
277	-145.50303246671	-184.93179662711714
278	-25.588462112297137	-218.1474346107246
279	-66.70947746134131	-219.1452016245791
280	15.892429361775454	-186.87077128800937
281	-102.31101134530788	-225.93845019651752
282	-185.76468076541488	-208.28523718892325
283	56.29830796318828	-150.72280141289957
284	139.64840542343194	-161.99589862657314
285	210.70785710644333	-129.50681441190144
286	-229.02221097478957	-240.1565571181174
287	-114.53144329102855	-212.07102298149454
288	-12.852717608836102	-187.16078065692187
289	-195.10387972655207	-158.333132842932
290	-144.31212492664307	-221.33835297334397
291	151.8155660283992	-208.61666004180546
292	-136.1270279784776	-226.96989065646952
293	226.55103516662427	-204.22144452499958
294	68.03029419620108	-213.62975922973808
295	64.45343390916463	-231.26985351303674
296	-33.08482158953838	-198.2799190157733
297	-31.078489296313336	-142.16259960746805
298	181.9060844338718	-129.72411976852032
299	-155.26346512724677	-214.26726355941233
300	1.9381133234005716	-115.14367840549058
301	-31.23080630155627	-133.02712971573985
302	-8.442963668101513	-144.89608226623827
303	203.20742827283564	-142.60534839189708
304	172.74969073086282	-150.54639305063762
305	216.81654469957664	-160.46464384899656
306	159.2436722450314	-126.06817325826405
307	41.23218173307629	-158.95538731871005
308	170.91156422105288	-137.41610971293233
309	222.8200745677942	-109.84396121899596
310	88.5993336752854	-129.1401856090938
311	-41.094415326517634	-141.4937684327237
312	54.909441597179246	-105.65791098200135
313	-206.73358061007633	-138.9774365421339
314	160.42569832336392	-68.96838757578013
315	175.15696632679538	-89.37420726223105
316	23.76940581026345	-83.24211654112692
317	151.49397257871195	-48.867204735374855
318	238.87198842459955	-68.2843768156129
319	-22.38233317564257	-14.238608978401018
320	211.27569476714643	-37.001140510984094
321	202.95899978503002	-99.04367585806087
322	-100.78107893185238	-65.95923735404102
323	218.77577056022648	-45.10602712560212
324	-91.44639045128379	-48.8198520444568
325	-12.326698381954216	-31.144833056568018
326	-6.642355226429842	-76.87360874365618
327	118.55909696065174	-60.88803994023799
328	86.95024533661652	-36.825426898451646
329	20.294845559061827	-41.37652973294368
330	-36.82915880699625	-79.05102412189468
331	8.992618874542245	-90.70053197748656
332	157.69606694549702	-74.1999393216855
333	170.60946059078168	-92.68101076126378
334	29.408707845676076	-77.64965074574103
335	139.96775150185658	-82.74042350232114
336	9.011013552722858	-96.93194308745419
337	-118.26934953362272	-112.4288736129709
338	-178.86296533809366	-108.23062177739166
339	147.21438052544286	-95.83796114107585
340	-40.19795298662447	-107.42412370468136
341	-15.017593634826184	-91.39080340713411
342	-147.45583329825797	-76.26879914225718
343	213.2012452490068	-109.02329236460783
344	209.99173965556344	-88.4238339763826
345	-0.8451990674573864	-124.55637892041827
346	176.62823117843533	-122.94557867630496
347	89.13044464881699	-116.68962600902275
348	-49.767671350614336	-126.70265207889845
349	185.73537648902465	-170.68802642440517
350	196.3295094106694	-123.76068760379488
351	-104.83846195111971	-129.09070101199825
352	187.51457109640378	-147.32242417983488
353	-60.09891871017268	-196.15000563371171
354	161.93391034610357	-168.92736013937048
355	-165.82635108756097	-224.76837219245934
356	-0.9845421074127643	-221.95588704194162
357	-266.15561703490926	-278.3498245231464
358	132.77663018961198	-233.1280034238634
359	-8.871324845712024	-217.93449763147646
360	20.13194175934926	-237.52740005226644
361	8.489079973795517	-162.3690144159601
362	-180.19152258841876	-146.66148628517666
363	149.3625007675738	-107.36814352420153
364	19.418314615635666	-123.69194301945011
365	208.28254657882147	-123.32761399794664
366	132.76553015449161	-83.19264272852908
367	173.15805038609358	-53.29255387035357
368	-88.54657073874517	-28.284178304972684
369	-48.70768946681453	-64.91640398723521
370	212.15504290854886	-37.93512166630513
371	-90.22498965823269	-32.736859055610765
372	154.17843015562835	-69.64529594917664
373	99.62761668691144	-16.54598615621361
374	259.1460392435525	17.24337109839673
375	-243.47192615418112	-16.252163982871206
376	-28.24336267757168	-2.872814647061648
377	5.4384537008511415	-21.832664363925296
378	219.23137127296704	-20.776495540793377
379	232.32770172128497	-23.982534928614633
380	224.17937614758034	-67.98129083857658
381	277.65525229245634	-22.669961603806176
382	259.9694212555403	-27.67354607456854
383	-280.0592434832521	-50.30320881861602
384	242.75945118641602	-0.9231260491599844
385	204.78835459942053	-46.713984363906576
386	-73.66987969760537	-63.37000221369994
387	271.37294948257727	-14.303499267755097
388	195.08265318875075	-6.05726175297551
389	154.13665870732012	-34.45792763751379
390	13.915708601991241	-37.15362362786414
391	214.7824122425833	-78.45359908184248
392	16.749224684041607	-51.896641161575154
393	199.1007856910517	-62.30172278705243
394	31.2349784675327	-5.588150523244661
395	-12.302464745798943	-39.94066341524765
396	-134.3578032959727	-27.996046665192118
397	247.20631265296498	-12.26809392978658
398	-116.6695566434212	-18.817226632938205
399	44.09696147669098	-27.602846646523084
400	76.71072805662408	-55.40604887049655
401	-228.8481508282542	-0.08892522577353423
402	206.2381232876823	-40.91516411249307
403	-10.364966394853852	-65.31053081233738
404	-10.624333123668691	-78.67254900338
405	64.91836969514236	-70.98071670938982
406	192.4779825520788	-10.107413393041327
407	-6.755119727247433	-85.4344211584983
408	249.41998782879824	-44.93278035332619
