Environment: LunarLander-v2
Agent: A2C_SU
Solved in 927 Episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-310.2023435590677	-805.3944660642665
2	-85.38270922806052	-567.8993769397015
3	-240.97566719302893	-522.6071505043258
4	-98.3656358383627	-369.9260724751827
5	-207.5216888353307	-576.4248364393916
6	-149.87917556436122	-617.6670240107287
7	-142.2311882950949	-782.9918661452451
8	-264.2025574989077	-508.3231048007791
9	-136.7098226125924	-511.52208290546787
10	-169.9715592874777	-249.591910814701
11	-317.1462249034887	-103.09690879583175
12	-81.67340862778343	-129.78627365729935
13	-133.6233251016277	-220.29756127316514
14	-70.88275782229262	-11.906756926289177
15	-128.20594894945208	-59.622110169925584
16	-116.24764376913318	-513.4044045128858
17	-137.55852567561217	-66.01052907894142
18	-107.40457471674196	-993.1213461050505
19	-72.57089583861922	-979.0886612196783
20	-210.72332188206718	-726.4368195010478
21	-107.60424432829505	-1071.9575316604255
22	-255.43322387447716	-635.4044920789366
23	-76.23627464172989	-668.9304953219498
24	-65.11181928546617	-2916.3095748452606
25	-98.13086283164174	-713.3485398710945
26	-164.82771152039692	-626.8345453702268
27	-226.56514522212444	-373.5362794885388
28	-40.29940133817181	-733.7408757281751
29	-310.0484207704727	-1605.3877881512442
30	-301.9662091639475	-1719.094458729588
31	-119.07484717864986	-837.6888392660959
32	-121.2094941546425	-1842.083594707862
33	-133.02933493872587	-2088.055204580898
34	-279.5114895149776	-633.9679030677112
35	-95.9122837958112	-1213.2137073753568
36	-121.29036794998764	-800.2362139474842
37	-104.58965793772373	-733.1270245605537
38	-84.15937553919284	-593.2587896658572
39	-463.34395570945145	-635.3050038000464
40	-72.10635952939613	-2109.809103310458
41	-152.44138571340306	-617.6355685987241
42	-294.48085821560005	-729.6922211759595
43	-89.03378726382644	-483.88344505906366
44	-247.48801972825817	-709.2122446342754
45	-605.3959250965261	-510.0653975379385
46	-142.12957588588569	-2002.8589944146627
47	-317.9816119431607	-979.0152294374674
48	-63.441845593570335	-616.7857245051124
49	22.58515767398262	-485.14096110717986
50	-126.6872061021284	-1112.8315699112313
51	-42.02467105773429	-1040.1567598985562
52	-52.945964524200775	-572.0413967690358
53	-24.80310059311705	-2333.694559958368
54	-79.97398771987869	-1117.5636291800424
55	-219.50611973963225	-381.0340455909194
56	17.124436953891774	-845.2050835915504
57	-126.92841953290423	-1541.2941503990485
58	-158.53825050399294	-717.99506455362
59	-92.91583421371017	-708.5135406817553
60	-74.0973058403286	-1079.9675193546805
61	-92.64473028571489	-451.64734336185114
62	-283.19561606234817	-450.25800341290255
63	-152.69651865341586	-1795.8547274745606
64	-84.53333612657963	-499.1047732668748
65	-56.72891112665517	-669.8349991846641
66	-49.47544023224651	-2255.8985444977825
67	-120.41822611985103	-618.4076906848248
68	-16.415993519650016	-1468.658953762654
69	-59.224044075493595	-6417.036487032998
70	-30.007334908614396	-3212.9087945179294
71	-114.09635484066335	-2265.2224731844226
72	-34.40237043429566	-927.4632457609058
73	-112.50255994570381	-710.5571256793353
74	-73.91523626054024	-552.9119574176709
75	-173.11528144604375	-447.40002643994234
76	-53.09210411008737	-2334.0643381863392
77	-20.950389249713638	-341.7013754802084
78	-150.98193729018868	-481.61900888370576
79	-63.704087235282984	-756.4837191872083
80	-76.17998316517281	-496.6935416936051
81	-36.72071120949519	-666.8122602892012
82	-71.12940186322942	-317.09179356296374
83	-54.86467877075479	-453.74747011352815
84	-104.8164953125177	-410.6105474750947
85	-54.869747248636	-648.092483563186
86	-240.0652100324586	-253.83853718081554
87	-139.83846553548884	-237.1182180702697
88	-58.08315383755563	-168.46316414015314
89	-53.909435424288944	-382.3186458724272
90	-62.97338858891812	-200.2190981843977
91	-63.78257709187885	-240.55005978675365
92	-126.82039122159958	-348.1540972956434
93	-69.20572056967116	-394.1468324046729
94	-58.57644580255523	-309.087012624316
95	-107.34790162232233	-357.28107358971687
96	-46.208670385497506	-373.8738800541456
97	-122.95236600954104	-149.68559532446062
98	-65.82300471554271	-819.6460692659531
99	-43.6932176275497	-543.0849141797299
100	-55.002854840591816	-1591.2619855492096
101	-32.233965313865184	-701.3774742851551
102	-4.296331222756379	-728.7842140879715
103	-95.87509513555489	-563.0495000259439
104	-23.272670358472325	-364.0757124723645
105	-44.495034655815736	-311.8157955461684
106	-42.32496123474929	-214.77513132392198
107	-151.18070368680918	-491.0381792208176
108	-47.110794057836614	-571.7679901455963
109	-59.76478561064464	-1194.9793915310327
110	-62.40729284217462	-1476.6944054017351
111	-24.624116332475765	-547.9669439217921
112	-63.87173766901151	-1150.9054043680414
113	-118.49329436208203	-969.6352650851971
114	-66.50364820232986	-1554.7868629615655
115	-154.65417221417854	-1348.4767595915139
116	-25.591411200495614	-917.1998231887271
117	-21.876844208365412	-1247.7527494651986
118	-211.7647536245188	-1005.315005091905
119	-196.33398386905768	-4635.075948096826
120	-13.034438394560866	-944.2324700976789
121	-216.18400079636393	-2585.574502504294
122	-243.27704128952388	-973.5122285519114
123	-55.32796406758158	-1479.738981259296
124	68.79683585009577	-2200.356645561267
125	-44.264632303369865	-499.69826873230835
126	-109.34638857359464	-4810.3216273459975
127	-114.36296418084184	-1308.7461792722206
128	-76.46691504928143	-1174.8006728564196
129	23.98300140461778	-425.3584711754078
130	-178.05023251736444	-573.913247340953
131	-163.6537323386115	-888.7211483457426
132	5.5631981762425085	-878.3715536280165
133	-120.54267275308608	-4474.131651568707
134	-57.57350555194424	-1232.2372697799224
135	-155.124834073584	-430.47633860281917
136	-119.47607101382201	-2796.1118482179654
137	-67.3675092146905	-1175.6063096799585
138	-203.03702481082163	-906.0484771556407
139	-84.65843401219009	-409.3865435173716
140	-41.154649943501454	-3090.601192406562
141	-457.6515674923785	-306.8111472827014
142	-287.64881161003086	-2533.2588032720732
143	-140.62364369649848	-1810.5858563052777
144	-138.76217145608655	-1821.709186932119
145	87.62895481121625	-337.90668033899686
146	-282.5379172632795	-1769.913830459907
147	-359.57698040564566	-1253.2107451301042
148	-25.494953484315218	-1636.0266812960497
149	-4.724944909840289	-1653.0290166452019
150	21.116396353177166	-792.475920394792
151	-474.1781339269286	-3621.341765167962
152	-170.28429454592407	-2708.7674736422546
153	-178.33218664131275	-802.9750971782548
154	5.441835446591	-2681.4466698394936
155	-3.1200418742487983	-5156.123928263824
156	19.70412219176582	-469.0924388290446
157	4.389617924761666	-3178.388902354148
158	-38.35203925459561	-4033.1292045990294
159	-0.6592509341862609	-4718.512920926347
160	-1.7789746936373518	-4075.5239231023356
161	-89.7553503123178	-5111.850226940078
162	-20.012645082562656	-4287.252349057884
163	-66.37804078268573	-5343.319858912749
164	-78.0647904764883	-2113.8827366741098
165	-31.781376844735703	-1751.4693248422398
166	9.52630836309045	-867.4164594202352
