Environment: LunarLander-v2
Agent: A2C_Target
Experiment: Random Gravity LunarLander experiment
Parameter: random gravity
Time Taken: 1646.218420267105 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-423.4378528076854	-100.57554369632406
2	-291.01965687914674	-175.0399288017728
3	-105.43856872702071	-152.54255430506694
4	-73.76831428909276	-123.39033403488023
5	-284.1427104332741	-143.8381983061126
6	-96.15655499172587	-87.23985559480819
7	-338.1682722837995	-205.29551252601667
8	-254.8468992576071	-124.50612519730603
9	-219.94912909130915	-105.78303316115216
10	-211.64331433553218	-96.90877503392079
11	-370.08570815717314	-229.20889168483058
12	-86.17412937532939	-155.05457233933126
13	-241.9155025458276	-122.30661194552077
14	-261.54925352748927	-104.48031644119028
15	-167.69433476432968	-134.03631376517603
16	-64.82884591771305	-149.28303213147584
17	-119.21668273824629	-142.93110569907645
18	-172.73786583568065	-136.1435632975778
19	-127.15555282354904	-130.61330637057614
20	-111.55567691200959	-102.53496638298591
21	-110.75341334566838	-95.07430578296261
22	-137.08009914015855	-99.29906219163304
23	-77.41623600452276	-143.25130579036647
24	-117.39974702527593	-175.92051696301218
25	-138.408012531239	-140.8013473771616
26	-130.26095990265472	-137.02637921425261
27	-170.81909583655158	-130.21490988456543
28	-166.16995271324004	-104.6751381827147
29	-69.78126306586918	-381.57857409652956
30	-298.1890225630882	-174.01248785817998
31	-120.27820760567529	-198.15795478993874
32	-128.92969434397202	-365.8531449432701
33	-156.04216672039735	-532.3140321349447
34	-131.1943771622878	-137.31193414330716
35	-114.4545246601637	-617.483931503484
36	-158.5476076350746	-142.09674494554014
37	-194.39341573621746	-147.62711413440715
38	-101.61011931693625	-126.6710977917889
39	-216.54416020636387	-135.16136904907952
40	-328.52962354519053	-602.4645491924791
41	-174.67711304333423	-104.2685995751695
42	-119.60725820065251	-666.5531114661886
43	-144.32677864515642	-586.4418888337125
44	-70.40138610910913	-760.8106488887288
45	-196.34112904998585	-90.32779529240834
46	-100.63836856329975	-672.6146905679373
47	-125.79829162359779	-708.0428302552505
48	-103.06995556779906	-763.955803832656
49	-176.94122083308207	-400.5298641390259
50	-133.04937148544568	-741.5814313729041
51	-84.03912055099559	-355.5643799418627
52	-110.39802938628453	-427.83794287152625
53	-172.44420437994944	-849.4055073898562
54	-124.789897692647	-33.45002299712492
55	-106.78625045299462	-274.77337373575597
56	-74.7318141098833	-499.91960646193127
57	-172.16862198348565	-643.8583290227831
58	-133.87610483936552	-562.0749534664296
59	-250.44690495574565	-445.42660260580817
60	-235.877271452485	-503.2296201028533
61	-81.19497614708297	-825.0209293287452
62	-121.28842700779053	-726.0404657321449
63	-86.86884301875328	-790.6790617317678
64	-120.20736792907283	-469.5105304476909
65	-186.04171891748587	-450.68766793844753
66	-185.34881530244002	-615.5265174388308
67	-88.10630502212285	-658.5464701499242
68	-70.32309314139162	-552.9202540028255
69	-175.86324252047058	-582.694226579328
70	-138.92617381285586	-649.4123465109651
71	-107.45495157949419	-886.1055949473688
72	-147.86168131644263	-674.0195271107467
73	-77.57594339266817	-855.2942890939745
74	-99.66869414329996	-724.696136401949
75	-67.46158167336156	-938.9861679842578
76	-138.55260767593617	-1039.6842653667836
77	0.9077658964700248	-619.8355976778788
78	-72.81690807562056	-397.9218456443409
79	-186.5579688895119	-699.7140738490273
80	-158.56705310622948	-897.0046923757167
81	-84.37122010554486	-700.5900286504215
82	-217.95242203266113	-771.7780232622961
83	-81.0173009841208	-764.4109056160394
84	-103.19459490368847	-797.2522219797243
85	-105.45285009594835	-787.7643008211796
86	-191.91415163492573	-1061.9808336938254
87	-105.42697604831255	-997.4301102102235
88	-120.19966731814483	-946.0925243622753
89	-113.89878136328372	-1010.6369419224325
90	-356.40480494665024	-671.335073092648
91	-252.84818117587454	-1271.7153884958952
92	-353.21421488539886	-973.3911298201958
93	11.580919997210046	-1113.264259775409
94	-122.61204692092372	-1361.4543706030702
95	-112.06670772464224	-1201.2430875248979
96	-218.81848624211267	-2478.5502603117557
97	-157.96607817879726	-1340.9584661019587
98	-111.0127636524256	-1352.0937399793725
99	-77.83243331569646	-3450.629329577004
100	-102.70132358900716	-4605.076013459409
101	-319.54460514616835	-365.4799844231898
102	-49.56017702113587	-1627.143111516533
103	-74.18721013651957	-1345.0041838047498
104	-136.200856500435	-1277.350422425511
105	-130.21613307078417	-1059.3466173548395
106	-111.12253642633877	-1852.5842008553807
107	-273.67585110089385	-447.8856307087728
108	-130.11956230399713	-694.2511123837866
109	-221.0807635553742	-780.5702561624106
110	-120.62597442177292	-1419.5883800882966
111	-81.3657892300767	-1683.4195924439662
112	-95.39312689802605	-854.7883663406316
113	-92.9144131163627	-1201.6537467529943
114	-41.67831412903361	-906.5620312708816
115	-59.86565053952598	-925.7031968476005
116	-189.02244248398932	-1051.7746301809043
117	-68.34159023543407	-792.8982157804005
118	-56.86646276660089	-1034.3600276563143
119	-242.39937074454278	-1037.0042413057195
120	-216.8610274449245	-714.5114576958673
121	-82.45791697755106	-856.7810448740591
122	-106.47395157384237	-756.2132344760535
123	-319.19962222471077	-1024.3889602106187
124	-19.031413325089034	-778.284024043564
125	-381.7047330139737	-755.2746895878784
126	-75.67208101650314	-969.2990439679315
127	-218.06831623927542	-786.4682166518444
128	-106.45355341435611	-1048.2243645585168
129	-35.142354068969524	-898.1493798716468
130	-144.79887358158612	-828.5852067672379
131	-137.30947771911764	-1043.3327093203538
132	-28.92785467966459	-807.9291286219907
133	-55.17096629653063	-573.075025222661
134	-20.115207741546826	-974.0198328948699
135	-102.46250150412595	-833.8220121838044
136	-34.823548962263715	-872.7805802726123
137	-75.428810203572	-1245.437820735213
138	-65.30340022179	-742.4143260115494
139	-42.336558134041255	-1118.6745844684974
140	-39.10241914874651	-1485.3686705418827
141	-119.67848741775563	-663.4492932644952
142	-158.03053895188214	-625.3085293368964
143	-53.28779018507277	-677.1024226820947
144	-86.29276191900293	-744.6158993088164
145	-57.65920811851539	-895.6141056713967
146	-72.01333661062822	-247.2609623845379
147	-39.939677523434284	-277.3179230966409
148	29.942889251775966	-2645.0802722379603
149	-88.5339895493919	-1462.2400738741844
