Environment: LunarLander-v2
Agent: A2C_Target
Experiment: Random Gravity LunarLander experiment
Parameter: random gravity
Time Taken: 1073.3417382240295 seconds
Episodes: 1018 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-123.22199684919066	-92.00007643011253
2	-243.1316623813378	-122.07049202412853
3	-158.95983688202614	-128.9541850529152
4	-563.7064117644939	-152.702032230321
5	-183.0596102233119	-128.53556844849487
6	-140.94387113648835	-127.0654711189249
7	-48.510526798827826	-158.10596252511982
8	-124.79811853515594	-112.0523767578753
9	-291.5877589513263	-144.31475568786496
10	-61.54907461169229	-139.9671586694044
11	-110.24534564435899	-105.21428896042462
12	-142.6518026873631	-165.2807438325541
13	-245.93285025895614	-111.05086534720309
14	-174.34863473294348	-140.49534027854102
15	-106.448351060524	-118.19649812263236
16	-78.46764774513775	-150.3203611823311
17	-98.63427511661556	-92.77078852764322
18	-128.07826822020485	-146.63866062742218
19	-155.16007851481163	-99.94106139529943
20	-100.13683386884404	-130.82279890222716
21	-102.17935957407504	-159.91029988229252
22	-93.87925963599014	-126.98285411602575
23	-148.64672953918904	-129.5956254014465
24	-173.07701394419675	-101.3116519880877
25	-180.78580633453686	-126.55219948272097
26	-362.518356305408	-131.70998940668744
27	-344.3061454491426	-97.31680514593371
28	-91.87436016998481	-128.36915140650066
29	-100.61100185103729	-108.44320466440504
30	-125.15637291474145	-106.09677906546597
31	-159.98103445574264	-143.2521082803116
32	30.7072853121374	-146.67235759114251
33	-109.36985292076056	-141.28597786654728
34	-112.83009585515667	-164.84890582085984
35	-155.14438268807453	-161.61339840005996
36	-89.2521132572448	-153.2002733028548
37	-209.65889805368556	-266.0750093974161
38	-103.61696553264107	-535.1456411141912
39	-145.49503873780523	-202.5189436932095
40	-251.09776916103394	-512.4732369593739
41	-108.10683668014502	-518.0490361477068
42	-95.4187238907351	-553.2235477430436
43	-104.08003088178822	-466.4287139974866
44	-94.26757520438422	-602.8623678148133
45	-85.54331064837135	-158.4843597911294
46	-295.7093045421996	-483.68418348235366
47	-113.8743413720502	-456.8780868871336
48	-121.07144807851063	-606.7875199687179
49	-208.45560750232744	-387.334643144719
50	-109.71261796208967	-560.4134960571271
51	12.278047877383258	-397.9653930541081
52	-156.28594643817462	-409.36121189250696
53	-11.084942711611333	-810.5542437045298
54	-275.96893630367674	-564.2008132027734
55	-180.02095156169014	-588.1547472298942
56	-107.76868010471769	-875.4260637592125
57	-83.31657022450011	-520.9005932131282
58	-252.98072049854196	-387.0179060528526
59	-95.7616647830048	-684.5111345391027
60	-154.09028881211952	-670.8436635209727
61	-192.1042049219319	-846.6639067304288
62	-110.70612037904948	-767.9908512678037
63	-136.81128021732349	-726.104910467509
64	-72.97170308577367	-599.8079781295992
65	-162.1425341047074	-791.9108341026554
66	-83.51440880069595	-592.0458312210733
67	-140.23137588017096	-650.1494249252203
68	-99.68333523600444	-685.9171142151844
69	-77.17217081882984	-756.4712461032424
70	-117.9692911431552	-679.5280185857408
71	-72.1328805576289	-711.7092743955145
72	-317.4412906732895	-529.1600135980958
73	-246.27057634243113	-426.9572197264733
74	-128.1685713574194	-663.0546400185493
75	-337.06102194304384	-658.4518280448667
76	-202.76635191149498	-738.0345783984229
77	-148.29335988730264	-554.3581338509168
78	-86.46296573849843	-713.9176102943443
79	-78.66233035169952	-702.3606685294403
80	-154.8693535798754	-564.2879729351249
81	-91.11321389277218	-627.2253775969562
82	-33.177677702962214	-682.9870493385669
83	-263.7703931914045	-692.3917177237262
84	25.386109552242928	-605.4011960115987
85	-360.75691921283857	-622.7844154731928
86	-152.0862075172074	-771.0011553768201
87	-99.6452565900602	-710.9770599903629
88	-193.33136845572614	-688.210762757648
89	-84.9905773938234	-672.4457243561877
90	-147.91043733650343	-632.72298609036
91	-99.38033848073384	-601.7731873221986
92	-105.72554713008674	-591.7244609453064
93	-297.27417994847326	-695.1577273123203
94	-69.16495590595727	-678.4561817900345
95	-147.7449803922537	-633.0076929408947
96	-290.35378049695237	-703.0185546987108
97	-105.03332036885321	-680.6765540470351
98	-305.1342346600085	-622.4018147168649
99	-90.67270887429937	-608.1031697341233
100	-74.47343550375852	-636.9172049176864
101	-116.81807794478189	-598.3466141393994
102	-127.85340061731539	-751.4918296591388
103	-150.69150536985435	-667.3727268497053
104	-76.65680495061386	-633.0905725899462
105	-253.34925852634947	-709.8821450163595
106	-362.11595278681745	-766.8527703048472
107	-188.09300562508867	-547.225929882965
108	-84.7058337249905	-850.0133279443378
109	-286.9500210548918	-400.87026853375073
110	-114.38939438487422	-625.3347667136085
111	-73.62404078801504	-329.1275181286818
112	-106.60155610790035	-673.7756908921767
113	-73.36800663294994	-768.5998479142976
114	-58.358001599108434	-360.984512326539
115	-69.87112494949687	-244.33455838570177
116	-76.57753928550926	-258.8265173894635
117	-109.96206655673899	-304.41461615645983
118	-28.887402856641515	-309.4749504214341
119	-271.75319569715066	-339.95976430687915
120	-102.82094600746011	-284.84047467429673
121	-80.69539970963827	-335.45668506123013
122	29.064865976058428	-383.03285307775144
123	-234.23149892752028	-365.9238072936059
124	-85.40452555905482	-133.28326956746776
125	-42.21847376401584	-366.2578310359233
126	-184.94322041179453	-555.826249464307
127	-169.30458491186576	-396.1179318807651
128	-24.241326800714248	-525.6123849239133
129	-31.784874791362554	-395.4768576669669
130	-113.4711002084428	-502.97774334360656
131	-55.79885786926381	-353.09742689203847
132	-65.81107555286741	-288.90868896880306
133	-95.01189986211136	-465.4669555393363
134	-73.38938720252517	-534.1000126461906
135	-230.11029373941867	-437.1125927558576
136	-55.41210318455913	-676.6605941382315
137	-52.47937779369073	-407.1248971844827
138	-109.16050697814762	-493.10898742485733
139	-152.388266773247	-515.1767755521325
140	-27.283428188954716	-699.8253530723114
141	-117.28679394889326	-687.6808890324135
142	-105.45817657629382	-411.8587812782115
143	-243.7466010447298	-513.0420864820618
144	-45.64403247634084	-510.962033741726
145	-35.765090409033306	-1038.9552439264517
146	-20.14892999321694	-541.925079220963
147	-422.96495176312095	-519.9417578141013
148	-50.906488703819065	-285.6815168273754
149	-221.350992655505	-371.2586840569308
150	-16.56381665052018	-892.6027571147955
151	-73.95525679668026	-847.7294661684105
152	-79.72309489602324	-290.893256105569
153	-90.62550449035317	-522.7116621819068
154	-79.40876365808866	-374.8607499033244
155	-33.9031363039489	-726.6598026779845
156	-6.1273017944095045	-474.00007245844995
157	-131.00023386094998	-175.92402329422245
158	-45.93709638017701	-373.6399049469753
159	-27.69885825094495	-274.9389999715669
160	-84.57308719877165	-209.15790063690216
161	-14.581103583556938	-513.6548486970596
162	-82.60948256321304	-331.37953597057475
163	-75.95887541031684	-429.09363410894537
164	-108.92089375544502	-328.44420575303957
165	-177.78545647375006	-609.5971754683197
166	-13.531686274915671	-263.3023715748925
167	-43.981697368046134	-432.19858205762574
168	-133.41117757058197	-461.33466365754293
169	-31.75773375237145	-434.87804226457064
170	-0.3929914949626152	-724.5418693504284
171	-118.59285971406969	-550.1413245903009
172	-86.18508261468074	-490.3797576738236
173	-285.373444911918	-773.0179446446753
174	-160.62217951506082	-216.71636057827365
175	-29.32512311071649	-722.9826813603302
176	-48.14796473496192	-534.2481134628761
177	-48.960491591461405	-958.8876308980776
178	-40.85285032765094	-734.9638927395307
179	-47.397845086638696	-704.1368631179828
180	-173.33622520963104	-422.0814269060746
181	-173.53040663518834	-622.1132677211965
182	-51.72081997358201	-410.32100481956974
183	-183.27160197633032	-236.4287533008873
184	-262.7156110694482	-493.8265388041242
185	-159.32192883860958	-481.2509850838896
186	-128.19105592378173	-481.3770798268806
187	-18.960405098134274	-319.54536317786335
188	-163.41939089490495	-309.2848125591852
189	-131.0777896026994	-409.90343808789135
190	-24.391500379540872	-385.1305770796672
191	-76.20415888150217	-873.0627245667719
192	-62.427672412269864	-472.3046445073674
193	-82.1459200669543	-439.88196736394934
194	-141.36327003937885	-468.73903658787594
195	-45.35112497123144	-513.4163927988575
196	-28.12476440470064	-791.2880964071904
197	-198.57818137449402	-267.540493285369
198	-145.36273650992814	-568.7516066793073
199	15.425637894348784	-611.3863286194946
200	-179.99475614368026	-341.1464708675035
201	-90.59865238085358	-533.7544492393594
202	-55.59925429704655	-551.6737550732679
203	-24.784298034514343	-828.3286718388567
204	-36.85903243273174	-510.8436014130906
205	-193.5201428923813	-482.0603888626042
206	37.32642900610264	-1771.4322967846613
207	-41.28524206453956	-3882.090148875575
208	-38.165558609208546	-8218.194268971609
209	27.84078524382312	-3121.77310816108
210	-85.22100517858854	-2165.3904209438715
211	-77.89980266150384	-1594.3257848535177
212	-182.42260715271124	-837.0249312319793
213	22.478667166149474	-1122.6341658181545
214	-325.65880156717265	-1114.3672825297378
215	24.375383764994183	-391.2471588026712
216	-224.75555448531242	-1007.2222681028921
217	-195.44207309527363	-1098.023136259992
218	38.001525966806774	-280.8820698557247
219	-233.70463822094277	-285.8483686461087
220	-258.0273613717436	-261.3692574817588
221	19.96627452417981	-656.2942400860359
222	-115.75381973244994	-1172.8066228529824
223	-66.35996289112714	-764.5298063662642
224	41.01846954910709	-935.3693667739153
225	-107.48949758098559	-642.7709250073556
226	-74.90469933098139	-1137.2368548182644
227	-83.36556510220089	-831.5741606871823
228	-175.51462260637618	-1027.0909105396709
229	-247.38587758623368	-627.9462599036798
230	-48.25958329857216	-960.4472378763484
231	-30.24135184081095	-638.0484979908341
232	-43.179866191664615	-880.8984446459376
233	-57.05012378772125	-630.5925821729662
234	-98.36797010088927	-1221.4415587066933
235	-1.935393811100217	-531.2920363815397
236	-25.889756348294725	-462.2278471288203
237	-187.29193270325362	-552.0752881852336
238	-143.79922180632133	-197.7885228620252
239	86.16852501502211	-205.0000226154924
240	24.75845187127406	-489.8076206307321
241	16.630810644048452	-446.82727796656815
242	-133.8324726913405	-249.23865621089115
243	86.17756107062691	-274.53848099758886
244	15.496700063879643	-219.82780679371237
245	-13.79268505791282	-171.0787227597665
246	-21.944004709807444	-218.91417909423006
247	-2.8147128595980138	-176.00043847253957
248	3.583685785076568	-210.72689680336663
249	3.111945701736772	-165.30424523230178
250	51.643188231003286	-138.09077856809114
251	-22.15563252421829	-142.60187982920857
252	-52.96535273616916	-163.08690954835356
253	-21.63257159001553	-175.79674630187907
254	20.444284785152334	-138.5932310481212
255	39.00768542499202	-218.74983826320198
256	-5.5086919549586355	79.94428332905872
257	41.60391642544337	-100.8479383246951
258	-79.00208251109581	-121.93509129607135
259	9.778253766857887	-64.31199377926353
260	5.315299919844335	-179.7819976208698
261	-12.234146829975074	-42.509789368875246
262	-68.85165989519345	-78.21335116742392
263	47.75991658644227	-192.33161234541393
264	-50.74307613219611	-72.03180982913425
265	-95.16100668515006	-28.61556109454742
266	-9.583889294221876	-55.4846130486116
267	-27.36974227361889	-23.607344417676728
268	45.55271945932978	-44.94603000940655
269	-83.9302348777754	-156.80682946043493
270	-1.2026245695006708	-189.70468231992228
271	-0.9684369334349867	-328.5992344616644
272	16.329136643850475	-309.9428230881503
273	-120.81110473753853	-275.0086427611486
274	-92.10919342020749	-225.43544178213338
275	18.147659810970808	-263.36925861946975
276	-103.9420159096322	-273.9031488339583
277	-2.2610360892703323	-224.0183494464162
278	-131.42680913354232	-212.34537682843018
279	-242.6377387476046	-195.83790335244396
280	-184.90724439996677	-337.0341876026009
281	-61.63342729766828	-129.49968296394167
282	-10.671836494248126	-129.14397619178192
283	-49.690233739060886	-190.66237237027346
284	-190.69909603852807	-121.00567942614319
285	23.10920393569573	-173.25897924403876
286	-205.94195019290493	-179.20791497516024
287	-193.8372441086504	-168.28457381595015
288	29.93680401210783	-210.4989196597158
289	-187.6653415149509	-129.94252927626906
290	-51.72929216787358	-184.67601400379246
291	-45.84604175646866	-205.2466344674335
292	-169.45589479122276	-237.14407510889657
293	-255.09018246195683	-259.16932042288147
294	-101.10310154344201	-209.59386771618625
295	31.24736539600675	-241.11780502634772
296	-32.39196158216807	-250.23401289155643
297	-79.55876913645156	-176.63306610338162
298	-52.424847494461446	-157.50617010529197
299	9.937347196891016	-124.5102059338099
300	52.273590110765184	-82.03061309059356
301	37.79519346330904	-45.376824641347575
302	-23.470482961558986	-15.75974642371197
303	11.514108651169929	-30.738901116784035
304	36.68895554804875	-27.431104984855732
305	15.255857409918079	-47.398868372524966
306	4.478960295914419	-49.156685612593485
307	42.575175445540836	-22.14986005099393
308	41.662153666240926	-36.198405449512194
309	32.70118545712263	-40.591632280301816
310	23.34794880542551	-27.784000857168
311	-9.348472573993474	-23.84026174949669
312	3.806681460549912	-7.798089032818756
313	68.18802271890266	-37.703040673546326
314	24.191963464001397	17.742272606294748
315	-58.027736858635606	-67.7405592182528
316	37.32623936593728	-58.19036179052459
317	53.03535649186108	-31.634450625959907
318	-39.6875029234529	-26.265686148938762
319	21.511799792069127	18.293833926270374
320	36.91349964644283	-7.9076410834698985
321	-6.990873564469069	-42.99817008920687
322	-14.758605453878825	-15.759317901569899
323	65.52036074923907	-4.118577239956597
324	52.991883626951434	3.3000131475282597
325	58.605720724785925	-53.77669188189521
326	-4.364764500996376	-54.55506939926321
327	-56.7943085374763	-73.31612834230697
328	56.23925361911225	6.031896779443429
329	-45.109179303093526	-95.33885495200451
330	23.71334554415187	-122.01218360937057
331	-49.192337450919084	-121.05126970421283
332	59.894623149246236	-104.04309984933319
333	64.14874130906591	-139.62341703516935
334	-28.316781833565926	-304.0675944898395
335	17.19985204614954	-274.14166396662586
336	-28.26427987804556	-364.48916009904235
337	-10.363724028404459	-385.94547996371347
338	-144.6613507902087	-278.6485342853816
339	-6.27443774984809	-271.9792119102738
340	33.27213954146115	-221.1955085577777
341	-21.807620109040236	-178.87203965471332
342	-17.65705739832296	-158.9894948559317
343	44.49185530017392	-136.62491172608188
344	7.448305442812569	-107.93438246521139
345	24.523278840981664	-64.31311544063158
346	-10.799429190065847	-46.1973388346791
347	-23.32317876497246	-6.168189847541679
348	1.325632323416066	-53.46933205148323
349	-30.433044878930517	-85.05179063475333
350	-62.914132392683285	-91.88753284922184
351	29.880008617919632	-41.892872495842795
352	-43.695000301870735	73.21481073338671
353	-150.23085285474767	-103.45414939670658
354	-23.43077451828872	-160.55455914555046
355	-18.580022100677557	-105.84742089270797
356	19.604922825841435	80.2139030260715
357	-72.09672052698907	87.67216971279281
358	55.98154449181005	-156.8414564555074
359	-45.49440597547736	-124.6236904648041
360	61.00932247644224	102.82968592612669
361	74.22080989534167	16.700624296073798
362	4.576038815536809	131.17031427959847
363	-6.409974570290433	-113.63754798918478
364	28.038586268921982	20.58870565181937
365	8.995084362827034	60.341993467601796
366	27.777757585286068	34.73433223496771
367	-33.462976048611836	78.07748830173738
368	-87.57328143563232	-132.16842847430559
369	22.56708650523538	-57.33871911780553
370	-40.61742214457118	14.812165350352519
371	93.928179498847	136.46678477087266
372	-70.92768523443252	-5.30331888231461
373	60.13091911919632	-95.82829633586324
374	-21.51264433143909	-63.59304411304764
375	-43.23609273384718	-132.56985452636422
376	44.257675949971976	-113.45341268534472
377	-26.330872043957903	4.523668554559077
378	66.52978365950851	-48.38024167316544
379	85.79400867959639	37.36798784915473
380	-36.04718338202311	-132.49333570919782
381	-37.56924361824761	-80.36583938814927
382	-18.503410780836575	-44.56908300272869
383	-130.30046379452614	-52.18480060330715
384	-2.4397639597156653	10.20559078480343
385	33.32647574741843	-10.973131717095812
386	-91.70495385506293	-172.2065755999118
387	35.616345521158124	84.60045000778847
388	12.338064551474716	68.9953682099069
389	-36.63398125114056	-90.10374974268342
390	12.683115989281571	-12.813192770925271
391	85.27244322779673	-65.34724506109616
392	-3.0796957247956334	-49.760635087315244
