Environment: LunarLander-v2
Agent: DQN
Experiment: Random Gravity LunarLander experiment
Parameter: random gravity
Time Taken: 916.568133354187 seconds
Episodes: 864 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-94.34663904865408	-156.66221482330695
2	-109.07640501428702	-1000.7807878782148
3	-154.01839754334918	-767.1254858231736
4	-102.79226348648059	-461.46523359734886
5	-119.31820670412034	-703.9932351613302
6	-348.34066965727214	-2209.507466761852
7	-549.8281186079911	-414.8122491381008
8	-124.2045277945443	-1833.942889443892
9	-245.4553045907077	-466.9418688053403
10	-99.106675855981	-855.2729127260598
11	-0.6605979843778869	-814.6423690134127
12	-126.45512846499503	-487.7938117374821
13	-110.50628886815997	-673.3336471101276
14	-469.51339186225545	-607.495796881413
15	-175.91297160936318	-552.3689804447896
16	-121.12155959650565	-518.4819835604544
17	-193.56694309411512	-519.5516030496162
18	-359.62995264653034	-302.4456316090308
19	-67.27806875247	-455.2414368545551
20	-381.224515458737	-344.2694342575094
21	-99.11707210118928	-424.8322148647926
22	-364.74787745233493	-527.832326895412
23	-462.9416003485345	-804.8115676823226
24	-208.70137194124084	-277.4845125281456
25	-259.35588614028075	-408.2071481489976
26	-265.2056114815272	-469.8242566678783
27	-91.22823028603496	-285.29528051308426
28	-238.84656345706154	-202.3025320042621
29	-265.58388781878114	-369.5498967303508
30	10.930389708178168	-261.1649804616797
31	-94.8231459355378	-269.6900070558015
32	-278.25025453317414	-114.82985937238216
33	-113.66651468731772	-213.80822033243206
34	-32.65968448255879	-242.4881334357564
35	-121.60742943633188	-250.291637624872
36	-5.42631689493453	-410.87738754226257
37	-143.9929081723318	-760.056026851786
38	-350.59169623914056	-746.535705697817
39	-220.71099864581544	-536.5312741010894
40	-14.946751688008277	-557.9135530731887
41	-104.64193797066682	-730.0823804220988
42	-177.32891330624963	-344.6686811544299
43	-91.84376488687532	-464.5340121426322
44	-179.2374696839493	-325.7857221608994
45	-281.4418984592785	-625.7767757456697
46	-320.87436797704254	-455.26935855835904
47	-54.742690449291715	-663.8126897854999
48	-334.5391602733001	-560.4423918485494
49	-314.8417447370872	-521.9437441168202
50	-64.55009783042229	-645.22034365609
51	-151.05140657427256	-404.2292641641248
52	-188.03665440889282	-192.6018026335492
53	-59.85649110589854	-468.0977865320752
54	-256.355770069743	-478.3044397846262
55	-78.40529592123062	-355.2522944431225
56	-298.99453920975577	-395.46240302941123
57	-294.40546887923813	-372.7116216889725
58	-139.20119754569401	-447.905228536771
59	-401.73807664279553	-447.64858323748973
60	-57.51455572995503	-371.917891610415
61	-58.54889320728644	-451.25352797061487
62	-293.65744555558695	-610.0721289578689
63	-106.08123771698956	-524.3369644985517
64	-230.7571645996603	-623.4798458189366
65	-181.32495452141927	-667.3784190831268
66	-217.5777007338346	-569.0956964392659
67	-164.85300322702216	-713.0337142194438
68	-167.3229815873721	-521.9280539997014
69	-151.72066484822125	-760.9268948538407
70	-232.58999214686241	-676.5703938741894
71	-208.28837083469537	-674.5978557527117
72	-266.2135705691969	-777.5747279346174
73	-16.992501029010214	-522.4439496052225
74	-226.4529127936678	-500.66938296934484
75	-81.92020666700645	-416.74008555444453
76	-35.425737033247145	-748.0841025130588
77	-273.1928063423651	-693.3110007251652
78	-273.05110916021476	-558.3640749535846
79	-230.41416080058553	-455.88738215730154
80	-492.58093611207363	-606.1534336780695
81	-114.88298832897117	-506.32411908176425
82	-216.11809005166856	-394.5913469372018
83	-183.3408112208175	-680.8483040857825
84	-45.059272516708376	-480.35715796484084
85	-114.62180862805425	-683.4106970823672
86	-175.63175104093398	-398.28558672947474
87	-116.58858076877404	-273.6468377977894
88	-58.38234815273839	-294.862305025647
89	-244.96328387188967	-473.0542342812158
90	-137.3010841541451	-268.4011813038716
91	-139.27267335320866	-497.269981280091
92	-38.429533739779004	-173.97738856450582
93	-122.59941911474033	-455.70437113252433
94	-89.913366644275	-349.82444677970074
95	-206.82456419400643	-585.4324411179887
96	-69.09791197437536	-474.9785969301593
97	-101.4327575098892	-553.0436828308646
98	-134.25686150196256	-508.3519097905964
99	-285.9015155359028	-445.21816300335564
100	-97.48988262331825	-543.391692935545
101	-72.77115559879874	-545.944404621179
102	-145.98914065623606	-326.155997367736
103	-242.51038652919584	-345.1970082307064
104	-143.76543444579534	-433.01881797474186
105	-214.78594208186757	-405.46181513491763
106	-253.24538357921637	-181.72115631378742
107	-153.30446751416304	-428.767496866827
108	-135.77900503527655	-492.88154976752037
109	-149.08189612146657	-412.92206511411115
110	-57.57783124354782	-276.07667249859907
111	-130.70089017683637	-491.28862965888777
112	-36.948306036858185	-407.65890581818934
113	-73.65486144900515	-515.132497083316
114	-264.77590790633434	-183.66031172363697
115	-115.44257145472143	-190.43206070587516
116	-62.16947687616295	-274.7301657554452
117	-63.42248326276272	-308.8524955566438
118	-160.15317815040828	-178.45253313660274
119	-161.3186516559079	-405.4033523864927
120	-230.1719703274492	-212.7526992846951
121	-85.80477550810505	-376.6791525375363
122	-129.14721378589775	-371.01780131533843
123	-112.54451262041682	-250.09950793266455
124	-151.07302245649075	-492.7639972306988
125	-111.24973602070432	-145.74347491000654
126	-61.84566226723798	-206.9582298928434
127	-100.65295683831383	-234.6465779282122
128	-156.4222513461038	-224.4355538080273
129	-106.46575543390927	-232.1597788548656
130	-44.287430449232176	-229.10623582851963
131	-78.03092517287357	-185.05185903576816
132	-240.60102890598336	-161.09489059215986
133	-118.13558792228866	-240.7073260873741
134	-119.40118803176983	-226.800505183688
135	-21.901288017322955	-143.510274047024
136	-144.74002977178634	-46.9819890933304
137	-96.29479609756388	-146.1657661100229
138	-95.91036032878218	-153.80917999343538
139	-88.64528191406124	-189.9147875814828
140	-87.74534814527648	-440.02921289728835
141	3.8813442992213965	-137.5320268062213
142	-109.59249564761669	-274.771532825173
143	-304.18142993079687	-166.66465663422235
144	-37.34966057497368	-179.22707868453443
145	-118.94488617002091	-181.4199478205564
146	-252.37382235382418	-301.42717119755594
147	-307.6308461804799	-206.79795864977623
148	-130.51352875385444	-162.40839971911424
149	-83.14214733075536	-165.33687250745163
150	-76.90963960001243	-322.60221710399594
151	-49.506588535192336	-165.58318036099544
152	-87.63554175927001	-196.93194997259093
153	-62.65770724155571	-242.38007759176347
154	-115.6732037101106	-159.16190820311618
155	-127.28674625202092	-198.95709221636517
156	-118.17818426404914	-172.2930730068487
157	-107.22756348860831	-216.49059603320302
158	-184.60992261222123	-171.21692334211227
159	-51.866853163897645	-305.4159957766218
160	-193.92946581282365	-199.5262098589824
161	-87.25118300900495	-306.9551366177827
162	-66.74172292882653	28.033862681891264
163	-222.19171258993654	-169.78535413367698
164	-241.77761888716458	-170.20067195947195
165	-306.05444743094756	-227.2250103699366
166	-92.29339339364914	-102.35281004450344
167	-3.3436412876063457	-239.11527182783632
168	77.08373772323449	-111.37315306488746
169	-25.31706346036175	-169.47284621660341
170	-211.12519646237718	-154.7108497777861
171	-111.68733940819551	-163.9669422648223
172	-40.94115167423479	-138.13633406268167
173	-28.557217759529877	-352.65374349993044
174	-88.15533425689699	-155.922677672038
175	-79.59012333791526	-13.424686496161428
176	-195.5584765012598	-244.73123029346186
177	-234.74907490961186	-333.85575379217346
178	-127.91553859196232	-158.3314942944619
179	-26.365740676992022	-208.04853038455
180	-79.65223911863862	-142.35861150872583
181	-322.9017504604203	-167.214682564594
182	-73.84025426785205	-124.94307891686344
183	-271.63648290001913	-275.77559006089496
184	-92.12956855032903	-300.7268440702734
185	-295.0520443253441	-136.23157034423127
186	-124.33332776765795	-303.61370995541404
187	-149.47864689005735	-137.0788532485693
188	-141.05244578656698	-145.9083327071209
189	-68.1632655566987	-407.45767894619974
190	-185.41667487044316	-265.7428675322892
191	-27.65004770007613	-126.85057802113735
192	-79.90177313875488	-133.25969822517646
193	-104.99579860150637	-162.12789093535295
194	-318.72805372286996	-132.80176215631195
195	-137.53397318191918	-130.5453683954493
196	-44.16384378083363	-119.94175778400371
197	34.84980931250897	-236.85225562985238
198	-7.472600441245504	-83.56185817397983
199	-5.116777567970544	-134.74543574481945
200	-231.27765729972995	-151.53805539037398
201	-68.71801287536191	-277.5421913647899
202	-231.48621893448697	-65.72734946704574
203	-107.73553611673175	-330.0361382405323
204	-26.21903139772739	-167.84587662318114
205	-64.01935760490535	-163.63025997572035
206	-107.85151657641319	-151.33800745027818
207	-126.87399089695356	-159.28136164880405
208	-207.28265812984733	-104.12028169164101
209	-27.51878268886702	-116.47059927229023
210	46.03971918238587	-116.67641939835387
211	-39.99270682877244	-135.6185196134583
212	-255.09555256022543	-105.56928118557816
213	41.93069138785348	-140.5921066863817
214	-177.86598024775435	-284.309833376204
