Environment: LunarLander-v2
Agent: DQN
Experiment: gravity experiment
Parameter: Gravity = -1
Time Taken: 984.4971280097961 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-700.7387831063186	13.359745030127982
2	-1307.883530358621	-5474.229189240827
3	-719.7921277768936	-4391.801685849159
4	-707.1338803695961	-3565.374418966453
5	-581.6757575703243	-55.692784328219886
6	-1582.4291542070976	-260.9908201470537
7	-728.2909748713206	-247.26379725138668
8	-229.74557033418822	-56.58077407345988
9	-1894.4264298805517	-14.034015157668819
10	-859.6343829450034	-815.6107624076004
11	-799.1946510522448	-516.2786369502361
12	-898.5677246400211	32.48945546367034
13	-914.2403014815528	-1043.772143272866
14	-1008.9934746286924	-3043.772216457056
15	-834.8538363732837	-3.1894664429325132
16	-992.5572946980681	-1678.1914075863006
17	-4336.899680548241	-627.2160232401301
18	-623.4774796951508	37.39079756323366
19	-459.37179718136275	-1266.6379563944167
20	-188.301367060886	-379.4788694314781
21	-532.9723194657331	-1129.1667071393179
22	-955.9164809422906	-363.0266598814119
23	-458.006232861158	-456.3275000723562
24	-466.7123303154205	-202.88389763634785
25	-672.3328694590864	-506.6547149979954
26	-529.6141524625955	-319.3483239898801
27	-513.1626183476938	-451.11425204273337
28	-504.61475548141425	-856.1499107488406
29	-1433.2708727316722	-1347.2566852843884
30	-419.53921740841116	-1012.4166012642434
31	-548.9216222551536	-5.194598167613194
32	-2287.6372479439533	-359.45483848275194
33	-2408.6775194015245	-1627.3309493874135
34	-4389.743162406074	-1533.4608821888557
35	-1362.9545498743962	-1801.797579145788
36	-648.0572621075053	-199.25951194600577
37	-523.526601164747	-496.40864369068964
38	-830.4509445526212	-4220.448250340645
39	-733.8203881998992	-511.84002192752837
40	-451.4277674580882	-626.8826145868446
41	-529.7346444499403	-396.3697200345317
42	-1213.988477832206	-2878.2759758336197
43	-395.9724893179231	-825.4320524373592
44	-443.7943905740981	-388.24675125794306
45	-570.2973633277772	-1163.6853515272696
46	-7510.310496627446	-317.62181839251707
47	-1448.8596895213536	-635.9974319370701
48	-411.8074465845846	-819.2463511189719
49	-670.9139447379961	-390.5026265384313
50	-3413.7467381184224	-941.6707448822963
51	-218.30695426178644	-2750.9457406104716
52	-840.4230891722231	-747.2337589881984
53	-995.06965193106	-1075.61812265573
54	-2865.4874325794394	-1862.0538490021484
55	-2067.292720515151	-450.2155090296121
56	-1489.8226100101278	-2200.0142961575652
57	-1597.4993543918542	-636.3031741619887
58	-1626.930931153502	-1465.293972162416
59	-1428.4190046228023	-393.86707359448684
60	-1660.4969999842967	-758.6588603726099
61	-2301.824374641965	-862.4456412962198
62	-1462.3237195913873	-1167.818291339871
63	-1269.9312542115224	-423.8440369459457
