Environment: LunarLander-v2
Agent: DQN
Experiment: gravity experiment
Parameter: Gravity = -10
Time Taken: 853.4505507946014 seconds
Episodes: 832 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-94.97253694313518	-147.30572113527376
2	-131.2892782940397	-366.37803977592927
3	-129.02909272346506	-2701.7455116233623
4	-182.76866600176533	-1078.1874146773234
5	-183.01215318024126	-481.5087182770173
6	-137.25954761656365	-701.3944197702413
7	-389.8570991349814	-999.4674078889851
8	-225.50242186718376	-673.4390391703326
9	-77.68356612262579	-648.1880206186007
10	-279.0488869277209	-637.2583817923946
11	-295.0816806393159	-721.3985652178217
12	-79.3713369967052	-174.53223500945393
13	-248.8116218456619	-717.2813816101143
14	-79.54825101569027	-512.0492018810487
15	-139.16765920446886	-642.6230142228789
16	-58.10618659964625	-432.8310125075357
17	-38.630046144557426	-618.3909769175172
18	-102.81482518914198	-441.5175217365015
19	-191.01636086172482	-488.95859654297186
20	-74.57484055596197	-415.772813184317
21	-241.20739477640248	-113.16643311796669
22	-89.31414888888514	-101.43773058124177
23	-331.4836329096423	-180.68283130050565
24	-128.06532820263956	-96.68179457892253
25	-258.89381478036944	-22.919503056383505
26	-198.3026536247101	-200.49289546448748
27	-271.6946057956669	-112.32453038948185
28	-71.82094199177598	-148.58945904135942
29	-245.67999712795827	-185.52860370906967
30	-311.01019359350386	-206.06773145721007
31	-314.94204055546464	-50.345419971519405
32	-117.29048515122386	-179.04595272680092
33	-258.8886487842004	-355.31881478863613
34	-81.53418539983616	-209.1895639534313
35	-373.7549250751348	-217.36541271596715
36	-37.06597895045107	-218.8273940968072
37	-126.65266787825881	-254.6505940023989
38	-214.61686159864175	-59.96586445513435
39	-127.75172840717637	-86.60281169107843
40	-118.7964192672472	-167.54478740123312
41	25.061668900103868	-268.85160721227703
42	-50.62361040160605	-646.4746997363837
43	-97.05412696018772	-266.1393573992577
44	-71.29472262490248	-246.7016209962609
45	-156.28630178377261	-278.5161246135951
46	-254.2531051623326	-313.65613509081936
47	-118.91185595696577	-199.3138704880416
48	-349.12907343155814	-564.7374636084362
49	-305.80924529502295	-562.1247843389688
50	-118.31267818592215	-228.6082896220069
51	-125.78549521985447	-446.1559383635204
52	-55.779371117766	-277.22677379783715
53	-240.66535806314988	-604.9659421915676
54	-55.100725994880165	-510.3096394331338
55	-196.57704822794472	-205.22384149830776
56	-218.27991710000677	-113.20397960834453
57	-293.3428183164592	-568.2974309319509
58	-325.51193601466866	-274.24407468444434
59	-250.81620518146818	-301.0383310279769
60	-59.87853547548632	-155.85153341419033
61	-496.2542189800898	-161.00601099613263
62	-135.41377437128085	-233.23601503736995
63	-31.191975402689636	-158.42474917931662
64	-272.2187026262997	-135.17762197964092
65	-216.83150446753933	-139.44070174655553
66	-82.56725048994299	-75.03643553953161
67	-155.9947347506766	-213.39843467250284
68	-173.6980596876715	-151.86959770609676
69	-173.75980634165538	-210.27721772790903
70	-197.79145958607342	-209.2180644717027
71	-263.7314571912753	-165.18355947173734
72	-66.82764215483371	-144.2755037068046
73	-259.8862305472437	-131.29925780240671
74	-300.8530276261116	-138.64060602929993
75	-216.83570622851596	-121.41176175680005
76	-143.66752935319013	-121.31282451437022
77	-180.38182325433544	-284.94039008569507
78	-236.80678726285305	-204.59198767022167
79	-29.698772294296518	-177.6108428658008
80	-130.53457388086093	-215.37009999945855
81	-130.6201627142143	-99.9942848577708
82	-122.60595344002746	-164.12712178764184
83	-72.2465271207433	-194.93949567450497
84	-15.20526705291283	-151.14907141391473
85	-126.31362939422854	-74.54549998647208
86	-160.48291983921666	-226.01534689987585
87	-114.43454894560941	-135.7971910984928
88	-108.48682383919461	-188.4160542919245
89	-82.60267651964976	-85.27628382618691
90	-186.38203822546353	-97.08582074078242
91	-81.07390264937436	-92.86285460286052
92	-115.04678459981245	-176.07246248241364
93	13.228094109579672	-187.40757992540549
94	-65.81466472757043	70.52886048151377
95	-97.35133328235466	-88.91252054334501
96	-235.70776931185023	-47.47752948557245
97	19.04879935424502	-149.58200277565933
98	-210.09571376958718	-49.83096130389124
99	-61.36330006813293	-243.75769807412385
100	-9.516370386001933	-262.4346096476245
101	-172.63075448988968	-320.1102778252851
102	-89.99550173954927	-219.89456988119653
103	-108.04096786006059	-217.74985534006854
104	-72.37118364727031	-308.75078326727584
105	-157.9350393540033	-252.19435790271743
106	-69.70312400813935	-272.89166289546273
107	-67.04009052724592	-114.13525440126836
108	-208.2910407097746	-284.3209102285716
109	-82.49354382083472	-220.18631347988878
110	-53.181488710532605	-245.6412224553039
111	-148.01658020894394	-220.6935560168089
112	67.5351906425722	-274.3245834419186
113	-103.94318163908596	-198.3540665086916
114	-91.59656878800968	-203.0481764635895
115	-136.2544128655486	-210.53841518035256
116	-17.979639735657813	-160.79860380124265
117	-86.55796607431763	-191.7126114895703
118	-209.00584113753223	-286.6964764295556
119	19.759537790743607	-286.70024385525943
120	-173.00143556878453	-338.9300477694499
121	14.269537452095292	-397.18685622955803
122	-145.6601176346432	-260.2196227071326
123	-21.280591020201086	-218.4167075266291
124	-143.9914807240178	-153.98887627248558
125	-87.58125826796432	-254.21647445310458
126	-204.11599637704012	-218.67547138668226
127	-223.9203551108194	-190.68884033072626
128	-85.1507945131644	-216.31235563408273
