Environment: LunarLander-v2
Agent: DQN
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 1090.2871174812317 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-1133.589662755832	-376.47880056440647
2	-2775.30544039493	-275.72640667320707
3	-248.98952625792748	-529.2119909808466
4	-447.1597767405565	-455.3832326798556
5	-276.95797894809186	-368.62265460539425
6	-119.15789902049826	87.45028765120009
7	-777.2120363811658	-210.033300797863
8	-345.9636425926129	-198.94300239419968
9	-780.4441865493668	-792.6620787714887
10	-236.62303748882636	-309.0757864480745
11	-159.05006358039532	-265.4263137087911
12	-153.41819198278918	-198.6644018461573
13	-1042.1293663470292	-275.97456153332297
14	-973.7779561911442	-4435.049963182516
15	-1296.718277601031	-433.5638778845738
16	-547.0972758158866	-3681.154076233698
17	-931.2190724847044	-335.8699323167165
18	-61.15481815457969	-989.2110630688487
19	-593.0105634073323	-952.007930172214
20	-504.18306140733364	-293.9505973866717
21	-1043.2834121032838	-2710.1126802144654
22	-1240.8690397138146	-500.11065886939576
23	-1425.159496083523	-646.966464070984
24	-1184.6904528596872	-1358.9093290917308
25	-1480.0346461666966	-388.14009641014144
26	-271.2522180153103	-156.92576818865834
27	-3431.9762893498	-1592.7094631214818
28	-440.2717973300721	-5378.22644085747
29	-297.49293373339833	-1448.2455483020399
30	-213.3579135380308	-2886.359592587016
31	-1200.3925003346444	-560.6855284976208
32	-2373.7096643047216	-373.45619238988525
33	-238.79329619936834	-798.5367880301287
34	-2334.6836803826604	-677.3630232482707
35	-418.24652292976253	-642.172239776152
36	-110.30089375237858	-353.85784837427036
37	-1467.4347541101595	-1824.0652459021323
38	-236.2369559702923	-153.66276225197953
39	-656.7839471153366	-708.3435604250309
40	-37.78999238810191	-7503.569479487088
41	-210.60901500689437	-239.94272521834648
42	-320.49781391790873	-271.35394990954995
43	-4670.188739654689	-36.84372072207859
44	-182.1298195590712	-290.146442613746
45	-738.4449404566492	-193.12881432579914
46	-2515.0271814457265	-591.111076867821
47	-321.26572186089754	-69.00150789146383
48	-5928.624708307192	-137.8706553377766
49	-168.39075017864636	-535.6861269041846
50	-4591.377914074952	-171.7742147346502
51	-503.7074299118362	-265.6575352673559
52	-145.35156066315616	-650.0465126362411
53	-214.4897260947978	-245.70520064480078
