Environment: LunarLander-v2
Agent: DQN
Solved in 1431 Episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-407.4967700406288	-120.5176124721902
2	8.73120486016316	-106.50568291617138
3	-172.2447581482765	-67.0817921671173
4	-494.6006893998745	-237.3179509168865
5	-362.59662478692496	-206.61413617205176
6	-203.81022866501735	-388.5858241189297
7	-431.6980256997937	-542.5114076966103
8	-520.8408281839431	-307.6688973460318
9	-429.8365733020227	-309.583019674219
10	-216.7555107866064	-237.73444813728096
11	-545.6982217676211	-435.7309977493217
12	-77.85716749931112	-133.25364727874816
13	-157.5790588954388	-149.68563474479947
14	-148.9783349620575	-128.16518066114443
15	-344.51213152376977	-201.83998028061734
16	-179.87001100208101	-600.7091738728918
17	-197.34307464414576	-253.2930080938997
18	-687.0255173576438	-525.5914486455304
19	-595.7935148484806	-226.5233894575423
20	-265.48348531510567	-193.47738519906028
21	-243.4375009287029	-304.4564183027112
22	-226.43347290887388	-201.26726901267944
23	-277.66078054455204	-387.5539254746263
24	-329.8954462078217	-315.55076953297623
25	-184.90908814320017	-238.13627592400212
26	-265.5728066042632	-347.13029428834113
27	-283.0376147977219	-340.33808236426364
28	-355.26665819601857	-452.9400089494142
29	-243.09866529605776	-530.5452787274055
30	-199.034195268219	-522.5883108240891
31	-351.7227132780398	-327.5772238886043
32	-323.18066722534456	-536.6420944384286
33	-420.75274965627506	-170.28249071995515
34	-379.98657110165914	-238.5363370853395
35	-314.71459254511814	-121.63831442981751
36	-438.69095623522884	-269.1828338477602
37	-230.05481754081552	-402.78052162167126
38	-734.5235645564106	-459.1392576784709
39	-273.98798539230796	-469.1138230503527
40	-564.953107932718	-237.24785166232718
41	-690.8298394986634	-383.1320408237851
42	-242.04274974910615	-224.61371057460872
43	-283.44572024733645	-242.09746856617835
44	-240.85261294325073	-211.13169494988824
45	-420.9340843255365	-226.4449110206278
46	-255.9815427320537	-248.7148449430947
47	-370.04978392276547	-346.55163770051615
48	-338.30093773784733	-174.32113809138912
49	-287.78911460815675	-285.7552052485546
50	-216.37835616591082	-360.7913634234939
51	-353.6373622994864	-391.37721329488755
52	-352.2110013595316	-334.6219263635754
53	-332.0293567017926	-376.4211346584764
54	-317.978089883042	-319.8285333228387
55	-336.05774583980735	-351.64096319286807
56	-247.1650251096179	-291.4600903735447
57	-303.1329823146009	-146.1118336803514
58	-122.68354136871734	-251.0728717798325
59	-274.51471161833786	-286.9036810662949
60	-287.0782246915461	-314.17046464724115
61	-260.44145402141726	-186.16712354384742
62	-263.7591778066683	-298.2049765972288
63	-296.37282455090485	-235.7053310178467
64	-269.22871723648916	-198.03124797305605
65	-358.58435201504506	-263.090373913289
66	-479.5676861244581	-269.6413490122386
67	-168.18536700626953	-232.92278802680227
68	-326.91607341416994	-252.78594404348604
69	-238.626488228846	-230.14813364446604
70	-197.99335093728345	-250.01646868200038
71	-243.38658841644823	-212.584148834004
72	-245.93310393688256	-174.09677043402888
73	-215.7921702532648	-153.3459262228909
74	-330.76586220342364	-234.42319660329383
75	-312.3722472668707	-355.23970178487525
76	-265.4430885516555	-221.97655112852328
77	-208.0992851791119	-229.1160480261059
78	-200.1527658886451	-212.6708452240508
79	-279.46211869651273	-214.22300469698092
80	-204.8034629821421	-217.2888762586515
81	-247.76333916795681	-185.62888618822205
82	-214.449070076818	-243.3888543774987
83	-223.0156622871261	-214.2384629027817
84	-257.9816640124611	-228.93665155271842
85	-287.97309506552523	-277.023438343884
86	-222.38829327528117	-250.30934853855837
87	-344.8253484139399	-265.3760388729237
88	-260.3823014087975	-301.3915602275437
89	-214.1236410709095	-254.92387640900108
90	-293.3220711821926	-309.23777950862814
91	-353.4508284370186	-237.58358910500854
92	-262.90284885653546	-352.7966728600088
93	-233.51007040674367	-239.99763034735028
94	-308.31798291788675	-362.52560121900325
95	-387.17408424275334	-349.8734564014985
96	-289.4017439465375	-243.27861205079313
97	-139.5119228213108	-229.51963724334996
98	-227.85345284545332	-249.8059293678262
99	-169.10975523192522	-200.20709254994046
100	-215.30658380878268	-198.8425340187442
101	-240.78314186114673	-206.82817483842683
102	-225.9262790250582	-173.1676685828123
103	-191.220318456779	-230.2642242429477
104	-159.18796841020813	-170.5243926554642
105	-210.77712131481687	-166.57924424905696
106	-334.09235160445644	-115.28183216914177
107	-155.28795532391743	-180.61386024048682
108	-192.37568935548427	37.846208933819696
109	-114.54787508011344	-155.1819033408923
110	-229.39300394482194	-242.63533705958173
111	-183.95648979842693	-193.31582267980212
112	-189.5667190947628	-217.63260171471805
113	-216.22660315855777	-171.1529707932595
114	-219.01374139120924	-239.3149978627725
115	-220.8955657535816	-265.9639124092031
116	-253.058097139251	-188.72874500250055
117	-202.63936340711325	-103.93478821270206
118	-223.9895708782263	-42.51739209967446
119	-128.90208493899166	-171.5435036051212
120	-268.16261675469093	-184.42450996462117
121	-156.0115578901985	-211.2709286546945
122	-126.43660462053688	-158.33679360093822
123	-183.6317628743293	-145.7240998806821
124	-204.99065846425935	-196.31659103859533
125	-124.70490604840523	-165.54141724682114
126	-202.31663173730976	-214.378759535334
127	-83.4778758373858	-117.22121677894421
128	-160.94457052616127	-173.59065990507287
129	-171.38837516066457	-294.9239340934164
130	-167.06817370065062	-233.34439232162524
131	-155.64570834161555	-222.85436551886914
132	-127.84479449172997	-190.44913605030845
133	-162.07376939798777	-209.11707194817822
134	-123.16186514694513	-219.2733137617514
135	-159.66434653674247	-157.95264191981644
136	-158.72039221226166	-187.42260129522325
137	-163.4253677457724	-169.4921732883551
138	-227.1258489362629	-158.55928131015446
139	-193.7905767738006	-170.07132236936206
140	-138.12228121681215	-193.8426742065779
141	-256.4491376132362	-175.43146172881012
142	-159.55014276304618	-177.78252922059232
143	-191.72198731787665	-178.94675595717666
144	-114.11050479830298	-162.1904782426101
145	-265.4679229870537	-336.3832633834045
146	-253.45732136780217	-152.52515120275163
147	-270.8393947042299	-124.93663626387162
148	-152.03821044151007	-271.71664379368804
149	-145.88531580908463	-240.36757867032088
150	-145.06662058413679	-158.46689454851014
