Environment: LunarLander-v2
Agent: DQN
Experiment: standard LunarLander experiment
Parameter: standard
Time Taken: 772.546306848526 seconds
Episodes: 857 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-174.72363589540646	-143.42995591933027
2	-330.35361171114243	-436.8550696526665
3	-428.5930594974767	-904.9157303812887
4	-141.65605344400456	-917.5185666086262
5	-147.4373341857847	-766.3999061147632
6	-118.50210591336429	-229.9309186371727
7	-65.581464348403	-460.2690571281296
8	-64.64217596709047	-772.523333178158
9	-195.20448685893808	-1082.1899774476647
10	-167.88076539983547	-648.2476144643302
11	-121.18187056837736	-1008.3528818840631
12	-58.93443577819647	-619.9001967098371
13	-115.26471725388595	-562.015782108622
14	-195.90818080677445	-659.1153669296729
15	-87.07763258814633	-475.50723709368094
16	-166.94831485838418	-541.8450557102026
17	-242.47894532265101	-705.5825980927027
18	-125.10518570544187	-654.9727410396024
19	-94.36952290185795	-496.21508501441474
20	-102.19183269664903	-849.3106907400294
21	-75.73834866665354	-565.8784575088207
22	-93.42067882490957	-589.0924165848082
23	-66.68896696347674	-1092.3607073377907
24	-370.09680889712047	-615.9869734422425
25	-133.8838910284889	-2605.850103934421
26	-71.75854842678353	-634.8724660126884
27	-341.447603142954	-877.2458635295939
28	-223.83554747404122	-812.0601883208022
29	-311.913872966286	-615.5815503283176
30	-183.0542593543876	-588.993999426512
31	-360.343570427741	-1198.3424849274083
32	-94.13065799980764	-746.3262829562502
33	-136.5556230550124	-1027.257366387612
34	-262.5656826571919	-643.3324453526435
35	-129.01381618546873	-509.75366622046823
36	-265.1510146870363	-859.6815394471993
37	-66.97491479582568	-744.0141550141828
38	-191.8336438186352	-582.5580137748523
39	-239.98290530165607	-733.2309562781068
40	-130.26895634917216	-497.3457986706052
41	-314.19062310662525	-717.6909757498412
42	-97.18646951297205	-532.8354379450548
43	-87.87239783942076	-702.4918866726267
44	-65.70922390342812	-668.8071311827745
45	-181.45171119011508	-816.5074901870506
46	-279.1787963568655	-429.6426650516595
47	-244.07491336170872	-590.5442908168378
48	-159.4527854086554	-444.117882140416
49	-246.55531516078693	-461.0583951415252
50	-362.90131765695577	-732.1809866334046
51	-76.87493057701695	-328.3057632759309
52	-290.1814064856145	-403.51193337585374
53	-73.07256580335307	-511.7014422393446
54	-350.73612504934067	-324.4687183803044
55	-240.09417310167385	-260.3992842385715
56	-104.38490251600672	-276.72969066794514
57	-105.3314564031734	-327.18922053313
58	-125.0882097218903	-258.3580645931421
59	-203.90326449933755	-336.9398199332625
60	-156.32573800625428	-365.89199698710974
61	-226.17068999742827	-364.32158985936326
62	-379.84245554981305	-364.6683802687733
63	-50.99167334537334	-303.45224778215606
64	16.900261191365146	-241.25306679954937
65	-92.45681290850062	-633.2848467218729
66	-225.76452659035	-242.84794355925675
67	-228.24700972296	-444.3131716845372
68	-329.52999279590716	-346.62333314938905
69	-353.52978320294517	-302.37189731690717
70	-2.73380878624333	-205.47580511793095
71	-350.522900878824	-315.4123122110836
72	-427.18648182676526	-292.1287691187832
73	-114.40678993906164	-268.8229381898901
74	-247.5018721538857	-223.1519857894807
75	-119.92420725928787	-345.3824625482577
76	-154.86566592662075	-263.1589834711084
77	-219.83970141135507	-702.6166230812379
78	-81.0535907257398	-318.00305918640777
79	-170.63182005304859	-242.8863190205561
80	-250.5598153197284	-201.69058069034003
81	-188.52437080829344	-570.6080010799674
82	-206.64413572933964	-330.3371769807585
83	-98.15816139459663	-114.85902756971971
84	-309.1798713805306	-256.821574265095
85	-348.4736905573998	-218.21703545733743
86	-125.59900234627466	-212.48383287245775
87	-222.3074514681905	-264.0397407413964
88	-71.52647884219795	-339.08261513375226
89	-158.65509106844405	-126.95442649839731
90	-67.65540537102416	-38.65982121059381
91	-223.71003112063482	-408.99335377224395
92	-141.14452292321323	-278.0238924975394
93	-376.3833964211936	-346.1610083988439
94	-22.793663766409722	-249.39707168993232
95	-168.30236746022524	-483.2937082092443
96	-226.49139809142525	-447.01317856324806
97	-36.51290265816111	-327.77522599418523
98	-177.21173145479185	-149.03729994384304
99	-144.31943348232477	-306.7250485839823
100	-233.21118159180855	-246.3778283932653
101	-276.3139429337776	-205.44939226586771
102	-299.617303713414	-217.63192335512502
103	-303.92163582341925	-171.42586893763857
104	13.8319796783221	-270.69290227822466
105	-155.1728230038051	-246.26768749570462
106	-124.21221922890159	-290.35841337195166
107	-185.2736633689588	-498.302998813377
108	-263.1274120643795	-224.74583852097834
109	-226.60139081586516	-315.5678529457649
110	-198.51363194409555	-260.06398197989637
111	-105.51764226665212	-268.6916126549229
112	-176.58892113303625	-176.19873365384285
113	-275.7611292426858	-233.09205453606316
114	-229.90596240448278	-222.77654551088673
115	-201.57626466524715	-164.31349705823322
116	-175.24143336218538	-216.63154422184346
117	-148.5117256204357	-195.62238459360813
118	-145.87019508090603	-130.7583689946658
119	-252.29168998830883	-179.9797360431634
120	-188.11027453085012	-157.18169507806178
121	-135.29788112083085	-170.27987345021535
122	-106.03080154436205	-127.68408222934656
123	-75.72662907358914	-145.05888969610336
124	-66.72031202356366	-182.68265815797926
125	-80.45069854610158	-215.67110015359088
126	-51.99648724172859	-156.09397892781737
127	-144.79685238042623	-232.81756782654043
128	-92.84902525904045	-147.60455653244892
129	36.54111107239851	-165.71088091993045
130	-85.81252806087132	-149.56592024016885
131	-132.8416910542776	-135.63169970653996
132	-87.93949210823982	-150.31475430558814
133	-75.88791681872944	-141.1496950694113
134	-181.53609121061513	-118.00830250988834
135	-111.55051279421558	-172.54171845376425
136	-213.194833364057	-132.3281526474695
137	-134.4381640520551	-137.3063172210848
138	-78.90316228563664	-197.34722812279225
139	-156.30671941548542	-150.05749249094674
140	-1.9573301790080961	-111.63717813553107
