Environment: LunarLander-v2
Agent: PPO
Experiment: Random Gravity LunarLander experiment
Parameter: random gravity
Time Taken: 3537.7706372737885 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-356.4587698379162	-96.82922396326526
2	-334.62651922270453	-197.91509305614608
3	-163.65328179357948	-138.79715403627307
4	-334.35665922355497	-133.327670846681
5	-181.4262021543442	-211.47825468843115
6	-101.46192580883489	-355.1224985236345
7	-261.97392007410184	-373.6846379226929
8	-94.52219491672565	-492.22843539939504
9	-206.47310968801935	-781.2665259461429
10	-171.58551978888462	-599.2718491811956
11	-366.4679523360436	-562.4191443786085
12	-500.516352976975	-552.5715478712468
13	-136.82127561501716	-161.39683328131534
14	-124.00619344734068	-179.11126428461188
15	-134.7924737260925	-53.03545976012454
16	-312.2689055471592	-318.0602815526546
17	-79.03867148685472	-438.4413251682894
18	-197.049030916337	-514.8298085162494
19	-199.2749125167084	-955.0615096857298
20	-35.26653889685393	-2347.807123637622
21	-61.2986863300676	-2499.1520536153566
22	-172.31046055102973	-515.5518726197782
23	-369.6771926233023	-754.4330223471868
24	-379.8443361798995	-571.7654848660873
25	-255.8641126744433	-1080.4593570765558
26	-390.8053429997278	-763.2585596951247
27	-109.64737318337272	-586.7841910391518
28	-421.6741908851014	-549.9810468442325
29	-23.34803351319087	-618.4001953076429
30	-122.06922621340331	-423.40251855995473
31	-14.253688938366196	-728.7008243443524
32	-260.5487397262856	-332.677379679697
33	-120.24178830006923	-240.21833697744364
34	-110.73096144060769	-239.87784337285035
35	-282.35489010941905	-187.22751555043266
36	-329.6690870020291	-246.1824297665629
37	-97.33628912853786	-115.92454716328598
38	-76.02946821074687	-210.6491179389115
39	-92.11112185476601	-319.63490727579665
40	-216.17778134622725	-446.24858868974565
41	-64.03905420543195	-569.632773041196
42	-153.2478569064469	-482.3977636107978
43	-65.7700975486309	-192.78091759521195
44	-36.53636033842079	-108.02960871530311
45	-148.32706789890597	-509.45505979391027
