Environment: LunarLander-v2
Agent: PPO
Experiment: Random Gravity LunarLander experiment
Parameter: random gravity
Time Taken: 1789.9268550872803 seconds
Episodes: 1062 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-186.05258037898253	-169.10007440218092
2	-240.7684660399566	-179.1379949449185
3	-489.17981549507317	-93.18200998826444
4	-103.95008821472781	-169.74571878381846
5	-158.376047433184	-100.73045770225633
6	-472.31127109113925	-150.28518999385187
7	-37.85263931174427	-135.49021038586238
8	-97.32717096823853	-71.14274818025052
9	-118.09928286028831	-304.5614381327964
10	-198.17109350656034	-145.0604255657902
11	-112.00097633251096	-199.00290136238632
12	-196.52508483147201	-147.78630485772766
13	-171.48975064628706	-111.38306496855014
14	-124.55965698319183	-151.6956903993783
15	-91.34482454136194	-113.63443655986089
16	-83.81934300073225	-169.3162199727799
17	-323.8528614905282	-134.63480551084018
18	5.1787042019102785	-118.68561478430408
19	-104.21255466214875	-158.90161425146314
20	-117.73633116767088	-167.57368222378778
21	-88.19960525564383	-107.18262480941294
22	-102.91957202438901	-134.17580768904517
23	-328.9365594552613	-170.2471647269121
24	-52.616183408683014	-120.22953431584918
25	-134.28812616655046	-155.38770048195127
26	-81.55044674198498	-121.98922481929
27	-152.9490927237372	-258.9012459412047
28	-298.5285464692955	-1067.03242712761
29	-62.4205024732223	-1409.5680385937883
30	-169.84135348308206	-357.880014739093
31	-183.7124920647856	-253.5738348951453
32	-156.3490845261279	-275.61663727885673
33	-98.54937541456096	-369.6364731791137
34	-293.34066438656873	-1128.642188037149
35	-61.25777859246176	-663.6388129619218
36	-31.031301029325064	-525.6928602733453
37	-258.77214897104466	-612.8345783934005
38	-283.55593101608576	-696.2468499540407
39	-61.28670041581062	-991.0754608365612
40	-235.97934462307532	-4019.7771550363136
41	-274.9333200801924	-1117.5598734327139
42	-143.9181992491344	-975.785137951072
43	-126.92493804783751	-722.8192498361171
44	-323.6830932934282	-568.2707418490583
45	-61.318283300448215	-517.8905003198508
46	-261.9666649792878	-1005.5434747814444
47	-171.05296302813707	-1347.7153592185011
48	-128.13980152090758	-563.7097140342942
49	-237.91354782657612	-684.2081295309772
50	-58.36660864561898	-667.0358355245875
51	-147.16206946587454	-282.09651600419363
52	-139.70458850997932	-716.0504011275267
53	-95.42709331239413	-529.6529937971007
54	1.127409016965899	-669.0242557051989
55	-162.0664456773469	-518.4561100781531
56	22.97965564606615	-210.57362777770552
57	-232.00933403294368	-170.3976228923287
58	-13.124938910465403	-320.7943381224003
59	-252.14816966031432	-348.1810265584984
60	-35.409135975710996	-256.0222626236856
61	-207.54664815125548	-556.107576677807
62	-166.2045331532301	-321.14278911665326
63	-257.1014891908463	-735.3131485728658
64	-610.7090860481114	-764.9290776113404
65	-19.72030637120598	-782.9664502804178
66	-460.9439927256806	-514.3955323819907
67	-121.42516739802363	-259.37307984008055
68	3.218098098302363	-686.4606369194984
69	-317.56265235736043	-888.5716740083549
70	-493.76883223160286	-710.107876961955
71	-222.43339988222613	-610.0479099777446
72	-212.187726977118	-622.9616968197249
73	-54.42607473750019	-798.3318714299104
74	-448.7013586061661	-657.3615001266847
75	-5.930610273760962	-482.3357031273699
76	-209.44826719117478	-716.2509912372691
77	-183.97780974884654	-582.1515052519422
78	-161.54157501175683	-500.2603427068493
79	-270.46966789116163	-461.43174982223877
80	19.821362126960665	-453.22037734284385
81	-217.1769486058737	-507.51752781782073
82	-204.04228435844638	-448.0176606358848
83	-171.37809347599992	-537.3037109871443
84	-74.74238629821974	-223.8833637467498
85	-169.52093907051596	-415.89654956276564
86	-236.3421067480325	-610.4726942527566
87	-294.98123130148167	-567.95714309909
88	-64.83608662211833	-617.9150775212895
89	-295.32528218481895	-681.5832090213279
90	-13.082305503426053	-599.0987823624507
91	-45.358509047783926	-481.5422977013199
92	18.2074281035971	-313.9476534648031
93	3.2420006260412237	-258.3037772859161
94	53.588551063921514	-355.92650402570723
95	-179.07772155755416	-341.45173467582117
96	-41.00756745309141	-224.51317994635764
97	-42.55573819269476	-446.9447549886209
98	-217.77972671591357	-416.60531034470114
99	28.905538947548408	-301.92246877840046
100	17.679397360258506	-290.71965896420477
101	-106.67544859335243	-322.20573605424784
102	81.93559111583414	-268.76736573660054
103	-12.519587720583857	-148.06644506609524
104	-20.14811623583256	-215.9507689236538
105	42.81589879166673	-216.45956224848538
106	80.13869724280583	-245.0731619484365
107	-9.090806125090765	-316.0512993400206
108	7.742142634214664	-468.83517030461024
109	-95.88180597867772	-520.2801038266279
110	-24.91832786743646	-493.22452129410345
111	58.69031925911979	-534.0816068749248
112	-55.57641296828352	-487.0877797442115
113	25.39734710636678	-443.8231936052307
114	-101.10721351295751	-666.9491459097551
115	-111.26325861024019	-510.7546108746539
