Environment: LunarLander-v2
Agent: PPO
Experiment: gravity experiment
Parameter: Gravity = -1
Time Taken: 878.1665253639221 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-364.36153861699796	7.092587877761915
2	-3467.849271048774	-5412.137867420005
3	-553.6606499580021	-19099.66320464708
4	-429.3054968068924	-425.47622543638784
5	-385.7959445587727	-510.0394749833325
6	-457.0733570156994	-1091.8404815231463
7	-2460.7319557318397	-1084.2631329309625
8	-733.0287739010184	-1395.5856065948462
9	-706.9169280823357	-1130.8195062036798
10	-645.4283031572452	-206.76711366831324
11	-372.09184642543545	-653.4542204462512
12	-523.069431866952	-114.24082680944097
13	-648.9652800032862	-513.5004996330429
14	-575.7182628250478	-638.1038743710714
15	-647.3373894180639	-745.9945507704623
16	-495.28544232541464	-48.22721615089202
17	-987.8592609962955	-245.08692535639156
18	-2107.9918363226857	-604.3661262314258
19	-735.8279924300299	-61.77181777206256
20	-1033.9861265735417	-88.41525141426476
21	-1335.5975822574765	-233.29494988715723
22	-284.5723907870041	-552.7244253135713
23	-817.346317219838	-89.73088399419741
24	-364.0134201689088	-209.65548042923604
25	-493.2370220607369	-59.420759619814035
26	-412.9655919892589	-75.33191579983415
27	-425.75896986942035	-51.25299718971796
28	-140.11802042877758	-65.65836684533001
29	-364.12362741922067	-143.2901986974121
30	-378.92484798775985	11.161193812930478
31	-377.6816502328765	-19.27457230122016
32	-152.28473541218256	-82.51234636254856
33	-245.99714759891313	20.20445902235265
34	-304.70385473770256	-93.66614929221926
35	-149.39771889000156	-189.19339165026784
36	-272.0003603356678	-40.64664817553846
37	-276.3999436490388	20.17286141589412
38	-243.93993008601382	-21.497893694697268
39	-157.9653026451364	-81.73279479735109
40	-43.470570377260515	-36.0141081992807
41	-202.58659177429496	-218.2541865150262
42	-188.24296277683624	-50.588544652671494
43	-140.51692163588297	-14.553732801827252
44	-59.48072554204434	-81.97278816799717
45	-400.4847603526506	-223.74095796249597
46	-104.44554970918477	-82.64266274009401
47	-210.40678183946048	14.100165390624937
48	-211.5891566125026	-1.571280352550474
49	-324.23866190349406	-177.81107454842828
50	-189.3760386992123	-47.73878136440257
51	-135.4471638622166	-225.45128504532605
52	-142.72144632314163	-9.830036072063365
53	-191.09617942165056	-176.38503085177763
54	-207.51900475800306	-30.255236560296083
55	-90.75741211369377	-118.77880205595207
56	37.997910171903726	-292.6081079726276
57	-82.34291997906274	-267.25839911139946
58	-121.38012244722806	-63.22701168799709
59	-151.03106594617165	13.71244863679982
60	-10.454223606080063	-44.79699678807726
61	-97.20271784832036	22.25337476534412
62	-185.6137427605616	-36.44564370878541
63	-255.9290818688032	-235.0913745885546
64	4.116547417332242	7.435481752791574
65	79.3214715346458	-82.30685800985972
66	-231.88047955016867	-62.44293562264764
67	-105.11025526362947	-142.148143789638
68	-87.28250487369056	-37.35767354576517
69	-240.38613323001735	-141.39944128291896
70	-98.83079503627305	-146.188190247138
