Environment: LunarLander-v2
Agent: PPO
Experiment: gravity experiment
Parameter: Gravity = -1
Time Taken: 66.10318303108215 seconds
Episodes: 211 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-878.0782895172388	-677.9919196996682
2	-737.2158661055059	-817.4576105362407
3	-1028.2265613887425	-1386.0233669758873
4	-820.1327290488349	-649.9485687850664
5	-903.8521010038361	-906.4005893429644
6	-427.93491905145504	-765.2834301095218
7	-599.4479469759181	-2997.9529433780567
8	-501.9687303572166	-961.4874847383321
9	-837.724707690568	-1156.8742779497265
10	-640.6812581890351	-6252.906718799868
11	-675.9358446533143	-3456.7476120987058
12	-779.542537391322	-1068.6415540328849
13	-1085.4179999917583	-1537.4573623804242
14	-1029.1548662324171	-2148.1074276678464
15	-3733.8797641132273	-973.2715945352869
16	-1392.2435605954695	-787.5216059594709
17	-1207.6966791258794	-1045.0416117310274
18	-554.5762939104261	-2388.650347276288
19	-2054.2476702887457	-4568.466396357473
20	-697.520182220663	-32.075320168410215
21	-761.1188927763591	-11.680182243518686
22	-828.8232468425684	-746.952755531258
23	-1062.0762565747916	-726.1552804190153
24	-408.63741558010946	-740.2349036717349
25	-850.0171108820427	-528.8476759718001
26	-567.2114077881861	-694.7896173263324
27	-710.7138451827883	-722.2701825615751
28	-775.7529922117642	-343.78263751883105
29	-1982.305335716943	-243.77184125324735
30	-358.9268705799765	-52.8481424070963
31	-318.3232916386084	-663.5237314686347
32	-758.24967378372	-591.0407712346791
33	-788.1018825368611	-436.1431393971401
34	-257.87337620880083	-58.41316701803025
35	-253.05740489822853	-212.04822637795655
36	-373.53030751229767	-375.9708038997787
37	-271.69308718136386	-368.0087665966947
38	-4.317020239396427	-752.7508014266596
39	-564.7976819160724	-1011.6416500057741
40	-683.2228310035918	-396.82081039486184
41	-213.51189574102585	-390.7416312090258
42	-484.4370809855021	-1056.496326234124
43	-227.1850993301299	-1246.1707264663899
44	-335.63845464424287	-49.93166347861626
45	-339.1710090733488	-60.53282785393438
46	-288.12981670754755	-462.7441822647553
47	-384.5200260593396	-64.94949932042368
48	-166.5903858993455	-229.83859993818635
49	-600.3146453377278	-286.2482360203542
50	-229.98913366575067	-1006.5028151501149
51	-411.30029539788836	-203.0128488025551
52	-654.5941785200052	-28.604639954264968
53	-340.7622031836561	-23.399913603815122
54	-242.54708843460267	-239.48869795478208
55	-323.41474265490695	-134.70645425979149
56	-197.81758849247262	-228.8049955024615
57	-186.5155804648391	-230.10951110236252
58	-202.86624140937784	-137.84246378521743
59	-695.6160324664925	-394.13699220403066
60	-484.8849007227594	-199.37590369087596
61	-306.5485843102475	-11.039259286411934
62	-379.37188727590785	23.845446154749737
63	-93.64238571057312	-283.1687910470206
64	18.99969677463703	-2.8584973150456108
65	-248.08779081704563	16.89833004152638
66	17.154774771103874	30.366173289744836
67	-215.7881479518061	-283.93901703779636
68	-73.95591024845248	4.150525740058299
69	-124.66993719802961	-309.6016377278655
70	-296.4511044229106	-37.260100823575854
71	-186.51284819401582	-53.118730680781255
72	-120.85288357532994	-295.87404660576857
73	-119.68212058291505	-564.6580940232834
74	-118.64461278923518	-137.76498119868972
75	-149.62452947204682	-410.19484837037874
76	-90.30401942444435	-377.63887300678164
77	-308.59573869038627	-316.2841936458443
78	-123.78030101317083	-30.704192423738533
79	-220.8725287313384	-191.60516354731917
80	-200.38544249018392	-28.772875638072975
81	-76.46469947104536	-57.32302722189252
82	-22.68105205411078	-616.3204291814811
83	-163.36002367809266	-277.7096102246493
84	-247.74553227650273	-241.98203290932003
85	-310.56389597096734	-353.54344676402644
86	-100.19067441967734	-249.38092608907328
87	-7.124247785743705	14.522807521670956
88	-332.49166413753596	-317.65230984006826
89	-135.18084773057745	-332.34850793029284
90	-222.32638618762445	-205.19862044695222
91	-168.50597453120452	-277.0406621299742
92	-135.95426189278032	-345.11862972363656
93	-82.8690303763248	-197.53145962092637
94	-193.3314139926058	-119.84180232205601
95	-217.55738150866313	-59.6251102931073
96	-132.49789326285102	25.782188460571177
97	-28.522316620898874	-30.697478784495274
98	-304.4594836291966	-28.541929308075993
99	-162.75555786591076	-340.60202905917544
100	-152.26868763175182	-193.94100391258888
101	-105.00630747611662	-19.26224499640705
102	63.451895803207464	-54.00813775216656
103	-315.1390412404437	16.54616913841322
104	-111.200593635458	11.65430534060151
105	-252.7362845063048	-97.38497748124644
106	-97.62521777416964	-211.7328971530291
107	-32.744035922267855	-6.608305093780274
108	-18.76601287872714	-211.27340357982862
109	-107.4426878472565	-50.28160171904032
110	-161.71658150222595	-249.8223121242944
111	18.60848245780719	-83.9676353804879
112	-220.35886575964986	-29.141517696385705
113	2.50672040440044	-86.37760822915713
114	-65.45833788281399	-190.4858548500706
115	-175.24134246861752	-45.05392442880755
116	-252.85146307326397	7.188359006889371
117	48.28574087435839	113.83371652300326
118	56.53081711674699	-22.737701405735407
119	-125.03108900422684	-8.412229694656887
120	36.89491694614061	-148.2778325776474
121	-152.48236162592084	22.63281861811251
122	37.39596383873646	-232.31466906981478
123	5.991400103650921	-4.569171614049736
124	-84.35562557250093	-275.37593901096386
125	-13.094782948905614	51.62270636492889
126	-137.20595521080133	-33.564698035517196
127	-136.2573071197121	103.97503116817605
128	14.158769024533008	58.24367867507834
129	-118.57724328945524	45.014887472790235
130	-98.52726877964403	88.66166001559311
131	-83.46640262069718	-108.21325080375314
132	-119.87748292109833	-23.31129408146137
133	-174.00845852737626	117.39768617837757
134	-145.2054083301811	-60.080445050606166
135	39.81897908987709	7.4711035320923
136	-41.93077089112228	3.140208101503646
137	-89.09555387936214	-130.27066919046393
138	-112.23455179326743	-84.5224610956857
139	-148.0188320665124	-17.828851028553103
140	-133.52915187117404	66.54637135617864
141	-85.64279997893016	-141.2512406345929
142	72.51329519333396	-145.24838366473386
143	16.77388357110596	-148.90624781107397
144	19.879721674441157	-30.639157483537957
145	69.42483593963284	-145.31875877657828
146	-146.22724615578306	-135.95049945844826
147	-150.5838943727195	-7.731427981485041
148	-144.1186171913095	28.256942579952693
149	-216.17332177798772	-222.01727968088602
150	-159.812241738254	-177.9007328731346
151	-249.98974601887537	-123.49667277578101
152	53.09744560908318	-7.143760817376176
153	-88.86862123736944	-177.72610757164367
154	53.692352869203305	-160.41209837788892
155	-80.70695046860396	-31.36225057732979
156	-40.312440564867124	-188.76871487623495
157	59.35136144871288	-25.22901705838173
158	-58.34888603725557	-90.02698899108846
159	1.3491917632716135	-194.95361563599315
160	26.428396298522756	-38.71427992060989
161	44.270173822730555	-127.78718569909188
162	79.65623261213501	-92.99651920416535
163	-72.60753947402172	-263.03310196141
164	-232.3013436656421	-173.4084687730293
165	-81.96831706687692	-13.493736310997093
166	56.44691906364356	-123.39987548719762
167	-61.150720895824435	-129.56409527763878
168	50.051138561810475	-160.2447748750187
169	39.4700967537373	-137.07031114997034
170	-92.27427100241727	-63.56561995512861
171	-187.02175993829906	46.16205763348597
172	69.32627557227572	-61.418946128883945
173	43.98180803854393	-120.43692826935784
174	-140.02238443368432	39.89207921424588
175	-6.753115513347725	-50.73234324368547
176	105.74863300051983	-219.39468299602666
177	-62.28229899938175	-44.599603286393645
178	-38.10118415514181	-38.97433255414154
179	-200.8856037799286	-188.17901980779513
180	52.93934230379146	-85.39077683763315
181	-220.51549212079468	-173.45725202393047
182	-165.29300358740176	-109.47739337627154
183	-123.9689123525805	-11.327235259809967
184	-71.33297354780231	-114.23810569487894
185	-199.24049073089833	-134.58523285736982
186	91.5461523023422	1.6598482405007502
187	13.701567492953785	-40.108610638233436
188	-206.51288123278223	-107.68611006788637
189	54.50164409341514	-127.14910673890586
190	33.20026920491463	-15.011502960712889
191	-96.46445168417206	-14.086396074036386
192	-158.68235481924708	-5.438812628043962
193	74.84587675699689	-3.6459574747652255
194	-56.07289340564539	-40.24983586172463
195	-104.0884651135246	-127.71374389857621
196	-76.01948241901064	-91.40084124017451
197	-42.92981658316976	-91.22318124009487
198	-219.80094401149194	-170.30921755769165
199	-44.08411410016119	81.69056276367137
200	50.511284757291634	-6.4044692530248
201	113.72533941626897	-21.13432093348078
202	-87.38355282569816	-271.9795743522894
203	-268.3013956807935	-80.67396715795746
204	-101.69124962999932	-324.14907936532836
205	-31.221996704866427	-223.34420982779895
206	87.83561258006407	-201.48609668973359
207	107.36205880432881	-27.530410076141933
208	-203.373829796484	-299.6960122619397
209	27.034649597793987	0.4395533653665922
210	3.876442838775546	-6.553787413585098
211	-102.98269591489637	250.47113291829544
