Environment: LunarLander-v2
Agent: PPO
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 805.9352197647095 seconds
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-6276.788231414512	-827.1875766349397
2	-627.5693100129544	-1809.5320797313104
3	-376.0292207406374	-3798.40010445412
4	-739.5094366245739	-980.758155110827
5	-9512.686715162778	-944.2742866926055
6	-1641.29363455444	-868.513089413937
7	-1897.576270999902	-2112.995595537532
8	-2422.858330389077	-5640.373014350651
9	-841.3221336592635	-3215.663649108602
10	-8664.06438283652	-899.3405717170672
11	-671.4259109176744	-6624.119254906266
12	-470.57890464366756	-2253.852751234316
13	-369.2089575038235	-8093.267625354465
14	-393.7243389811966	-2983.5063059948557
15	-649.1760253820144	-1020.2369591137726
16	-10734.288463517729	-9189.291099827475
17	-17872.486636087706	-2156.901711560202
18	-650.071026703952	-19841.613541919454
19	-9839.294565556822	-15457.641582630256
20	-305.8185677648861	-1030.9929706789567
21	-611.5300024299947	-958.7929775568742
22	-1647.8125041049423	-1510.4237148880525
23	-4612.621249380887	-9071.93486895309
24	-1974.4081527228605	-17793.088123304045
25	-529.5929540032512	-741.4166217257779
26	-2345.223752924233	-1012.3274911571206
27	-14886.057620798985	-9232.952177249188
28	-758.4773616340842	-1123.3557806917674
29	-7079.9501889354315	-855.4386959210173
30	-9254.589930529672	-9466.603993387425
31	-1497.3634887795843	-4137.644047948172
32	-940.6091068587405	-3630.8898578466424
33	-16971.603456534438	-2239.9014814594034
34	-804.2723878344674	-2685.6008525214297
35	-375.6714788417915	-426.2880564772382
36	-2986.214733732732	-2387.5129562647035
37	-2293.203323076853	-1898.0115159954642
38	-2340.397157428588	-870.0864395052367
39	-378.01955161372695	-1879.4112004514593
40	-724.658608364032	-1632.2527100401512
41	-1186.032783300627	-5208.834111003971
42	-3641.5487620702465	-1357.964813679198
43	-673.4438809110046	-840.3229458742571
44	-7105.570154643864	-909.5709691815903
45	-2116.2004610295317	-393.4096533056399
46	-616.590314508254	-6608.296105045139
47	-541.6503239452406	-3542.952629413877
48	-2982.113973504412	-2310.330061345107
49	-8839.570249786304	-9215.58377944425
50	-303.12596107756195	-532.4463608046801
51	-3621.229129699925	-752.2657089684504
52	-4277.821784799203	-390.44833897650443
53	-576.331640276015	-400.88462083385997
54	-354.38616304033064	-193.03423407468733
55	-443.943641277516	-505.98568703632554
56	-396.7526422193734	-549.7949964744419
57	-354.835417664034	-520.66921534097
58	-537.4474435824848	-301.5310749083607
59	-168.83930278729005	-623.303636108703
60	-347.0405454251331	-92.04861570968323
61	-152.19536100999065	-22.73216711312115
62	-150.2706540537282	-211.26688964501824
63	-336.91700344556216	-9.684726211744817
64	-134.96248115980728	-107.01784421778783
65	-243.80782124743698	-91.4313974727771
66	-74.9271781847439	-126.04053765562446
67	-67.91085298355657	-44.654325752016035
68	-350.7867271574154	-8.114559404206972
69	-150.07490298694321	-103.42873827002802
70	-217.2821931283165	-237.77666585062502
71	-94.65243662653234	-146.00944702636696
72	-377.30170826705523	-218.47489848295322
73	-109.65148818263712	-61.253392061034795
74	-157.0685091464329	6.063125869140933
75	-410.5641459325743	-94.56548463482994
76	-197.25251480805667	-235.25340069418726
77	-205.0635268013147	-67.69940856860619
78	-140.1678441866075	-157.5205187172786
79	-105.05708657244287	-33.2740468051048
80	89.08256632858412	14.351547705327206
81	-231.20634289763282	-128.000990531541
82	-85.49244672946914	-166.91969727060658
