Environment: LunarLander-v2
Agent: PPO
Experiment: gravity_experiment
Parameter: Gravity = -10
Time Taken: 789.1150245666504 seconds
Solved in 572 Episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-154.40929791539236	-336.05776659719675
2	-101.90937385598905	-126.66334111583353
3	-113.3907157822091	-353.0135100140076
4	-130.9490055197233	-652.5689776859837
5	-101.81430352162153	-85.48055979846895
6	-129.2242809918497	-653.5766026716828
7	-65.15524896434319	-509.88760049584505
8	-93.56183383063272	-1341.6512851226444
9	-220.94134917950782	-889.0764866511227
10	-107.81175217012525	-538.443093967689
11	-188.53803953129045	-674.7201000736964
12	-189.57210093241764	-564.7287015517015
13	-121.15745215850606	-117.09032371174787
14	-30.023439473844803	-29.088912082021142
15	-74.67729189795543	-176.67200190035612
16	-28.243813884051647	-106.87208483553673
17	2.2672477792796286	-114.55919760032221
18	55.991338121479345	-159.96924913571786
19	-488.088223898734	-63.782856611188784
20	-395.4681089452055	-196.9712564350412
21	-269.6734510845581	-105.55614199559642
22	-295.98000759426486	-39.27685193845753
23	-359.2386360337738	-186.94463205940843
24	-141.71951335272158	-29.362534002051845
25	-43.85467522321119	-32.70154408897498
26	-66.2441615183636	-114.01601528582744
27	-44.83128310340656	-294.8602697308728
28	-54.01527114964021	-287.8662727677905
29	-38.47298369552523	-287.87541343381406
30	-45.2068574642591	-347.76054431400667
31	-8.664398813878336	-324.47410776511487
32	17.258924846229036	-331.37496117390936
33	-230.06116406474695	-372.8953670355976
34	-98.57815373496673	-414.76054846138885
35	-151.2522838642928	-383.6321252602719
36	-26.813641906307353	-425.08829922221037
37	-44.53179919981969	-337.9824484882988
38	25.517367126004046	-389.11031122643215
39	-18.933918810768773	-394.812932400867
40	-146.8038703994635	-323.22116080897445
41	-139.81287229047294	-339.28902202010113
42	-36.12718133046786	-264.11935020364706
43	-132.1922832152354	-249.97079136270796
44	-41.66944016031668	-252.126393088755
45	-160.9598952726874	-228.7869903479328
46	-15.195001499152923	-193.93411498735824
47	-39.2335559663796	-185.44405875919142
48	38.797120298898335	-91.68072556791518
49	-64.21194083182364	-200.28946615962002
50	-18.83228751188578	-322.1089925655908
51	15.113278011144132	-455.3372204495991
52	-88.7899756869354	-393.07983091223065
53	-200.5119704646468	-325.1966750018436
54	-46.34605449157843	-1143.042511873003
55	-93.38168642317542	-1530.8819127526087
56	-229.73255623692174	-237.61355135764146
57	-122.69486233274002	-738.6729648292946
58	-190.3219941002249	-1190.7280113301458
59	-197.94456297059747	-2119.3769195094
60	-367.94155141001335	-1114.1016844472038
61	-297.18931217034486	-2389.141434854411
62	-255.5701335434222	-418.4269808153249
63	-512.4762886992592	-2668.1803700134155
64	-452.0927417075017	-1842.1988700386303
65	-239.14566846099314	-1426.5026785778807
66	-51.35354127062409	-305.0054027816052
67	-56.3644689034554	-374.21091424784674
68	-161.42346281663902	-342.39561792675886
69	-43.75969020015525	-351.6249211046277
70	-19.57576599290441	-213.28191785926856
71	-61.47961451126902	-549.8776680723932
72	-93.82156356410934	-154.46564065141362
73	134.68309720306524	-89.17710736090822
74	-56.549278037815824	-417.92422425895717
75	-44.318082144303276	-140.85868274821036
76	-111.5968677622371	-751.5405970368363
77	199.639703198509	-209.05863564009314
78	-147.8949728395063	-433.6707950773839
79	-187.9962125531003	-472.35268289427063
80	-20.308652213296142	-421.4635460988914
81	-413.6919058318715	-428.03738487412295
82	144.30889237054578	-441.7380656115241
83	-332.01181098806785	-199.98358391738662
84	-341.40529675162054	-498.7460865739871
85	-396.8589009652178	-429.5206904388909
86	-297.6105202470409	-312.73676082293537
87	-102.24220260585477	-396.54108700074966
88	-85.27535446535339	-369.99988630716047
89	-58.948275738919875	-507.87430032191963
90	-254.25307217684517	-553.9755152556692
91	-122.12783168267119	-348.979061804934
92	-146.65254170388764	-334.23060903058035
93	-164.81437815797204	-418.75687212097654
94	-271.7168301700632	-321.4209990338045
95	133.48324993692555	-350.41617160992575
96	-64.97519638697715	-247.21192671294364
97	20.15623541088237	-286.9173162889535
98	-118.08027294894686	-233.8540200580679
99	172.352321946267	-298.67293131546796
100	-56.87355351877961	-152.05308139591259
101	-8.869248832238341	-238.43622299094778
102	239.28807836182537	-332.7331886262858
103	140.17212917708213	-380.5220006326054
104	-19.873608249528395	-390.90921677918385
105	112.91511115806769	-360.34711283719264
106	-231.01171138887952	-331.18419516915117
107	148.20725527480536	-392.28796073611016
108	42.5050278732992	-302.7360473901951
109	-199.5213701668211	-382.4832637717568
110	170.46500547021074	-521.1909576319742
111	120.61297800609967	-470.1791366086387
112	-129.8233418083618	-399.51037815614086
113	74.29906282015013	-444.57137304126564
114	-28.317973372853075	-388.27404902389287
115	36.83330102319718	-299.9771479910139
116	61.73079881824381	-207.7923396435618
117	-32.22592637803554	-133.34991081392184
118	-10.568928807521038	-106.91974567685894
119	-1.1704425585248828	-164.4259084931567
120	-3.5724693268682626	-237.76928274504652
121	61.13540029166869	-387.8171770568965
122	36.05366295594279	-274.2783146105641
123	13.445714756225817	-231.55633551959292
124	94.98481715910214	-192.21501557852653
125	112.33476437121998	-111.08649314379328
126	-3.897207987664487	-124.04529603526736
127	124.7927337697629	-272.17786429099573
128	-22.578022771304617	-213.05664415333584
129	20.769786318236125	-190.9620336542593
130	32.99165592652167	-199.15134450874245
131	56.19822755518574	-260.9668355850716
132	98.11443063130852	-188.93839298521974
133	80.69691490855543	-248.23751690721943
134	27.93727472443289	-138.98804529037227
135	66.59141386662917	-98.82904158629147
136	84.25154856058174	-90.42587098780432
137	135.4336248114627	-68.74432187634451
138	121.63961101409022	-19.31102916158746
139	138.12761661898136	-68.46050946972176
140	103.28515057775968	-65.31867071963552
141	80.83292721163801	-48.96591445584702
142	96.1982960820976	-57.452935508411436
143	99.81959562512124	-40.41917816800278
144	64.69942166650897	-6.095530987346522
145	168.71635823076642	50.784542503034885
146	124.96103916274232	94.86776167512024
147	89.38722446636281	113.14906728982218
148	90.1517977674392	-37.11160510228329
149	-23.528998405724295	-49.26991293472848
150	106.99432121846668	2.2210475488430914
151	103.91219971108258	-22.28370159970594
152	122.10112888826134	15.524596553019677
153	21.564998243443384	-42.69018366643296
154	92.19602445829292	-11.472716374425563
155	89.76807712293358	-65.58515818713208
156	58.37433961479081	-80.7754336648018
157	74.67558032764536	-48.756987883904046
158	108.63923369753448	-61.32580632277073
159	49.43269817922338	-82.42090302549839
160	100.96070970570842	-21.647262620993114
161	70.22774110636261	-65.68640659389031
162	45.78568310365531	-17.8981520778424
163	57.97177886680996	-29.28831276529488
164	73.5590455873334	-34.59477290801919
165	143.40107801142557	-31.416218370258473
166	112.99978775156738	-52.909103410885095
167	65.82284842484302	-28.500981924424263
168	-69.50603100844313	-84.7444270671343
169	103.19779063456022	-115.01531524344463
170	146.87555061476914	-64.32952392722986
171	103.22614310819992	-52.543643222432564
172	128.5693864577508	-53.66947400123533
173	144.82716120872686	-44.7049978504242
174	152.0882814645805	-47.91319665112325
175	96.75845807353295	-68.39123130249016
176	111.71944426544549	-61.09668316380636
177	43.569532526094555	-50.29052199103057
178	102.13054031302187	-87.1215200760097
179	83.08559136709748	-96.97851619563487
180	82.53410387533654	-94.83604677508175
181	73.69887132806274	-174.89218014413086
182	64.68676247771084	-117.86760371439773
183	62.696754299839476	-36.95153507752385
184	131.71731529992718	34.99441541647996
185	136.57630955455767	3.9313867466705306
186	96.31477695112497	154.46437864388858
187	125.05434321839437	-18.763821969905425
188	126.84197703118882	-52.15492752166816
189	93.18442923386202	23.681428361079533
190	113.06289635365795	-6.924738668909367
191	77.40576324016503	2.733805564006585
192	122.81653514178802	-20.14922451729813
193	106.74918808753333	-6.426044363936853
194	102.13166938799662	-6.848905649073003
195	112.25913921057439	69.23363974653326
196	-27.30749459515563	41.397559622803236
197	-33.82607430923596	17.274221031813205
198	-31.55707405057784	-43.90555663209138
199	95.76655541495724	-38.411415405537475
200	89.67307343097937	-51.109289823742394
201	-47.55189391945988	-62.44147331101631
202	80.02627426174784	-144.0962553247593
203	101.68410526994082	-44.992833465688996
204	24.81410751413356	-13.758577443869141
205	-71.42515321627371	-44.09456373329255
206	113.02719961921049	-90.50721322382394
207	118.81703584881234	-74.0723261683747
208	156.97903251204633	-6.629678216841841
209	67.1833854704116	-70.85117542854522
210	25.084996784867123	-75.55206770237187
211	31.968827612892227	-74.98474360868848
212	-31.085461766914975	-104.62493758653305
213	-44.81313224697548	-149.0464260233131
214	87.18968823400643	-114.52870180486065
215	-74.52766926807395	-87.01785845838066
216	-195.8063576609646	-112.39017089502889
217	113.71613037645626	-114.52462669163101
218	80.40145224385671	-66.11402151457669
219	97.32735952354014	-63.31493596405023
220	-42.080729433200496	-119.478071507503
221	-71.86420745948456	-36.245670955751635
222	179.83274046520268	-53.33607911335212
223	167.32226472325004	3.9874913647074623
224	42.896540032540074	-60.41798201695429
225	45.021331298002806	-99.8476477809773
226	-65.18608883105578	-88.76007598282662
227	-95.89286351171185	-67.86830192324409
228	77.28568401564733	-58.16976901314026
229	-113.2140221058744	-136.54314897083358
230	191.25738755731743	-134.959641384763
231	-23.019833228744638	-209.26976099957065
232	8.673954656912288	-222.48345190776436
233	-136.9549982935429	-197.2532502646851
234	-66.7616857154448	-77.91667236395915
