Environment: LunarLander-v2
Agent: PPO
Experiment: gravity_experiment
Parameter: Gravity = -10
Time Taken: 1695.2424037456512 seconds
Episodes: 1148 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-376.980657369827	-306.3352192886614
2	-320.57779632537836	-546.9604933325616
3	-159.68941264658497	-636.5912103507549
4	-249.55144697986302	-486.39702231458074
5	-241.13094212730334	-375.9399809882723
6	-115.82376156275123	-201.8527393263631
7	-358.1870988139692	-373.7973795258784
8	-129.60232295974922	-193.8328815703093
9	-442.08974901557997	-109.58135027652935
10	-181.20890692732553	-110.57208020836627
11	-355.26578959975507	-111.84043309676385
12	-119.80283933609779	-268.4352882797899
13	-85.9301934547029	-1.5152494880831568
14	-85.33480287238443	-261.0266016980027
15	-74.05559261748792	-329.49860079260804
16	-88.76387451593068	-395.5785973952089
17	-194.12939317099557	-218.12488926999043
18	-52.598043849395125	-598.3279546883114
19	-179.0691273737937	-374.8796784103905
20	-212.33564977462098	-485.50000456421645
21	-118.74314327679221	-483.1138328799051
22	-127.62604690844569	-360.5291214749165
23	-328.3531704252081	-1280.4695666107134
24	-59.311977431898434	-686.6389557079344
25	-283.79893194784347	-841.4914431542467
26	-140.32132396584237	-856.8571069893147
27	64.63431559600181	-854.0105902474874
28	-153.07743071144776	-738.4896339830095
29	-77.21954312176715	-928.4525019290206
30	-401.4034778921876	-691.113215947876
31	-36.96236763503573	-759.4695369087059
32	-337.89862823992627	-285.9354289824616
33	-271.5049768883383	-375.6980863878331
34	-55.30755095611538	-721.3910316119784
35	-343.883872531914	-623.3372590108686
36	-221.98422497657083	-286.8600353622138
37	-246.9949442252958	-597.3753403564331
38	-160.5703164844977	-853.6806698556524
39	-289.97773117509007	-561.6282092114468
40	-126.91658499158385	-1159.8058117656226
41	-54.729447140425776	-305.5504292202091
42	-90.96776601122667	-166.8960854659002
43	-130.4006163350007	-525.7938286940908
44	-71.65118775447249	-838.9374324348508
45	-235.80012432033826	-450.9455110080263
46	-285.35525170429946	-513.2344619678942
47	-75.95774031933337	-701.7280359466273
48	-102.16871609805095	-448.0089610255444
49	-27.21399945941144	-834.8996217509584
50	-159.90563267947027	-587.6452078651025
51	-30.63501150911155	-329.20812818064985
52	-397.73857247896797	-780.9561117331361
53	-476.4669770769749	-428.44773640243574
54	-175.13976820420075	-739.2135369672558
55	-128.0663446572252	-747.4285320047512
56	-55.20517235211626	-1148.3298452378613
57	-383.4544208458146	-595.1264639415899
58	-269.04063960998315	-737.2878461062844
59	-71.47977090852991	-1032.8964470166447
60	-10.493956637140371	-1165.5629670207272
61	-120.34728641135098	-809.1456779212467
62	-316.3435703187235	-3338.5651170069
63	-345.4556186913582	-2981.379061493197
64	-41.30719443667408	-599.9329606986244
65	94.23264908361612	-2298.8769013872766
66	-22.83890476665249	-1666.3945584069527
67	-302.36494129115954	-2955.413728987116
68	-45.838902437328855	-5186.7889207858025
69	-29.5355419747426	-2529.1054503421005
70	-404.81585425700445	-1905.0244260658408
71	-130.75887970261812	-1336.6603327439757
72	-417.3134732447513	-932.119846390281
73	-228.0781177988307	-928.2940618047843
74	-437.08009286151207	-6443.124975534509
75	-70.52609380935323	-6295.399457640722
76	-171.25905584892388	-340.298190095972
77	-629.5521324526654	-305.7412005100608
78	-464.28223429827983	-338.59834182156396
79	-378.47855030287155	-395.0134740949404
80	-148.48341074574734	-970.2409437105447
81	-264.5734010068994	-1199.5300716176557
82	-170.95485117465688	-338.2762426117351
83	-343.460777701829	-274.9951774253587
84	-387.90965899233595	-535.8230086726129
85	44.182002190286276	-1605.3165035841396
86	-490.1484535596427	-178.1180876656581
87	-113.81873697515158	-172.1483103716892
88	-177.17324500158594	-322.8940861805959
89	-225.70153320363198	-292.93427104329714
90	-115.06978068282272	-328.42918770463484
91	-104.24892563359165	-175.18874566699623
92	-4.033466916839245	-161.65092761067604
93	47.76486203145819	-166.4266387459927
94	-75.01048204490158	-365.7901898624219
95	-450.12967031494446	-359.44107884578165
96	-151.7833864225537	-399.2996955847842
97	-254.36101150682654	-196.05911592061165
98	-55.9691050454575	-265.3189975619823
99	-174.3126880300531	-166.84943236087005
100	-284.99791236288286	-223.875451632741
101	-196.03844013708027	-274.06562861374994
102	-117.37794687625842	-460.26283212159296
103	-124.06553259502057	-512.2662269963031
104	-278.9811173924387	-348.39457490983443
105	-124.39016592156779	-357.2509998185794
106	-930.2688628664278	-527.9320529788865
107	-250.41996519654316	-256.9412145911176
108	-58.35691353747536	-383.86073446751493
109	-475.7211481722837	-352.5576445826679
110	-351.28468839845607	-224.68869994829933
111	-412.1486881930773	-446.13290352808406
112	-279.63489669658577	-291.71401756837463
113	-365.61006516406854	-287.7348635930916
114	-49.32686190953963	-275.9529739478119
115	-302.4193466673217	-335.18033769535816
116	-504.8642811026983	-406.6873957157225
117	-105.29631374476408	-226.24434768814547
118	-94.6078968252871	-251.85461232712012
119	2.9619625919140304	-289.26059337513266
120	-79.2091140286994	-177.02776751569525
