Environment: LunarLander-v2
Agent: PPO
Experiment: gravity_experiment
Parameter: Gravity = -10
Time Taken: 3328.816974878311 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-121.65102633652769	-210.5781260759872
2	-292.1213960671666	-441.83386824247987
3	-157.89452905402277	-559.2299162139138
4	-488.1177177001747	-542.7065287626317
5	-86.97250117975148	-495.95977574269943
6	-273.3798975746713	-547.3866302083927
7	-124.00552100639129	-460.0432071378671
8	-248.0105264940045	-201.83211790546545
9	-116.97191017439697	-156.81843029297056
10	-217.67375355207315	-166.47075911482233
11	-128.93306603960707	-172.78918361074926
12	-94.79382969393777	-171.22929979799952
13	-143.56761952001128	-715.8261758699055
14	-89.1124220516059	-446.87460533679865
15	-161.491363580035	-663.3864336465277
16	-242.67683816952513	-701.0280846409735
17	-220.49206222441484	-311.2635922402459
18	-148.8837835131704	-273.4782998182555
19	-22.48166208043351	-273.6270435471561
20	-65.56579464869645	-153.17705559433617
21	-70.19007568887986	-485.19917644680913
22	-81.66495192983939	-712.3962279670127
23	-33.560115422235654	-516.14822677042
24	-272.59172219174536	-807.1597126103995
25	-89.11257359822429	-256.3914591917596
26	-195.51454458803863	-420.197745881084
27	-238.2125597420006	-485.096095772355
28	-385.8439048473973	-649.5595989385467
29	-238.944914644133	-509.6849431322341
30	-219.88038234650702	-326.05747482879053
31	-204.80042059807369	-266.6836781939762
32	-84.88440248628666	-372.01531320442604
33	-209.92621740009756	-297.329181243116
34	-180.60340810864597	-435.20652926291785
35	-185.7657060063184	-340.42574017980576
36	-15.048245418787175	-466.3879411184462
37	-82.50704473535119	-343.0936807440478
38	-84.65571794035512	-288.8579105323354
39	-136.37209922737958	-308.962721019054
40	-89.86895210773544	-413.57016622344156
41	5.285071774457506	-144.79193260652605
42	-39.67453204889123	-231.4772341489314
43	-26.35746952124242	-415.006491627244
44	-198.90646637590032	-335.94721935222674
45	-205.71711496095566	-156.68297831199732
46	-332.3310400451854	-328.2657842102115
47	-158.76335274486948	-375.6442368765718
48	6.294466919337694	-342.5834251918261
49	-111.59287381406192	-152.82794637338134
50	43.29439128801109	-140.44858045354368
51	-102.876529321019	-210.00588872522417
52	-67.6874504066825	-191.96048191807603
53	-509.2159912986904	-239.66462459289986
54	-204.35533063124456	-190.2731228867337
55	-86.64087563130232	-113.66212372047403
56	-0.02965049735396974	-116.43660754645582
57	-269.40633039502904	-160.13574557502758
58	-81.62011927542888	-125.83394096044114
59	-262.4170121624053	-57.75190786638315
60	-5.7052990372428525	-95.09945828847925
61	-17.00191046430065	-222.51800385634027
62	-1.4995427850328156	160.6834864729446
63	-40.29363386954723	-406.9549935739802
64	4.502478859079986	-257.4040723703284
65	-39.82638879265789	-296.3652486562879
66	3.8368101200384785	-212.8626504055518
67	-11.21558341996844	-258.68672574906464
68	-161.6736348190921	-326.58030352552333
69	-165.71662575620553	-348.66473279999275
70	-205.42449181392607	-330.1855635953118
