Environment: LunarLander-v2
Agent: PPO
Solved in 503 Episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-6.400188594719523	-880.3254769168436
2	-56.780436030757066	-140.89452525849873
3	-186.2052756447107	-124.73159437831018
4	-210.98929270419904	-98.5724176704546
5	-90.48691006151915	-421.77847646721295
6	-137.19345057983583	-278.6152251935713
7	-83.96445377366581	-116.47661849826012
8	-97.20492458005867	-587.7331618051699
9	-280.69880183065084	-486.09781354196195
10	-141.69017760698324	-205.79662461484284
11	-53.580405895182714	-316.7103780796702
12	-15.720946455847667	-431.7185812513381
13	-86.71720676151953	-478.3553300417953
14	-231.30876548922305	-514.2120033614974
15	-47.283826692762034	-186.15498635559243
16	-58.556905553172356	-649.712964610656
17	-457.92184507880194	-712.0219946134733
18	-207.35744196884724	-195.47644492782757
19	-246.28914904064084	-481.1365700055499
20	-128.06725197264683	-174.08447794237907
21	-356.3760444105984	-543.504570055918
22	-460.460363721045	-245.37849629601217
23	-460.38504955081936	-267.30904233448524
24	-385.331608926277	-257.37432037349515
25	-109.08479361245001	-591.814695416617
26	-627.8103192677177	-123.91103838431799
27	-556.9041061245384	-1097.888592995678
28	-461.9135807089426	-440.7089831018851
29	-674.7892929859955	-132.67352835027256
30	-552.6198167848507	-214.10106079384406
31	-471.5215548617071	-396.5020403634074
32	-740.668592640795	-619.1034301804982
33	-656.6968712167303	-215.27470507121285
34	-628.6248270338317	-173.71988396099215
35	-637.6352294105388	-158.91974707752536
36	-554.9535214983905	-174.8823911632311
37	-574.3921004263555	-166.52188884652267
38	-493.69298430093454	-193.28810891189417
39	-181.47354814633715	-32.465156698812876
40	-530.2102388954281	-111.9471456722439
41	-457.8847296814447	-561.3332592458657
42	-415.2337330767037	-140.92960999203171
43	-324.58451160909203	-662.7842615975818
44	-484.18023208083486	-144.30805247201337
45	-606.3403672168602	-534.4582695518562
46	-553.2021922249332	-541.058931655856
47	-80.92404634294564	-691.0199047432413
48	-559.3593084411705	-255.20339797944553
49	-541.8972537881474	-165.4335907935209
50	-344.00960575213026	-202.48840135284394
51	-168.9557017677491	-79.75049711952842
52	-304.8957175615111	-832.2606003987728
53	-283.36718328381795	-228.96358101003904
54	-247.0016467076553	-809.8024253764562
55	-507.35999355880114	-713.6827321520334
56	-502.6803354235381	-750.7408243746094
57	-141.9810340529768	-681.3708669908274
58	-46.10934587883514	-100.70749691675745
59	-578.1621542134858	-128.20535365638665
60	-322.7728688523987	-579.9320628286484
61	17.029282604913305	-665.6481931523955
62	-447.36822311481166	-660.477932962573
63	-58.34874719977928	-637.1263334550192
64	-194.1238697357491	-670.3214733559522
65	-359.4602980625668	-533.3684655395875
66	-39.94090483887728	-118.51212147837376
67	-83.60346372076326	-63.331646143860574
68	-84.71717757774312	-557.6331886346093
69	-59.51945424807006	-678.8340620671621
70	-58.58177052445787	-515.7701380259671
71	-410.20191373876	-423.18592061792845
72	-80.75946731097987	-609.5471716699323
73	-52.936873054041	-17.831843190642527
74	-127.15910261304124	-422.03636039072666
75	-620.3063038695799	-3056.2655759260037
76	-365.4724403579468	-784.7091607681093
77	-447.76647945777455	-3044.573563628042
78	-324.382208394596	-742.9615421824118
79	-298.5156227079159	-845.828666441293
80	-279.2017741402446	-601.8194018568281
81	-208.1605862227981	-768.6329294550331
82	-538.5555707041258	-20.117568030206012
83	-205.09987561391512	-19.021153849148376
84	-16.955994728938734	-45.768534042918425
85	-93.00009420622786	-733.6593935819611
86	-25.241668242220257	-551.3366702510885
87	-637.3009792036709	-487.7429831947015
88	-485.98277994122446	-338.1894657355439
89	-11.96479689462592	-310.28673288542996
90	-342.3161360894597	-240.5572933555211
91	-277.1548670181913	-237.92392381506252
92	-314.6223934098974	-165.46786142490356
93	-98.92883883685809	-272.7293762129945
94	-112.76577743296616	-247.40642377752502
95	-37.77359723047735	-409.91533144695353
96	-32.80698538417052	-534.4097926222976
97	-9.457739834171747	-207.08215724025894
98	-15.394037156198323	-187.87100805065617
