Environment: LunarLander-v2
Agent: PPO
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-119.25212978677095	-102.34127354952487
2	-286.34892700988644	-124.79904175660161
3	-217.93870889602937	-173.33624040634146
4	37.645734775861456	-157.2498943616311
5	-67.64798559428915	-225.5528167667931
6	-175.86919703652185	-230.82818546393645
7	-89.16790948920828	-538.5235556858013
8	-123.2697575677706	-1010.5853148276994
9	-124.96262036320353	-519.6466898890112
10	-194.14364350477192	-574.4133454787592
11	-114.36406217672013	-1653.1594362677495
12	-173.90443435547618	-719.1516113922967
13	-110.32914637948556	-620.8776888688785
14	-108.15427045544766	-224.04221347177443
15	-115.77440085033963	-320.8979421216015
16	-107.96398747327639	-408.00465669152504
17	-151.23906070873997	-333.8037619442623
18	-330.7484434347516	-554.9710991973318
19	-121.5917560274404	-560.987706618673
20	-211.3872163207462	-396.06167374028354
21	-188.61421110183292	-186.56090754425628
22	-221.3888294857489	-277.82911082188923
23	-83.4845407562954	-354.2585413160738
24	-323.2341789592953	-509.3729804426441
25	-229.77481780803208	-702.2408230024441
26	-223.34674502709922	-327.2515295259998
27	-48.78527352410489	-532.30162981426
28	33.95155964929728	-496.7611456409892
29	-400.10152939654375	-736.762815349736
30	-296.7978696490029	-467.832689617857
31	2.973655717656399	-374.0781913518779
32	6.986882180469422	-379.57842659233955
33	-71.96185650756082	-477.191627053503
34	-278.85673760253616	-435.4180160325342
35	-17.542322803159834	-666.9582386299189
36	-157.37204337909853	-566.7275470378108
37	-411.95747178926206	-1141.5707282560445
38	-313.4186559824385	-919.2282041279165
39	-295.8763626621512	-473.119684586804
40	-251.97832879212837	-1989.0192444591437
41	-528.8954015469374	-936.203308410294
42	-199.5634861645745	-727.0734341853964
43	-108.94453703556306	-363.3039183771907
44	-369.5731478978063	-1078.2042431502036
45	-578.1617609171996	-1153.4206805982037
46	-279.26196982320255	-747.1699294512764
47	-211.8271237294215	-583.8491095266867
48	-199.23916588092706	-1634.4831300864992
49	-78.61217556078688	-499.9916227625886
50	-86.05596267656166	-1101.7078011435424
51	-311.1119112307998	-707.0899904662748
52	-269.5580800719945	-317.9371074159517
53	-455.47835742988184	-1360.7429826397781
54	-387.4340967719479	-510.4216594835719
55	-267.4069570663983	-924.2687605053438
56	-558.7284365815841	-775.6793028309299
57	-445.26966478434997	-1289.657365529801
58	8.897650960666084	-325.4879086749525
59	-1207.0647052552226	-374.3120661948442
60	-320.3315196086437	-777.6370575626845
61	-788.2738546652524	-1976.0927610135477
62	-75.04833604700478	-563.016847474933
63	-404.26778825213137	-639.2040865757896
64	-1007.1035720699283	-1374.1489446963856
65	-488.1217809920738	-515.1939795107157
66	-44.89253878465583	-1435.1871944343384
67	-235.68729075742127	-908.8987813937157
68	-602.2131272037783	-757.024003825676
69	-699.5692291234609	-466.81019523652583
70	-711.5087884810865	-520.7053191242829
71	-296.66506775557525	-1538.999503833476
72	-402.81108187655525	-562.943185709559
73	-1053.1152164335608	-411.93578238867417
74	-842.9028968041956	-863.6997094283328
75	-1599.7586362495142	-1284.3076712390214
76	-569.4041027039352	-616.07509577751
77	-386.80458832126413	-818.7090903676691
78	-1285.8995349741367	-549.0163487919383
79	-341.3661005631252	-1143.8574251175266
80	-446.70619270023775	-444.8010038348511
81	-1051.0748560843604	-569.3648183462607
82	-1195.4999612293075	-442.88054606381485
83	-297.6339405885823	-561.2095457167542
84	-395.0773812363967	-2114.0372165552976
85	-1294.6434045265053	-1668.940497370843
86	-860.6189701525544	-1282.435151821648
87	-458.3847642342471	-515.127485814741
88	-782.6360895160242	-700.1543732504051
89	-905.3168740466979	-489.6562485103559
90	-467.2311036454293	-532.8123876244188
91	-357.93398013931676	-854.3838825382317
92	-313.445818302283	-880.2495699415614
93	-469.54851965940276	-597.9990633308663
94	-947.1782561632768	-530.0996280756335
95	-1354.1697386185742	-493.07405552571726
96	-330.6284361174189	-1305.6367091946788
97	-338.4497359871041	-1085.7583519706882
98	-724.4893112890003	-443.06681508691173
99	-1102.900501028127	-642.4181839910888
100	-240.66697261287845	-784.5025821040413
101	-490.1908065986964	-628.0260020360887
102	-813.6926647549614	-439.6711239753988
103	-111.73838904745473	-773.5815903825204
104	-91.53686338270296	-766.893170148332
105	-128.01583061233933	-1024.9541861037717
106	-39.98042476957353	-757.7162251212613
107	-161.75548883950205	-1043.5443190284684
108	-57.92773480849387	-870.1593973309527
109	-270.2042743094063	-923.041288020191
110	-187.42332689009658	-733.3539515267694
111	-50.72857960681239	-499.0001162722296
112	-81.37266948811939	-973.9452182311724
113	-27.183491693845397	-1012.298066504634
114	-44.13381839660052	-568.8271842340561
115	-48.118490410243794	-756.4027605493555
116	-204.67498277372863	-754.11332148907
117	-1641.7798368929589	-1209.587959561015
118	-1599.609777555494	-654.2528081061188
119	-55.571660030522295	-3574.70945630281
120	-42.246565225849835	-897.7117966411902
121	-92.51917015879587	-817.6844727763452
122	-77.04400916989442	-1005.1722578332266
123	-68.00967439575408	-568.7002502077614
124	-315.47895858336346	-570.5816186831037
125	-48.877211360152764	-936.8093675108187
126	-53.95245821569193	-577.5648740688887
127	-28.255710057992744	-558.8651456634943
128	-50.89205147397526	-617.3527269356275
129	-771.6596016158609	-648.4085455197618
130	3.9848606012843533	-562.1304983110122
131	49.24720496677509	-487.65490331094304
132	-175.41552573038356	-552.9571223644248
133	-35.385032165978416	-510.5897999054231
134	-67.39372816033463	-1199.185462460326
135	-200.66219625281013	-559.3338310749032
136	-982.1356453004024	-1055.7387878121758
137	-76.06372972191204	-821.7736923384506
138	-40.64737175805952	-1124.016006681763
139	-1847.533731877853	-708.3573170945946
140	-125.58850208310962	-634.2075903510832
141	-395.05961305748764	-517.5586715751497
142	-34.84459463717063	-539.020472779354
143	-931.7734278041373	-2286.402479343941
144	-180.1110088940245	-655.6977468928137
145	-75.60034465310241	47.65514240338766
146	-85.01047080234895	-3063.1901186425803
147	-31.829123600887186	-1968.1304348474573
148	-7.058212120249223	-2416.210396788682
149	-454.1462320445093	-4136.339488262421
150	-185.98660151141917	-1997.5221957652595
151	-3.2028138349762827	-3453.287122507998
152	-22.74686652596951	-1979.398406218742
153	-69.57389595586315	-2952.1586811711145
154	-31.536530627463648	-3628.839021240475
155	-16.80111311223125	-1986.0779073519386
156	-711.8289172300534	-3537.3655216979314
157	-747.1690911309382	-1302.0085681974338
158	-562.5194607215975	-1718.494175542463
159	-1002.5478902131689	-2798.4512598643746
160	-535.3058181583497	-2938.831097845657
161	-795.1146496358004	-1699.4229355774014
162	-2550.575484480712	-1651.3840841613583
163	-2298.3223785813107	-2546.6593036217437
164	-2526.682973535552	-1432.9478784510354
165	63.77103658941857	-3004.1193983452777
166	-1037.3089407538714	-1003.439874184738
167	-856.4175405102269	-2615.7167926571246
168	-82.65557061969284	-1279.5007587714977
169	-71.42470908623753	-3294.3514348531435
170	16.881531363179562	-1361.2069559721253
171	-135.37346511391104	-1313.160034059609
172	1.7996072107170988	-3128.008277681962
173	-1034.3598955137452	-1163.3820820113156
174	-639.0434917293969	-1221.2122666876767
175	-40.78657593387854	-787.5819440507256
176	1.3444244014530113	-896.1163307597265
177	-77.1882525648659	-1358.4241173902215
178	-122.49943549759081	-1186.5117491688475
179	-44.90555735465577	-1039.4196504192496
180	24.97020170904986	-1184.4317479691424
181	-130.576350524038	-1092.8397460209972
182	-186.13564440730948	-1431.7867954735275
183	-34.719401009352325	-1002.9552332060254
184	-156.40595936114556	-1459.4631963281838
185	66.8987014289544	-1493.0366643503367
186	8.876992411686345	-1618.0860689250674
187	-660.4123554247986	-1291.844073039419
188	23.704364547530304	-832.0593398616891
189	104.15622617932233	-751.8715581511385
190	-406.2654623874908	-737.4119911929507
191	-140.53839245411882	-554.37257530897
192	-8.744920692739058	-464.6915362505108
193	32.24129461502662	-331.27829320412457
194	-17.49747891378469	-368.096623865221
195	-34.04820566956336	-380.11973913185966
196	-43.03586777560682	-751.6455743320527
197	109.78918751100692	-850.843141362592
198	-62.23913945451315	-838.1890269816905
199	98.57537331053881	-613.5003600675668
200	-91.34649594403491	-886.5278077367753
201	-2.5682185260252446	-454.0018944410204
202	-115.63128545802537	-821.084942181023
203	-106.189412196978	-650.9138472420161
204	-240.30102925220714	-623.1595674947429
205	45.19475134986501	-501.3070186519531
206	-202.24115032379984	-615.256496370146
207	-24.653069329508288	-525.1333311815422
208	27.87600896353413	-441.0473865304108
209	-167.46312317523913	-497.5461687121737
210	-61.669616605876605	-357.1162433563948
211	51.73984383456942	-503.3098904966766
212	-81.34643969863481	-507.54885250435603
213	-67.39015029004572	-571.7806613562102
214	-200.18006013841958	-441.32931630594095
215	-199.550752210629	-458.3335090993208
216	-31.392588993669786	-470.95466569668855
217	74.20637146381179	-309.7712226287733
218	-44.94302682506114	-395.5019460345227
219	17.21997132267343	-405.5440132179737
220	82.83878843085635	-251.73644020935592
221	24.17751877684246	-401.47977199927175
222	-98.12957955025388	-317.08202437445823
223	-27.28544920831061	-396.3826985859614
224	34.42662727942004	-320.7672791896108
225	8.15819659828544	-448.23042716839745
226	-177.93198297419178	-411.1554915470734
227	-2.8641586302746873	-396.9063704950977
228	-32.53130052922724	-424.216099196675
229	48.21444678734779	-330.66762726048694
230	18.886971419672435	-233.76930463205073
231	56.73977387463732	-219.08321785399605
232	98.67960221125426	-264.71895849304804
233	17.06436485811595	-214.07224921933903
234	-32.0045771313298	-315.5109804737307
235	-220.8239044173724	-385.4807335275295
236	-236.20972800448902	-408.4413066475123
237	-236.34179970425822	-324.4954963195924
238	-123.26828131663271	-284.12119184690414
239	-71.67324178463338	-374.11086059543527
240	-132.9207088305601	-282.76128692261034
241	-62.41356245297024	-282.06109317856874
242	-67.7722907407571	-158.54352556387323
243	34.12435523396609	-219.5298430885783
244	-48.40704609397966	-143.46558498609957
245	47.10953750354421	-221.22992485308146
246	-34.98511815686594	-262.581203723748
247	161.3768110518548	-125.54260761882843
248	9.251744198081077	-120.17061785165046
249	33.05727313857152	-106.12221216314043
250	-151.44553409058466	-119.17931088176836
251	64.62570789564631	-59.406793254745985
252	17.69238402844556	-87.68271770240253
253	76.0256838357214	-85.42118859646166
254	24.168332078629916	-41.44565392801578
255	56.66668654376992	-40.14020062972058
256	-11.0092449103898	-98.69377961590354
257	-86.7101824438009	-81.01072479273823
258	-0.8076218061502232	-301.1383517236604
259	-91.49185347657605	-328.5047343358085
260	-65.7573512873977	-305.70892143819447
261	-39.22143694735163	-271.26420195610257
262	-50.5230623339668	-132.85885265032144
263	37.512471671847806	-141.94957331851404
264	58.058808500813576	-69.97738493628319
