Environment: LunarLander-v2
Agent: PPO
Experiment: standard LunarLander experiment
Parameter: standard
Time Taken: 289.9666986465454 seconds
Episodes: 309 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-171.58016838658392	-465.3996684106129
2	-148.49291513443444	-372.2338128238891
3	-139.89883655913826	-335.91892495349884
4	-202.76843271979277	-388.5321262510011
5	44.371654983910275	-737.1794510498921
6	-388.895185258233	-563.1636605659223
7	-277.62379731401927	-328.5647269968282
8	-252.80951001335004	-785.2472182731443
9	-90.23048400017812	-871.500561186105
10	-787.7132101449693	-544.9839444595411
11	-285.69993113823523	-753.019929879176
12	-255.38486542628553	-880.8510496848887
13	-860.5477136604096	-472.3249723213221
14	-65.92850575423736	-537.2408094190953
15	-417.17799214554066	-811.6334572864465
16	-199.90393494271234	-994.9646542410533
17	-153.898928239643	-651.7998860482049
18	-481.55958790175083	-498.7177298610728
19	-90.35799405950009	-512.3242461170795
20	-253.8735469110479	-579.438403024003
21	-403.20175662022535	-656.8862346248193
22	-167.61034029221355	-587.9811509875642
23	-45.35473934439304	-955.8354420457198
24	-269.08071662708744	-343.1880189793803
25	-222.95533963075883	-2013.5858013574511
26	-53.05506747149329	-548.5484002880547
27	-63.789867525446134	-748.2635595422378
28	-230.81579031461513	-598.1231267801106
29	-62.23839183084579	-233.45951356583788
30	24.87955295739421	-368.6626280684192
31	-141.5504116450022	-329.6168605981707
32	-76.26072382488663	-300.75042584539744
33	-199.75241771683042	-378.0635916819636
34	-206.59800705328422	-233.59889737570907
35	-251.84452735195165	-308.03456354784464
36	-247.7429427778999	-242.9707125991206
37	-175.35938208838726	-368.8849349912569
38	-212.9835231483411	-92.71440776538586
39	-161.0156926449174	-395.5022734253602
40	-117.55902033458294	-355.6304688101764
41	-124.60684799737304	-272.67739037047215
42	-115.91281862028434	-242.25572195324446
43	-150.75393703426948	-211.9289579805302
44	-143.48413311993045	-136.74013829209233
45	-161.1005317014762	-369.62831060281565
46	-127.94325296426949	-469.90588822677387
47	-108.94656857255562	-138.9453527784641
48	-156.53322718419906	-161.93209256168478
49	-125.07910538035486	-329.1266756054237
50	-105.78275134605617	-310.540673882172
51	-137.1053256639911	-107.81714249609915
52	-82.61473977686946	-1255.9942609621596
53	-41.30389104810557	-1236.1737728507687
54	-66.84474339310043	-779.4832690223936
55	-65.66689402351354	-485.81739735720475
56	-128.31978865906441	-483.947252327058
57	-119.99718738175902	-857.3060681223377
58	-133.71342696250017	-1873.8929699889377
59	-20.274699904683587	-996.0376771014036
60	-176.90132715371797	-985.3223350665951
61	-195.2229367417737	-1570.1887360102965
62	-70.73886574371632	-646.1812353303983
63	-60.35936260474619	-620.1002229518144
64	-148.32724114194315	-479.83555713719943
65	-200.95200743364663	-1231.5075301698782
66	-263.6961216496436	-1029.429210042623
67	-102.73619857147685	-1852.6741648760135
68	-288.063438419082	-421.8443142107485
69	-310.20839938008226	-991.6840790598907
