Environment: LunarLander-v2
Agent: PPO
Experiment: standard experiment
Parameter: standard
Time Taken: 7.2077107429504395 seconds
Episodes: 60 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-61.157070363651655	-680.9137564742095
2	-99.86367457730825	-725.4473293989579
3	-367.32171965752434	-2822.535117908518
4	-45.649604746742426	-1565.745202058419
5	-155.61300025943558	-621.9268441049644
6	-467.22918008667085	-600.7507898508715
7	-716.9608959813778	-634.4221272101395
8	-429.0685914543759	-1347.8273678950159
9	-403.6894600726965	-801.6477984618582
10	-392.1587374537338	-511.50420440666096
11	-190.78643765885403	-499.61056441546566
12	-702.7158125156758	-1052.2971674262344
13	-412.25717230468325	-554.0777192915054
14	-798.5712477632306	-1346.1522985637473
15	-532.9607312595692	-487.1833785449128
16	-290.23171923501525	-3001.7087812205637
17	-367.26272848317063	-685.3323736647714
18	-478.47464755630637	-1264.2598707622155
19	-688.972170499857	-504.2495851773475
20	-420.46718404922274	-384.57342266346006
21	-185.20592286567344	-667.6296779886113
22	-58.423349376298425	-1159.817437926601
23	-674.6380604184436	-1078.5897695288215
24	-695.7531362775192	-759.6387290820959
25	-692.7213101174315	-608.1799861918823
26	-559.8772177762391	-653.523947670466
27	-589.984286883724	-474.36364287515755
28	-765.9114942114096	-709.7655685102676
29	-641.5298251044865	-567.5659800344002
30	-415.01826515346175	-424.3205118783525
31	-687.7645980678637	-690.3407968212202
32	-506.4009743778316	-679.5817142207011
33	-572.4416240062801	-718.406963869636
34	-436.98680457095423	-778.9236845412757
35	-159.592402943049	-851.880189356135
36	-575.0312315458431	-559.6931293088142
37	-624.6836695164272	-888.226112064037
38	-527.3069052094933	-736.1379703943772
39	-637.1180903987403	-859.1910074542837
40	-341.6851148938116	-732.3798274702319
41	-196.18970942205726	-680.9067333538082
42	-680.6256735258248	-650.6129223245134
43	-553.2115017230687	-579.0518267554055
44	-277.61248886397743	-681.6588949320675
45	-586.3328790394819	-737.2663148361837
46	-637.8213409876487	-283.1790642026243
47	-563.775505020513	-237.77619036857806
48	-391.7210544688648	-236.53898962368675
49	-380.0405905544317	-355.76804258660064
50	-322.4546997604259	-220.68013193122485
51	2.44283077530703	-646.2918786884816
52	-277.76175734679816	-573.0702220539945
53	-242.95005103685102	-304.50827761563335
54	-357.9795827182453	-282.710554478853
55	-84.73071187048951	-292.68916615003286
56	-203.22257353540596	-249.58770888645492
57	-415.401911183922	-440.62945491731296
58	-240.3766812246781	-248.29540864694883
59	-137.76028931149324	-191.62646448614692
60	-40.77163864280409	222.13856484941837
