Environment: LunarLander-v2
Agent: PPO
Experiment: standard_experiment
Time Taken: 1757.0978434085846 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-129.81607220805282	-173.2529011622061
2	-226.38169420089991	-103.61063461309652
3	-202.26335445679297	-157.39276338154608
4	-108.49815063545881	-760.2037913185387
5	-208.56544006928283	-2486.01087757535
6	-177.89777937804536	-695.3629810858346
7	-247.9934717781153	-551.9713738448665
8	-105.70728696708012	-751.1717137217365
9	-120.68443665004182	-475.9293680092009
10	-102.66269909415519	-392.65061706615415
11	-381.9015890265908	-1253.7581708620348
12	-441.01466679371663	-1009.269880081249
13	-10.728456217234694	-1078.621163735291
14	-349.3708132268026	-2050.304407773836
15	-418.64533870105106	-1002.0232157673164
16	-369.720890065923	-545.4919801360409
17	-239.50733691441596	-536.110826309456
18	-263.7379240403043	-639.4549406449024
19	-532.4217491491911	-1093.4193032831618
20	-789.2256896546622	-508.38228542244764
21	-352.68580241717996	-639.3571023813004
22	-642.2740971338111	-636.6421127496188
23	-153.98908930137017	-624.8112133504696
24	-437.2301829764053	-684.9789968382611
25	-506.388280158951	-958.6135789269046
26	-9.108097669685137	-508.9023361066137
27	-263.0967104571523	-1071.0313086243605
28	-735.1356173077097	-863.9322753589707
29	-284.7698366359708	-1280.8161974803434
30	-69.02263824908408	-510.50086378029766
31	-645.7851579368223	-723.9636534954028
32	-540.518202524926	-961.3140430859578
33	-185.26924884582613	-726.3413327307737
34	-98.92134675281184	-799.9584274091918
35	-561.5942871630443	-1092.522155076269
36	-175.09060598787414	-572.7613499681498
37	-443.58983495351305	-953.66141404698
38	-200.22470919333327	-732.9193070305766
39	-235.7852106359063	-636.4785840106335
40	11.745063876458545	-985.015129896512
41	-330.7992314567332	-481.10547168831624
42	-348.4901524972072	-378.52709887537765
43	-127.28388149273609	-576.3660420656885
44	-436.3659549981472	-755.131476634041
45	-156.58429276146114	-586.7813574023072
46	-391.86917951819663	-658.1836420308654
47	-169.79001382182014	-2006.0159828301562
48	-207.49611043267964	-730.9744463840595
49	-80.24990570544212	-502.2589712853437
50	-76.25897576742128	-831.4928141607405
