Environment: LunarLander-v2
Agent: PPO
Experiment: standard_experiment
Time Taken: 1214.559948682785 seconds
Episodes: 1383 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-193.55268345319553	-127.22526862251041
2	-211.2300625914464	-143.81239605854233
3	-105.0159603246889	-568.0396377049467
4	39.81641051484013	-511.2660530309699
5	-77.259092927364	-1337.99310719775
6	-83.34173438554288	-1124.4295909892187
7	-206.7494177561679	-234.50325951951513
8	-187.61830716696517	-526.4174458284313
9	-106.0300779916591	-328.3002465875361
10	-125.35177048625613	-318.14907747633697
11	-219.91810969421255	-606.5584626447476
12	-57.25536260415807	167.26533710127882
13	-117.71181094201381	-159.2377545465105
14	-86.74251789428246	-134.711707797291
15	-113.43035593719978	-220.82399126506584
16	-42.93517859721644	-105.11536582949692
17	-122.25152068166912	-141.68863165631498
18	-192.8140810000346	-135.2174869478116
19	-78.37843793314474	-137.44958151658713
20	-94.96437852434354	-147.25822497455655
21	-142.41762224104374	-48.1350100212895
22	-126.27208429679817	-91.30857712375075
23	-152.93133658162506	-130.88675689775022
24	-127.20889843103802	-110.23780423676108
25	-120.7922130468701	1.5145176322221374
26	-195.6090642705293	-214.15408049578622
27	-103.60931096767771	-25.244687931865954
28	-9.67183681130571	-198.1717060547333
29	-317.6625685682609	-124.48087022918605
30	-52.510178935224346	-154.6447290563819
31	-114.87561687853452	-150.29913498927795
32	-38.04905248293355	-130.29732209602562
33	50.99198669626395	-235.5950281943196
34	-149.08547483941533	-72.5994192466445
35	-43.88392098095668	-92.67126183821985
36	-112.38553331785445	-247.585740726214
37	-60.02728211653374	-357.6977099691166
38	-122.26698408740965	-486.1803050345174
39	-112.59058953877626	-360.2430633933156
40	-663.402914620752	-432.7195010033799
41	-482.1811361856904	-344.46293057345974
42	-272.56063743967513	-381.02702416276327
43	-297.9578230790952	-160.1124051594301
44	-60.44134643075416	-395.5811538507612
45	-92.2917713151318	-325.9362802487553
46	-210.30304891242054	-178.38470484320976
47	-3.837924804836433	-19.55468750034484
48	-196.73714536460506	-144.05078782949198
49	-284.17740774022	13.213680158090483
50	-51.389972096702564	-344.2863959517108
51	-58.1410119508171	-35.045778795208065
52	-76.95326731564812	-308.81550249462
53	-400.079460559222	-347.8064286467743
54	-328.5757156898761	-135.8589073269815
55	-340.9369025692029	-26.246395116329296
56	-32.72714556240781	-124.80918613523723
57	-133.5281393137613	-86.89710337161848
58	-42.85109044017641	-380.4168656463846
59	-237.84467744718296	-333.53196232381833
60	-169.49800459539722	-391.87043410670947
61	-372.4729452616716	-99.98050276314063
62	-305.9345900449481	-453.40536001366814
63	-324.31776094026014	-401.7369840974968
64	-12.171248819453652	-425.03296295995193
65	-319.3060064672455	-413.5868240060434
66	-147.39851107113344	-146.66143603060232
67	-162.91611523733314	-168.70670071235548
68	-303.4258061143379	-115.33059535576368
69	-236.62090724366865	-228.00908451831532
70	-190.874445254735	-586.162023275957
71	-272.47767473124384	-450.3963814136187
72	30.768396864317765	-91.74855270415999
73	-373.06466776588127	-20.646569919405934
74	-107.91425547319987	-460.8796234125767
75	-201.25734247896696	-558.4309974676733
76	-241.86899302643428	-454.07001386448286
77	-227.29394562899176	-128.07632713039553
78	-333.83317781187696	-45.4328244072655
79	-97.9702830813397	-126.02512677538657
80	-66.59635427035936	-259.6952688622581
81	-200.78685937104376	-267.3149794518335
82	-386.1782930271546	-555.1445722244155
83	-589.3714340003395	-224.41682136551282
84	-160.85318519524844	-186.86542330710947
85	-100.65168168252076	-180.86157923764955
86	-418.89676374141277	-547.7952847181946
87	-11.240102565491355	-495.3973073875807
88	-404.8561452053034	-18.644753659528703
89	-509.0166025464852	-120.42437944107867
90	-516.8508648055217	-545.7186958206183
91	-79.34535827642645	-103.9714747722902
92	-416.75765564884665	-117.94289239096098
93	-190.3082849080621	-84.42088115047757
94	-390.9546897381599	-108.34612177230049
95	-126.62200261922355	-605.9368342440796
96	-342.1561453647114	-501.68389991979865
97	-491.08932892445176	-476.44546408801557
98	-389.01129231557053	-512.7278076439848
99	-134.09538106857178	-385.41418767615164
