Environment: LunarLander-v2
Agent: PPO
Experiment: wind_and_turbulence experiment
Parameter: Wind power = 1, Turbulence power = 0.5
Time Taken: 3.7059953212738037 seconds
Episodes: 20 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-177.94630218863196	-395.8916606186862
2	-351.62650689125326	-445.52332629492724
3	-41.17499401018867	-734.4198845530839
4	-610.9753175635133	-680.3258740475598
5	-93.73390315856898	-512.9107902068429
6	-238.8423445872258	-769.8890812626955
7	-559.10897046519	-449.5566866199237
8	-76.401918705746	-500.1346627531752
9	-378.8477150564058	-311.11612730810464
10	-476.4706803955699	-511.18256155738857
11	-273.00270646447314	-211.35107817350763
12	-92.8133699302045	-424.5854954891736
13	-463.52695368026804	-332.9805143937622
14	-150.14131873093172	-348.41657695195806
15	-419.85666096111817	-196.90092822251017
16	-403.39991103610004	-338.68185702597816
17	-224.12139547949624	-147.61550910701067
18	-101.18757880461204	2.1899581169139095
19	-80.97358685642247	48.006921095882596
20	-126.58768690970743	237.11760822233163
