Environment: LunarLander-v2
Agent: PPO
Experiment: wind_and_turbulence experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 21.086503982543945 seconds
Episodes: 203 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-151.4982461616692	-872.9106990920457
2	-195.99969967093622	-577.281126005061
3	-78.45791589801019	-439.2580294291276
4	-648.8993265700893	-1162.273508391204
5	-208.42773223928768	-791.1966272969009
6	-496.81651132274186	-369.7670383272281
7	-446.68418828458084	-348.9788763690292
8	-365.4762924550852	-644.6958714006555
9	-83.17372819624424	-257.1990524879045
10	-567.0492787168533	-154.59759079425834
11	-421.7058854600847	-522.639400445052
12	-345.9617264997831	-857.9189776898816
13	-205.77103780932026	-777.5394664884773
14	-267.29527730079894	-336.38988365105837
15	-460.52553721895214	-483.1673500028397
16	-631.1960126331386	-737.4059294028951
17	-154.4761097084933	-841.564888017138
18	-356.9935104409903	-598.678547809626
19	-432.2156999022532	-891.6181690044323
20	-319.78590244555363	-409.1253180976426
21	-271.7850967537097	-602.4779225227553
22	-216.38618583883033	-640.8168631063431
23	-473.4329393314881	-923.0720106718622
24	-403.9912584357901	-821.7843107669096
25	-526.1592329334019	-541.485953510188
26	-545.519742810948	-688.0239339306436
27	-225.3033567112442	-827.279752058421
28	-84.97805349490592	-602.7045664353785
29	-417.23471286874235	-736.035170598739
30	-382.8404779237186	-637.400530420721
31	-595.9784761020886	-758.0438115450916
32	-166.40585781475323	-241.1212918283286
33	-203.29590672066945	-794.2174418419849
34	-154.64830418158363	-699.7004379313101
35	-120.56071783346783	-802.4858060859577
36	-725.0376209497329	-779.0748536621734
37	-329.67236248008044	-1006.0479286882997
38	-667.9171419125151	-620.8462150593559
39	-370.14137573243937	-947.6580881287439
40	-309.14498430405365	-923.190118522871
41	-396.7714689831321	-791.556037406908
42	-875.8231137470978	-826.9065058631952
43	-721.9439092894099	-1646.6094327499507
44	-524.168310517998	-696.0356771764658
45	-460.6108340178265	-861.5515156138406
46	-313.9207111959598	-562.7555797638524
47	-718.8736779548029	-716.7665117038532
48	-543.6428077884932	-531.5173233101177
49	-835.9337942529596	-827.9555794637241
50	-537.7830089870868	-628.3632135660384
51	-585.4664876033269	-1091.8172980098534
52	-827.3527076132668	-857.6665844190202
53	-703.4654894701667	-853.2431032392929
54	-584.4272421543299	-517.121577948216
55	-540.1222921460535	-552.2152544568967
56	-524.7208497425654	-638.4970918633475
57	-636.4152958742676	-849.2137278189512
58	-590.203366425028	-665.0596773608208
59	-537.3454080803408	-808.145320924414
60	-776.3844938342514	-1412.082708623415
61	-916.1105363959869	-669.2315164383326
62	-501.59389825364855	-785.4218883395849
63	-1437.269554303915	-741.4444759282368
64	-677.4397109072614	-754.1129421879106
65	-841.6979300614737	-797.3744781495602
66	-702.779616940255	-806.1673934311319
67	-733.5208870092094	-626.2384869318084
68	-751.2802157377498	-622.9052035147475
69	-765.4582017412198	-801.9687564467795
70	-832.3269815441548	-596.6863691056423
71	-741.5950659171386	-703.278502230447
72	-353.67112061999387	-733.9251575617777
73	-789.0965358648682	-991.7633563803244
74	-876.5967860816586	-647.3207712104813
75	-705.1359809337553	-632.8829675722545
76	-861.638493074047	-757.5096333816266
77	-686.003605684091	-538.785074928267
78	-729.4390852908181	-790.9065522504377
79	-578.5239048574123	-722.3884904070579
80	-755.2253045396687	-837.6200660832981
81	-391.17620125591515	-910.1660890091912
82	-1114.7404457121897	-923.1140446644882
83	-812.7502321011333	-982.8705311558782
84	-503.41397889957744	-438.18434467464397
85	-832.5875260984602	-1004.1670680458341
86	-1002.5678508410797	-737.9239750393747
87	-672.8720852069547	-455.47579856419566
88	-615.4913736473842	-922.0144202110303
89	-650.1109120695686	-531.212467937203
90	-741.3158781436017	-696.7045128361109
91	-887.5851630895651	-879.560641253007
92	-598.8012418587022	-615.2342816868544
93	-639.0087771757459	-780.0440530045157
94	-820.9698239621713	-415.83750893761743
95	-633.5426111964965	-580.8944678641326
96	-715.5926317461701	-790.4915674221
97	-425.8892372619437	-347.33134272671714
98	-650.2848537922712	-822.3408158537842
99	-468.22508155617663	-677.6937279890635
100	-527.2682036246746	-989.2978642841597
101	-750.2424319858925	-649.6292207135708
102	-761.9433560397566	-1015.9207209081561
103	-800.5429775764231	-879.0081806230993
104	-301.1443110127336	-1456.3083501594342
105	-377.77930907917	-314.6659727389625
106	-755.6557823914595	-843.4665292128763
107	-428.86788344218525	-801.8922059730686
108	-434.5020408182808	-692.4875127620908
109	-808.065672382074	-864.9728441349486
110	-306.830892411206	-756.1812395069961
111	-722.393890603485	-2031.231252953889
112	-820.0527466493515	-780.2775057908523
113	-581.7408646978873	-283.4189225330482
114	-559.672491615132	-522.0484004680638
115	-775.0384073427659	-543.8494871683836
116	-560.7952873932727	-1179.955768708833
117	-534.8678556527652	-621.2023756554927
118	-804.9978762974365	-511.594153008744
119	-682.6445528842743	-644.3404213854029
120	-504.87542447991177	-539.0003849233876
121	-797.3693165077723	-696.9299635899106
122	-464.770907283923	-603.8042839541168
123	-571.4610586189389	-832.3008761036745
124	-739.8631873664359	-474.89567093982106
125	-696.6641896543977	-470.890815673182
126	-257.37522742507167	-564.1584212747795
127	-262.748025569157	-790.2219081534626
128	-765.7093354990876	-415.9182755868461
129	-530.5991553691538	-703.1852637096904
130	-651.27882109489	-699.828298565487
131	-492.4313292302137	-394.092480350019
132	-282.9424009413977	-612.4333991422835
133	-428.05633092301076	-660.8587717150494
134	-796.15113186663	-833.7632968601757
135	-692.8332642030441	-472.21357131025565
136	-692.020281047609	-773.6187131942092
137	-752.7711233218585	-743.4944246164747
138	-666.2297492482176	-845.7446030531195
139	-611.3281403933593	-671.3126637392954
140	-460.56317858272564	-631.4314494482
141	-620.8527897689617	-732.7504430511423
142	-476.4417278281402	-589.1904355998271
143	-628.5961942356716	-655.2717361566214
144	-676.9176892467285	-842.1072826526635
145	-678.8368924402495	-738.9126075692016
146	-364.3880154884185	-517.7595523622504
147	-480.1821118860872	-776.8845805876696
148	-678.2586842051174	-596.220068495024
149	-623.3802944993189	-861.8921161244806
150	-708.5902610922384	-823.7830287621589
151	-315.53023107439225	-764.4453596606362
152	-234.50066990948972	-691.3190914465429
153	-749.8323729587356	-677.9996622364903
154	-409.8105014239134	-709.3403118542216
155	-501.7276124593995	-698.2383127969244
156	-364.08237169532936	-857.1355085670449
157	-499.19441943684257	-694.9702224640447
158	-329.5686131287521	-670.4076370350804
159	-659.7011913194724	-319.87804265385876
160	-484.1011111180711	-823.1268855784039
161	-97.46371303908907	-593.0546183753107
162	-514.1497956380455	-559.8129569645378
163	-477.6342043934363	-609.79456457844
164	-841.7008494607959	-557.6764327287749
165	-475.14140001466694	-749.9426605768518
166	-193.86939723642047	-813.5129745553768
167	-298.38200914577146	-786.9403779405477
168	-259.4136704605513	-645.2477954820737
169	-634.3343475935791	-416.08630269970985
170	-201.42147591849795	-894.0374801890163
171	-639.5033226493632	-919.3288767367251
172	-265.37869465525705	-703.1491984674744
173	-752.0465747937169	-257.0225320735924
174	-306.2196032270391	-707.6162659814092
175	-208.3806496126003	-298.0391669624581
176	-4.217163600656491	-584.5003138939716
177	-284.0746867200828	-476.2050426595109
178	-150.38897931447076	-632.8113261134083
179	-515.4152741551081	-585.4661214828042
180	-159.69238369598068	-738.2268345550701
181	-626.2969301974349	-741.3654427031149
182	-81.98996799239879	-411.07612658388797
183	9.493839118654392	-237.25088324096606
184	-650.0584211336388	-150.83814851916284
185	-153.31549151419574	-220.40651526719589
186	-343.28836333676657	52.698123662349474
187	-42.53829347381995	4.143793527678213
188	-140.35835818963923	-314.34744776346554
189	-120.92652062697857	-180.83830489812556
190	-153.86418271821913	-57.22952624072839
191	-227.50152957020268	-99.4312124663906
192	-63.853151653726584	-321.1060303300743
193	-12.089597886111989	-552.2303251185431
194	-229.6021214576649	-326.3879813580787
195	-161.95565466246046	-349.7806615433899
