Environment: LunarLander-v2
Agent: PPO
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 1134.2466690540314 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-488.9524320781296	-595.9426593230804
2	-292.6438973408622	-1670.058586655303
3	-479.6803300394154	-1563.3786669909646
4	-337.3939815048291	-550.4844269586345
5	-207.63491008281363	-419.9261239850654
6	-529.2620205906908	-122.3098584454767
7	-263.18990761530904	-401.5236225479068
8	-434.3898475324505	-595.0933793136271
9	-121.12897093881368	-682.2706315507835
10	-82.74324367625151	-422.82186503053236
11	-470.28524744916587	-590.3985454133472
12	-142.7462888603544	-667.0336719725924
13	-613.9791948001538	-818.9635051356607
14	-475.22769263189787	-514.8207122410458
15	-74.48740901333491	-761.2245543853945
16	-275.55504477201686	-491.6704651313007
17	-396.82289331921714	-264.7051545908646
18	-72.24007764867453	-528.8931220129995
19	-526.4864860376963	-479.5380886241195
20	-530.0291516613331	-403.5872047665609
21	-368.7068721029495	-647.820448648763
22	-422.6293827185493	-200.40895192124822
23	-155.91103065410755	-94.63471804757614
24	-522.0300756598697	-219.75038653309042
25	-567.3778777570263	13.941861330689989
26	-71.51206480740501	-507.3832484744228
27	-59.094537351358056	-193.92367891729975
28	-207.43975747401694	-223.7973913514195
29	-156.6532585928448	-80.82564145430966
30	-478.790045346699	-309.3928822609119
31	-433.98865801576295	-105.84086881900694
32	-104.61443334492338	-142.73806933206765
33	-246.35228365821686	-348.285287287462
34	-225.7639497249382	-240.67703074482353
35	-321.14083407677947	-273.5178369113206
36	-202.94016401612507	-116.60198144642138
37	-249.99950287777872	-358.56247817943154
38	-154.625957450226	-260.62359125583373
39	-515.2157731595966	-115.0469768579601
40	-133.68647456909142	-239.11250232019924
41	-130.86627066839952	-114.29665832175667
42	-113.1693542802414	-416.11499516842986
43	-125.35411258066733	-61.33437483309851
44	-334.6099908510847	-146.62907037026017
45	-383.8278213404931	13.528818416377703
46	-233.86344566410577	-248.2281705107553
47	-229.0536339978335	-118.06493891384216
48	-296.5004685377977	-122.90081852274298
49	-154.67116449831218	-111.28992208163808
50	-16.35337270702597	-383.96496652647437
51	-147.64405880160132	-244.70128579928522
52	-256.21943692843263	-218.73101176694348
53	-327.2021275791826	-303.4671746561546
54	-115.20244417016805	-231.45059334137287
