Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-263.3064003019228,-587.2563275916486,-263.3064003019228,-587.2563275916486,1887.3690316677094
2,-131.88333978443265,-339.9068499810252,-197.5948700431777,-463.5815887863369,1887.3690316677094
3,-91.59749559827489,-434.0569250454744,-162.26241189487678,-453.7400342060494,1887.3690316677094
4,-141.25057100528002,-495.3302664983539,-157.00945167247758,-464.13759227912556,1887.3690316677094
5,-319.2714736149811,-545.6904192630348,-189.46185606097828,-480.44815767590734,1887.3690316677094
6,-265.9613551285538,-804.8968875022695,-202.21177257224087,-534.522945980301,1887.3690316677094
7,-365.3046634756399,-570.9771759448015,-225.51075698701217,-539.7306931180867,1887.3690316677094
8,-225.10740478588184,-459.87888966648575,-225.4603379618709,-529.7492176866367,1887.3690316677094
9,-118.37691312547413,-171.37391951027473,-213.5621796467157,-489.92974011148533,1887.3690316677094
10,-50.703660943593064,-71.44160763612423,-197.27632777640343,-448.08092686394923,1887.3690316677094
11,-143.4727737797332,-464.03798040172376,-192.38509559488796,-449.531568094656,1887.3690316677094
12,-242.8987726668643,-102.99011301829138,-196.59456868421933,-420.653113504959,1887.3690316677094
13,-115.87481132362532,-10.516623450144792,-190.38535657955825,-389.1041527315117,1887.3690316677094
14,-176.45849898058015,-59.140418535677526,-189.3905810367741,-365.5353145746664,1887.3690316677094
15,-195.21133229037764,-195.9092125825215,-189.77863112034768,-354.2269077751901,1887.3690316677094
16,-187.480013093141,-184.81559248985604,-189.63496749364722,-343.6387005698567,1887.3690316677094
17,-109.6093668866476,-78.57508324528752,-184.92757922264724,-328.0467230801762,1887.3690316677094
18,-144.4615255444104,124.91647583109139,-182.67946512941185,-302.8821009184391,1887.3690316677094
19,-143.0585401624732,-201.7932049904618,-180.59415328904666,-297.56163271170345,1887.3690316677094
20,-93.55742740456473,246.93986672565654,-176.24231699482257,-270.3365577398355,1887.3690316677094
21,-144.32665198625313,-130.4324326008719,-174.72252342298594,-263.67445654274195,1887.3690316677094
22,-71.76462754096507,-29.889309510902635,-170.04261906471226,-253.0478589503856,1887.3690316677094
23,-152.23371150814762,230.66351669078776,-169.26831873616598,-232.0169295746824,1887.3690316677094
24,-97.10639292347855,17.707311040307758,-166.261571827304,-221.6117528823912,1887.3690316677094
25,-37.21763466704195,10.107215441838406,-161.09981434089354,-212.342994149422,1887.3690316677094
