Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-113.19651817842072,-508.29005227817413,-113.19651817842072,-508.29005227817413,1054.7089750766754
2,-403.95192650882177,-266.59005188292696,-258.5742223436213,-387.4400520805506,1054.7089750766754
3,-223.20554595775485,-438.6407662856718,-246.78466354833245,-404.50695681559097,1054.7089750766754
4,-302.2937187901062,-430.56587398498976,-260.66192735877587,-411.0216861079407,1054.7089750766754
5,-366.5597064928953,-107.43105616572484,-281.8414831855997,-350.30356011949755,1054.7089750766754
6,-169.4364945458961,-56.81190316462024,-263.1073184123158,-301.3882839603513,1054.7089750766754
7,-94.80900290511046,-91.89560314762056,-239.06470191128645,-271.46075812996116,1054.7089750766754
8,-107.825807908542,-180.041450536549,-222.65984016094342,-260.0333446807847,1054.7089750766754
9,29.95164778262196,-130.4231708325718,-194.59189705610282,-245.6322142532055,1054.7089750766754
10,-103.58140163307542,-129.83218674233606,-185.4908475138001,-234.05221150211855,1054.7089750766754
11,-58.964329148763,-298.4160607158892,-173.98843675334217,-239.90347052155224,1054.7089750766754
12,-109.3445940630539,-140.27387612415717,-168.60144986248483,-231.60100432176932,1054.7089750766754
13,-79.13666396241545,-133.59209041548937,-161.71954325478717,-224.06185709820934,1054.7089750766754
14,-318.79774625022844,-123.38234174574211,-172.9394148973187,-216.87046314446167,1054.7089750766754
15,-113.73687596225439,-108.89185165550539,-168.9925789683144,-209.67188904519793,1054.7089750766754
16,-146.2658099335482,-127.87984862447877,-167.57215590364152,-204.55988651890297,1054.7089750766754
17,-154.26064541459908,-95.82374158461847,-166.78912587487432,-198.16364269923918,1054.7089750766754
18,-15.558092667112788,-140.78856532736984,-158.38740180777643,-194.97613840080197,1054.7089750766754
19,-121.1585519252375,-145.5354567643401,-156.42798865606386,-192.3739972620408,1054.7089750766754
20,-164.73985618816505,-157.90255131224004,-156.84358203266893,-190.65042496455078,1054.7089750766754
21,-179.62843251864177,-214.53634215833193,-157.92857491295334,-191.78784959282606,1054.7089750766754
22,-334.6573095700826,-240.39039348927685,-165.9616992155501,-193.99705613357384,1054.7089750766754
23,-403.31661886009795,-181.6833091850201,-176.28147833053046,-193.46167583146283,1054.7089750766754
24,-101.71260881356643,-149.58351802266174,-173.17444210065696,-191.63341925609612,1054.7089750766754
25,-255.50907950515517,-159.5981140949176,-176.4678275968369,-190.352007049649,1054.7089750766754
26,-176.6181810029688,-270.34711837576816,-176.47361042014967,-193.42874210065358,1054.7089750766754
27,-124.25490302743283,-433.58813592280745,-174.5395842204194,-202.32353446443707,1054.7089750766754
28,-66.44101006549535,-301.9905332218624,-170.67892085774355,-205.88307013434513,1054.7089750766754
29,-92.6764242746106,-1579.8680044925588,-167.98917959625618,-253.2618609742835,1054.7089750766754
