Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-102.62717397052509,-389.1006141707817,-102.62717397052509,-389.1006141707817,1833.8977439403534
2,-90.61004580251813,-593.1610903933272,-96.61860988652161,-491.13085228205443,1833.8977439403534
3,-221.71972996168915,-298.31113567704836,-138.31898324491078,-426.8576134137191,1833.8977439403534
4,-235.2500243323625,31.227015602894113,-162.5517435167737,-312.3364561595658,1833.8977439403534
5,-96.16006047215309,-15.902995422876216,-149.2734069078496,-253.04976401222788,1833.8977439403534
6,-147.71348111353223,10.377641803207595,-149.01341927546335,-209.145196376322,1833.8977439403534
7,-182.75524720756937,-61.22537840765224,-153.83368040862135,-188.01379380936916,1833.8977439403534
8,-184.2949011262994,-86.99669752799358,-157.6413329983311,-175.3866567741972,1833.8977439403534
9,-70.27343058179824,-161.5868104576893,-147.933788285383,-173.85334051680744,1833.8977439403534
10,-208.74964800077925,-537.2077158275869,-154.01537425692263,-210.1887780478854,1833.8977439403534
11,-212.96538657350249,-82.91648748617067,-159.37446628570262,-198.61856981500225,1833.8977439403534
12,-169.79780410425707,-57.876281646655556,-160.24307777058215,-186.89004580097335,1833.8977439403534
13,-41.40835066332393,-85.37517201146106,-151.10194491617767,-179.08120935562627,1833.8977439403534
14,-112.3433865651332,-109.2377834738723,-148.33347646253165,-174.09239322121525,1833.8977439403534
15,-89.9576805539015,-13.750261860406013,-144.44175673528963,-163.40291779716134,1833.8977439403534
16,-161.98060266824314,-58.712252332289694,-145.53793460609924,-156.8597512056068,1833.8977439403534
17,-134.9602737386276,30.67449414000103,-144.91571926095386,-145.82832500880636,1833.8977439403534
18,-44.30583660048582,-48.55603966398101,-139.3262813353723,-140.42430915631607,1833.8977439403534
19,-75.59351728017245,-65.68454757983625,-135.97192533246704,-136.49063749439608,1833.8977439403534
20,-42.27300543319128,-366.53434504017264,-131.28697933750325,-147.9928228716849,1833.8977439403534
21,-124.33099999687344,-359.3949651249058,-130.9557422260447,-158.0595915504097,1833.8977439403534
22,-120.85908855223583,-239.73847298555177,-130.49680342268974,-161.7722679792798,1833.8977439403534
23,-137.16677980597052,-44.10506258039939,-130.78680239587587,-156.65630252715457,1833.8977439403534
24,-127.72989184926271,-209.24895768260257,-130.6594311231003,-158.84766315863155,1833.8977439403534
25,-268.73396934704675,-175.94060777343628,-136.18241265205816,-159.53138094322375,1833.8977439403534
26,-91.49136368413879,-436.80583817817444,-134.46352615329204,-170.195783144568,1833.8977439403534
27,-84.94032605156278,-400.4190507932745,-132.6293335569317,-178.72257083526085,1833.8977439403534
28,-103.40287959573159,-423.9407567942126,-131.58553162974596,-187.48036319093768,1833.8977439403534
29,-177.50726803410782,-451.70519920530467,-133.1690397816205,-196.59156443281242,1833.8977439403534
30,-129.43998196362824,-300.0616074181945,-133.0447378543541,-200.0405658656585,1833.8977439403534
31,-70.35222419541978,-428.8728498461689,-131.0223987040659,-207.42225244567493,1833.8977439403534
32,-155.89435608763313,-203.5997907875325,-131.7996473723024,-207.30280051885802,1833.8977439403534
