Experiment 1,Experiment 2,Experiment 3,Experiment 4
-673.2147334,9,-673.2147334,-439.7796037
-2218.149069,9,-2218.149069,-445.8849047
-1655.556499,9,-1655.556499,-534.4154018
-1352.070506,8.75,-1352.070506,-515.8378857
-1163.496501,9.6,-1163.496501,-554.6248629
-1065.849996,12.83333333,-1065.849996,-527.6118821
-984.3357861,17.57142857,-974.6975928,-508.8631589
-938.2670472,21.5,-961.0404457,-492.6550251
-884.3140398,27.11111111,-958.8772839,-478.9416012
-883.4649644,33.1,-895.3488459,-452.1531943
-861.3310809,37.72727273,-876.1358471,-451.779137
-838.6393367,40.08333333,-868.4268216,-450.6466182
-814.9241412,44.53846154,-841.8125239,-453.3709057
-795.0018849,50.21428571,-819.8951684,-457.3966049
-781.1056198,55.73333333,-1000.216843,-446.6718912
-763.0198542,62.375,-985.2851451,-425.5281641
-756.4594518,67.11764706,-992.0501642,-402.7496565
-744.7916644,74.5,-985.2831043,-384.1679903
-738.2742423,80.10526316,-980.1726356,-379.0345686
-724.0421095,85.75,-981.0937492,-372.9571539
-702.4993033,89.76190476,-978.2779003,-356.7316577
-705.9827097,94.77272727,-1000.925935,-358.9926965
-714.9941331,93.39130435,-1033.900027,-348.4285035
-706.7351431,96.75,-1028.378957,-348.3589646
-700.6821633,98.12,-1014.393993,-340.3189743
-682.9532879,100.6923077,-1061.691747,-338.9488134
-678.6743981,102.5555556,-1065.121341,-340.8254878
-660.7883388,105.2142857,-1054.487965,-344.9538014
-658.315188,105.6551724,-1040.109189,-350.1175725
-645.8109805,106.2333333,-1027.016252,-352.0400588
-645.293419,106.9032258,-1010.200514,-357.4828555
-631.3026921,106.5,-1015.520513,-367.2233569
-615.4946257,105.9393939,-1002.630237,-358.932843
-601.8242386,108.4411765,-1079.396085,-368.4452432
-599.3141647,107.2,-1068.146447,-379.6505471
-587.4314647,108.75,-1073.474076,-374.4571973
-581.088559,108.027027,-1076.748114,-384.2542
-576.5335593,108.4210526,-1059.510149,-391.8194223
-566.7562335,109.6923077,-1056.051227,-390.6971077
-570.7260536,111.675,-1057.252027,-399.6125023
-565.5931529,110.6585366,-1042.345591,-394.813836
-560.7655336,110.4047619,-1032.408528,-399.3283275
-552.1529331,110.9069767,-1058.659271,-405.5088712
-545.099186,109.9772727,-1048.864741,-402.9020347
-536.743035,109.6888889,-1040.061086,-400.487016
-529.1918878,109.0652174,-1034.6036,-397.9094192
-520.8475672,109.0425532,-1031.123137,-404.364075
-510.6105138,108.7708333,-1029.837119,-403.1646801
-506.1155237,109.1836735,-1017.501856,-403.1947707
-498.2074019,109.64,-1020.377369,-411.3495579
-489.3919922,108.8431373,-1014.809469,-421.3695768
-482.1231701,109.2884615,-1006.378589,-432.0187332
-472.0590367,108.6603774,-998.9962565,-430.1232935
-468.2108245,109.3888889,-996.4014476,-425.6618513
-461.8488758,108.9818182,-993.8242162,-432.8102462
-462.6134262,108.8392857,-991.2635641,-431.806826
-458.784878,108.3508772,-993.2863178,-440.3429165
-458.7245897,108.2586207,-987.875571,-436.7141469
-457.3429308,109.0677966,-996.0197405,-446.8842643
-448.6440856,109.65,-991.3811966,-454.5408006
-447.9844816,109.0983607,-996.3047503,-454.1297039
-446.4635119,109.5645161,-994.2157876,-461.1486427
-440.3850364,108.8253968,-993.4469516,-460.0457117
