Experiment 1,Experiment 2,Experiment 3,Experiment 4
-405.7491858,17,-625.6556389,-544.9251923
-478.5863065,13.5,-693.8002904,-525.0289654
-467.7020253,25.33333333,-670.7341275,-622.4614675
-545.579248,21.25,-662.6289542,-638.4501313
-650.6754297,36,-597.6536634,-644.2263426
-659.0047146,39.83333333,-563.4692159,-622.3138746
-643.1091852,42.42857143,-555.4178544,-618.5875117
-615.9202423,43.25,-535.0082467,-598.0098219
-639.0162927,44.33333333,-517.1435329,-570.8986587
-629.683732,41.5,-532.8620552,-557.8183594
-621.9118425,38.63636364,-514.7562937,-542.6549536
-689.8486589,38.5,-524.7552142,-546.2030487
-646.9869244,36.61538462,-527.3339697,-542.9309127
-637.1477209,42,-524.23112,-554.0585902
-603.6302381,41.26666667,-523.8444323,-550.8068061
-642.1969698,42.125,-517.4911065,-552.1640325
-666.2689139,43.88235294,-503.6633422,-539.9251819
-672.9622909,44.55555556,-501.3743678,-538.3930596
-706.5727553,45,-497.1378714,-536.1494941
-762.1236824,43.6,-497.1352276,-529.0987826
-762.157834,42.9047619,-496.8270124,-526.9143905
-756.9974465,43.36363636,-488.6983446,-527.1037576
-728.1589983,43.04347826,-494.637377,-528.2803111
-752.3780583,43.58333333,-503.9050923,-522.7140709
-744.3341823,42.96,-502.5861852,-521.5357425
-744.0282886,43.96153846,-496.931933,-514.8282581
-721.988966,44.85185185,-488.7999261,-505.0293037
-717.8937695,44.28571429,-490.0460144,-498.6367788
-722.4453541,48.06896552,-474.5768362,-492.5621851
-720.2409826,47.83333333,-461.8604419,-490.0365248
-774.341269,47.64516129,-454.6231637,-495.8173056
-816.2018571,49.53125,-454.3155607,-492.2984885
-806.4106733,51.33333333,-463.637901,-489.5277652
-805.7426194,51.38235294,-462.4954055,-479.6979763
-800.8954824,52.31428571,-465.0938894,-479.4044871
-806.3517115,53.11111111,-472.4709745,-479.8849104
-808.0099339,53.54054054,-479.873488,-479.1415298
-807.0012432,55.52631579,-476.1846942,-489.1759259
-810.3614634,55.46153846,-465.6861629,-493.8878042
-809.8826079,58.85,-463.2645341,-489.1813941
-807.5153129,61.63414634,-462.1884977,-496.1475659
-828.4380618,61.33333333,-459.2376639,-502.335154
-822.4591083,61.74418605,-448.8763297,-501.7591365
-822.8750744,63.13636364,-448.0779485,-501.2961907
-825.0776484,63.73333333,-447.9102285,-494.0780577
-831.6014551,63.52173913,-438.8162706,-496.2296802
-846.8949275,66.17021277,-433.8040586,-495.6631152
-846.8425536,67.1875,-434.0592493,-499.8920465
-845.5408008,67.12244898,-426.9713212,-497.9670722
-849.2495626,66.98,-425.5457892,-492.5015262
-848.9165392,68.31372549,-421.7236318,-490.9257536
-856.6953834,69.75,-422.3637993,-491.1940023
-852.5206362,71.0754717,-417.2470601,-495.7000238
-848.1258221,70.61111111,-413.2473657,-493.7496856
-841.3775146,72.65454545,-412.0875589,-497.3349854
-841.4924083,72.64285714,-410.1698654,-539.7498855
-845.9143978,73.05263158,-409.8530729,-541.6875627
-845.3800717,75.01724138,-407.2179484,-549.5188716
-838.5225317,75.01694915,-405.1561404,-552.8302639
-837.1978455,75.11666667,-405.4819161,-559.883879
-838.836404,74.83606557,-404.5203147,-565.8573377
-841.8593588,74.59677419,-403.0278291,-575.5515733
-852.8812029,74.79365079,-407.6676282,-573.3175426
-847.007394,74.34375,-408.2974199,-576.2037152
-856.6067571,74.30769231,-407.0480698,-608.6151567
-852.1863834,73.93939394,-406.2415385,-604.1961757
-853.8220037,73.67164179,-405.3469905,-597.9517549
-861.3755733,73.35294118,-411.2784625,-597.7768171
-860.4683748,73.24637681,-415.4251701,-660.1834884
-863.8321384,72.8,-427.0069206,-673.6299893
-860.6914548,72.64788732,-427.0826016,-693.5386296
-857.2713712,72.66666667,-429.5370322,-691.0517144
-860.6902218,72.49315068,-431.6929962,-685.1561034
-862.6231596,72.12162162,-430.6928349,-699.3285727
-857.1688139,71.77333333,-433.6664344,-711.3148327
-856.0928344,71.56578947,-435.3587501,-724.0098479
-859.6308987,71.46753247,-436.27252,-721.3583919
-854.9066455,71.24358974,-440.2896333,-716.2824695
-859.8269619,70.91139241,-438.0536462,-712.089659
-860.6078453,70.875,-442.5043976,-706.1241212
-864.5348906,70.81481481,-441.9254491,-732.4600705
-859.5045812,70.7195122,-444.351683,-728.0339742
-858.5376774,70.8313253,-444.9408958,-723.5173794
-854.4636436,70.53571429,-448.4976103,-730.7219487
-849.6397232,70.18823529,-450.2069384,-726.8033325
-849.3310254,69.81395349,-452.9825225,-733.7293645
-850.6135707,69.5862069,-452.6517871,-760.9529513
-845.3392302,69.25,-454.2402419,-767.5652643
-842.7015908,68.98876404,-453.6087916,-786.5879262
-840.0981991,68.68888889,-452.9748029,-791.6573075
-836.3784514,68.58241758,-449.3395587,-801.3374765
-837.1471921,68.38043478,-448.5884198,-814.233749
-832.2566768,68.24731183,-447.7474396,-819.629883
-834.8055886,68.05319149,-447.3833915,-813.9269048
-861.2963064,67.86315789,-447.0273356,-818.3113303
-853.630885,67.60416667,-447.1761106,-825.5623622
-853.2469146,67.41237113,-446.9252563,-835.379646
-852.5150987,67.33673469,-449.5662702,-847.6309977
-847.5825206,67.32323232,-452.0510462,-853.3312057
-846.1873858,67.29,-454.4759734,-849.739286
-847.945078,68.02,-453.467291,-858.0516068
-847.4417344,68.5,-448.9892858,-872.2649453
-847.4004805,68.71,-444.8370432,-869.2027243
-848.6402791,69.43,-440.6086777,-883.4047553
-845.3805714,69.37,-440.2950094,-896.0430719
-844.7173861,69.5,-438.5663338,-899.0493238
-874.8072014,69.96,-436.2381346,-898.851962
-875.1645983,70.59,-434.6721543,-906.2407628
-875.8324833,71.43,-432.3397682,-921.5553989
-877.6855795,72.87,-427.4914459,-922.0935804
-878.5855583,74.77,-426.7895071,-924.3717042
-871.8520857,76.4,-423.1492229,-943.6830946
-875.8103091,78.26,-420.6225822,-944.2762422
-876.7329115,79.14,-418.51973,-941.8223444
-896.8215994,80.83,-415.6591743,-951.2152283
-888.2531942,81.04,-414.5104463,-960.6164217
-882.0152802,82.09,-414.6026969,-962.915982
-890.7870867,82.51,-413.0408784,-962.8380443
-889.4119981,83.98,-412.2243167,-967.2108288
-877.1113336,85.81,-411.1110643,-968.6659479
-883.7355072,86.77,-411.7720749,-972.609417
-881.3602306,88.24,-412.034713,-974.4815341
-907.6384952,88.89,-407.2511943,-974.4366979
-903.3318364,90.33,-401.3958042,-982.2312121
-903.047636,92,-400.8585829,-1005.141219
-906.4077331,93.31,-400.7642593,-1008.712352
-907.3815626,94.63,-400.5835643,-1011.657821
-905.2647118,96.17,-398.2627176,-1013.984064
-904.0504629,96.63,-403.1717089,-1017.59412
-902.3352351,98.11,-403.6597328,-1042.521456
-883.196549,99.69,-409.529997,-1045.303992
-863.4291581,100.61,-409.0607762,-1062.65093
-859.9806611,101.52,-411.238204,-1073.34121
-853.0005193,102.77,-415.1563879,-1083.46098
-851.0933907,103.93,-416.2008342,-1085.878201
-850.7442733,105.12,-415.0178604,-1099.280862
-846.3871697,106.43,-412.9887668,-1104.487427
-842.9877861,107.14,-414.1987198,-1102.00395
-838.7349378,108.61,-418.474938,-1132.400509
-832.8100896,108.7,-419.2806851,-1137.902511
-828.5259752,108.97,-419.7303182,-1137.885357
-819.9700136,110.48,-421.3131977,-1138.044064
-819.5189137,111.69,-425.8642736,-1139.426548
-814.0065171,112.46,-425.2136211,-1142.380225
-807.3664691,113.56,-425.2719106,-1147.713562
-812.6559304,115.02,-429.6288926,-1147.492586
-809.5219341,115.14,-432.4144724,-1152.198105
-815.1178665,115.99,-432.1766797,-1152.611051
-814.7701913,117.35,-435.8822968,-1154.512153
-814.4153793,118.75,-437.7795187,-1160.298545
-812.2476252,119.4,-441.3288973,-1165.520591
-803.1675771,119.97,-443.2063181,-1172.077051
-804.1958473,120.57,-448.1384882,-1178.384881
-801.3150645,122.11,-450.7237048,-1181.181587
-801.5180769,122.28,-453.6563549,-1177.902048
-836.776982,123.56,-455.5577273,-1156.900966
-832.3131258,124.6,-457.5697382,-1165.140371
-829.9733001,124.73,-462.3631354,-1163.442687
-839.2420884,125.98,-465.7820413,-1169.526525
-842.8604849,127.17,-467.0540771,-1166.749189
-835.3329676,128.59,-469.6183763,-1164.7218
-830.054844,129.99,-472.9122412,-1182.881626
-821.2944317,131.12,-472.3435994,-1189.366777
-828.9760564,132.66,-473.1067589,-1193.736287
-814.5218539,133.94,-475.9598697,-1191.521437
-814.3544236,135.44,-480.0623414,-1198.371669
-820.2189982,136.88,-483.8797279,-1205.15232
-813.1170599,138.36,-482.3234993,-1208.093417
-814.9871842,139.7,-484.8276538,-1176.00231
-809.9915295,141.28,-482.3063398,-1166.435852
-813.055564,142.66,-486.3637843,-1150.178424
-810.583733,143.92,-491.598748,-1150.619783
-806.4141021,145.32,-496.6515381,-1164.405837
-800.2716038,146.87,-507.0718653,-1153.313565
-803.4420806,148.41,-519.5116514,-1142.537975
-831.7123939,149.85,-534.8706157,-1136.697855
-823.2372516,151.21,-548.4313404,-1143.695946
-827.6152546,152.67,-555.9400349,-1151.039855
-826.972996,154.22,-557.4757912,-1165.799213
-825.6885319,155.54,-569.2771919,-1169.387875
-820.2632335,156.88,-578.4217484,-1167.600091
-822.5429569,158.25,-574.4101394,-1181.998617
-818.8140515,159.45,-572.3389775,-1189.299055
-823.1315964,160.99,-576.6263289,-1197.488462
-831.1339933,162.58,-587.101403,-1204.043658
-835.7101814,164.2,-602.0006354,-1202.19317
-833.2394837,165.7,-603.3608641,-1176.632163
-834.6502498,167.3,-612.8500271,-1171.999474
-838.5393427,168.84,-626.0112246,-1159.191536
-844.3178605,170.42,-638.336121,-1156.356005
-851.384117,171.83,-652.2484615,-1149.415826
-851.8172018,173.33,-665.8298234,-1142.143803
-857.7914279,174.77,-678.9892726,-1144.537699
-854.390636,176.27,-688.6446316,-1152.073066
-826.4407828,177.77,-695.8999928,-1148.547654
-860.8955542,179.34,-703.5805724,-1144.189997
-863.1633344,180.85,-712.929134,-1140.260843
-864.2075311,182.25,-727.6482129,-1132.758432
-878.4999501,183.59,-738.9243008,-1125.594434
-882.440581,184.95,-740.9028803,-1130.337819
-884.3077297,186.05,-751.1839873,-1130.073574
-886.6298955,187.47,-755.4218441,-1116.518699
-890.7186059,188.77,-765.4504786,-1120.757361
-888.491625,189.96,-769.3490418,-1110.73052
-888.8663464,191.07,-775.8109845,-1097.738591
-890.9090074,192.35,-782.397144,-1101.799649
-864.2124725,193.31,-788.6914738,-1111.812975
-866.5393996,194.19,-793.2393899,-1114.378109
-864.8293446,194.82,-795.9695991,-1100.674867
-879.0701212,195.22,-799.7716445,-1117.211738
-875.5412629,195.22,-801.2111252,-1133.945062
-894.5590714,195.22,-803.2113341,-1115.296821
-899.7460109,195.22,-806.0448714,-1120.362615
-901.8904043,195.22,-805.9391494,-1120.661598
-889.4379234,195.22,-809.0551261,-1116.539739
-894.5685496,196.46,-811.8769231,-1111.616489
-892.9709283,196.69,-815.9980876,-1115.009314
-882.0670487,197.71,-819.5371431,-1115.443181
-891.4044287,197.71,-822.5169476,-1111.033419
-892.2460182,197.71,-824.0797767,-1126.288037
-886.2982569,198.46,-826.2525814,-1121.833513
-889.4068948,198.46,-831.4597395,-1131.396958
-871.838778,199.45,-837.2719336,-1149.484939
-873.1684133,199.45,-844.2937864,-1143.072007
-877.8601784,199.5,-846.4629914,-1119.579666
-877.698139,199.5,-849.1706578,-1120.713647
-889.537794,199.5,-860.251111,-1125.573528
-929.1653866,199.67,-868.9308191,-1143.184656
-931.0004397,199.67,-867.2067414,-1153.110464
-933.0734939,199.78,-875.2655457,-1130.111944
-938.0753477,199.78,-888.2667583,-1126.228906
-947.7457514,199.78,-907.4464214,-1121.172878
-975.1473777,199.78,-914.9936889,-1118.547653
-986.0820855,200,-923.1602661,-1117.400041
-997.1894411,200,-937.9814032,-1121.793755
-998.4632665,200,-938.5286878,-1137.674852
-1006.173043,200,-939.6891901,-1133.538292
-1009.007795,200,-944.9883336,-1136.453582
-1019.17469,200,-948.6009213,-1110.438327
-1020.840525,200,-1014.10671,-1119.319243
-1028.837992,200,-1019.723439,-1122.441953
-1035.264266,200,-1026.067286,-1119.268634
-1034.712218,200,-1055.9446,-1119.772092
-1035.272112,200,-1064.015061,-1128.316883
-1038.308569,200,-1073.396609,-1129.500294
-1030.028364,200,-1092.173413,-1129.360782
-1034.441436,200,-1108.440256,-1131.802903
-1024.347571,200,-1115.226053,-1131.148759
-1028.130488,200,-1128.05824,-1141.97815
-1022.407137,200,-1131.548735,-1141.331099
-1020.846115,200,-1149.303663,-1149.022689
-1028.543466,200,-1169.407857,-1149.263483
