Experiment 1,Experiment 2,Experiment 3,Experiment 4
-631.0948109,13,-489.7518721,-185.5117917
-579.0227449,11.5,-496.8873113,-155.7357033
-576.5551815,11,-619.4620828,-195.4664992
-459.0062896,10.5,-672.6823709,-217.5074712
-400.0364286,10,-642.7669659,-254.7115936
-353.4472492,9.833333333,-664.0109845,-230.4843679
-329.8268501,9.714285714,-619.5967497,-194.1095339
-308.6940917,9.625,-619.1283434,-213.7482895
-290.3657207,9.555555556,-615.5011258,-206.5034631
-277.4602142,12,-655.4566971,-224.8406412
-266.6110752,14.45454545,-649.9967176,-215.6053207
-274.200262,15.91666667,-631.2826117,-231.2394584
-272.4164043,18.92307692,-616.3159453,-242.7215714
-278.4470629,21.64285714,-608.6349286,-252.1385998
-278.8412402,22.73333333,-599.2809437,-259.8661392
-303.9093439,26.25,-614.4187037,-269.5377358
-322.7717238,36.47058824,-617.6303901,-278.473005
-375.1432898,40.05555556,-631.282582,-280.9296456
-399.2133478,41.73684211,-621.7135443,-283.6853521
-401.016087,44.15,-612.8025633,-295.6471965
-405.7015497,47.76190476,-603.8875856,-307.3390918
-419.4406253,48.13636364,-593.5801188,-316.7521337
-420.1456326,52.52173913,-583.9017539,-324.8844414
-407.2769594,55.875,-579.2912126,-339.4600997
-389.924798,61.64,-576.655264,-340.5846305
-376.367067,66.96153846,-574.844162,-343.09888
-364.9097325,68.88888889,-567.3014556,-345.5605092
-356.929267,70.17857143,-559.2875556,-352.1861529
-347.6743589,71.96551724,-555.6446849,-348.9724285
-340.8820786,71.76666667,-546.1816277,-344.0996015
-330.8188155,73.32258065,-542.9360513,-343.4438906
-331.3163538,74.28125,-542.5900294,-337.7717982
-324.9576317,74.51515152,-538.5929933,-336.2906429
-319.4443326,75.52941176,-532.0370265,-334.7264485
-314.2988493,77.48571429,-520.0549337,-333.5833058
-310.6194001,78.27777778,-510.8007616,-329.0095436
-326.6739595,79.64864865,-506.867908,-331.034636
-350.2262733,80.84210526,-497.5598526,-330.3215228
-357.8713781,81.64102564,-488.1435274,-328.0366228
-351.6880098,83.175,-479.3712759,-324.2441146
-355.7867889,84.31707317,-474.5940973,-319.6106042
-361.2103431,84.92857143,-475.474175,-321.5901496
-356.0955573,85.90697674,-468.0170479,-353.4676393
-347.7211288,86.70454545,-467.6283747,-348.1028552
-342.3001942,87.77777778,-459.3987715,-373.3203614
-337.7652585,89.02173913,-453.5736946,-390.3468623
-333.6613478,89.93617021,-449.8672626,-388.4417527
-330.0081746,90.75,-445.0290102,-429.6215964
-327.1186125,91.40816327,-442.7173146,-426.6738268
-323.4791672,91.9,-439.9127977,-428.8809778
-319.8954889,92.33333333,-435.7856672,-445.4939108
-316.2372724,93.23076923,-430.4635928,-477.7839716
-313.3860866,95.24528302,-427.5198016,-494.6425134
-310.2211471,96.2962963,-423.0948558,-488.1977133
-306.9403223,97.23636364,-417.4819849,-512.6593187
-304.0816997,98.08928571,-415.436602,-521.5709455
-301.11857,98.43859649,-411.9432703,-518.0075082
-298.4793767,98.98275862,-406.5710336,-511.7870783
-296.008168,99.28813559,-401.417861,-513.7628619
-293.2568488,99.63333333,-396.3969894,-525.773169
-290.4004913,99.93442623,-396.673604,-538.0981741
-287.1988307,100.8709677,-391.5408896,-545.3767055
-284.764691,102.4444444,-388.0211049,-553.9306013
-282.566004,102.8125,-385.4238968,-562.2451801
-279.9935336,102.9692308,-381.2692764,-563.6600213
-278.2843768,103.0909091,-377.5545401,-565.8038535
-276.337077,103.3880597,-374.296515,-579.2902229
-274.3597858,103.4852941,-370.6721282,-580.068107
-272.3777965,104.884058,-367.1413623,-596.6325105
-270.2873516,105.4285714,-364.9277973,-595.9140829
-268.3173358,105.5211268,-361.0460132,-606.6342759
-266.758484,105.75,-358.9017713,-617.3603862
-264.9192367,105.7808219,-358.5230644,-618.3306304
-263.5830352,105.9054054,-355.5306813,-619.4594604
-265.5086553,105.9733333,-370.0475118,-623.8179513
-263.0920933,105.9605263,-366.6931066,-636.2884967
-262.1693201,106.2337662,-363.0855251,-637.941694
-263.955653,106.3717949,-367.205072,-638.818939
-263.3395025,105.9493671,-371.7658502,-635.2053048
-262.5346713,105.6625,-377.2638558,-631.7340504
-262.4260678,105.2716049,-376.0609313,-644.9721456
-264.2403871,105.2682927,-381.224661,-645.7016148
-265.7154153,104.7349398,-383.3857075,-649.6724575
-265.3903735,104.5595238,-387.3431052,-669.0286492
-265.4909755,104.3764706,-388.7075013,-666.5547474
-265.5093406,104.5581395,-391.2255336,-675.7108374
-266.95522,104.1264368,-390.8192557,-677.548204
-266.943124,104.1704545,-390.1325468,-673.5193741
-269.2605539,104.1460674,-398.9342504,-669.421651
