Experiment 1,Experiment 2,Experiment 3,Experiment 4
-130.777628,10,-130.6713769,-98.220144
-471.6488215,9.5,-157.1543207,-372.0213534
-456.05415,9.333333333,-304.5926875,-415.5603728
-490.3344346,9.25,-388.4444372,-837.9225473
-1123.145183,9,-444.94585,-966.4158329
-1010.932469,9.166666667,-480.829454,-1029.801403
-995.8265384,9.142857143,-514.5492918,-961.6711646
-955.288472,9.25,-539.2083621,-915.0353343
-905.1242102,9.333333333,-557.5515381,-898.6206113
-956.5428533,9.3,-570.2845697,-839.7638031
-884.4161506,9.272727273,-579.8941417,-802.9408502
-811.5731432,9.25,-582.0119077,-782.7887962
-760.6030859,9.307692308,-591.404772,-747.7122844
-714.2207736,9.357142857,-581.9964106,-724.7307582
-684.6997316,9.4,-581.7378448,-690.6114428
-660.2299769,9.375,-578.5838256,-663.6802953
-631.9662415,9.411764706,-577.6569892,-655.2307638
-605.702226,9.388888889,-573.8789715,-632.2602874
-587.5910155,9.421052632,-553.3074224,-614.3337452
-584.0015329,9.4,-548.8976485,-623.6428345
-574.926461,9.380952381,-547.8353528,-609.2393882
-557.6689888,9.409090909,-540.1477922,-602.0538748
-562.1579506,9.47826087,-522.9831278,-601.3736655
-565.4005388,9.5,-518.9904791,-597.9273923
-569.4063279,9.52,-517.8471512,-585.1198025
-572.4905023,9.461538462,-515.9164751,-573.3278501
-575.0205827,9.444444444,-522.0115117,-562.0280143
-576.2692052,9.428571429,-516.738138,-569.377447
-580.060488,9.448275862,-517.2057511,-559.5360987
-583.8696269,9.5,-518.6362213,-569.0745737
-585.7058449,9.516129032,-511.7934559,-576.3000704
-592.2393339,9.5625,-516.8291482,-585.5065741
-595.9545539,9.666666667,-509.7067971,-592.0341269
-601.0449508,9.676470588,-509.800183,-583.0570491
-597.7090635,9.771428571,-509.4661097,-589.1934606
-595.9340998,9.75,-510.3941098,-590.0366647
-602.0538397,9.756756757,-514.9228082,-592.4960715
-607.1531962,9.842105263,-520.098585,-596.2549622
-612.3142403,9.871794872,-517.551663,-595.3881267
-611.1844373,9.925,-520.1359467,-596.9608566
-609.2865064,9.902439024,-519.5973077,-593.0681811
-613.7137607,9.928571429,-521.6014852,-593.6785563
-621.8758366,9.906976744,-517.3789399,-589.993614
-629.6984317,9.886363636,-515.8157374,-590.5785898
-634.4807556,9.888888889,-514.2595158,-590.2943295
-636.1483388,9.869565217,-509.4085237,-588.7384144
-633.4559987,9.872340426,-509.8661753,-586.101192
-632.1181216,9.875,-501.5343915,-581.5976075
-635.1806816,9.87755102,-503.3020495,-579.7365775
-637.1916738,9.86,-504.8160287,-573.1023441
-630.5971464,9.862745098,-499.4828552,-566.992961
-629.5918985,9.865384615,-492.4190191,-565.86959
-622.2282128,9.867924528,-489.1765384,-563.9589397
-617.6416725,9.851851852,-487.260007,-563.0328351
-614.985253,9.836363636,-481.667723,-560.5720827
-609.551097,9.839285714,-477.9031849,-559.6569172
-602.0919864,9.824561404,-473.7491466,-559.8292101
-597.2874706,9.810344828,-473.7947744,-557.8389789
-593.5944836,9.779661017,-468.4251548,-555.7810648
-590.3290159,9.783333333,-462.3363388,-553.1819796
-587.7212028,9.770491803,-458.7205859,-552.7776029
-583.9547525,9.758064516,-458.693663,-552.260837
-582.6370515,9.761904762,-454.8385061,-550.3749336
-578.8810914,9.75,-449.4658777,-551.7176636
-574.6667235,9.738461538,-447.6856927,-552.674428
-572.0190655,9.727272727,-443.0002138,-556.6541103
-567.8323359,9.731343284,-439.8836987,-554.0865816
-566.6836085,9.720588235,-436.9484968,-555.0097975
-566.2959503,9.724637681,-435.2037733,-560.4943425
-560.5211587,9.714285714,-433.5866757,-563.9153588
-558.5806544,9.718309859,-432.5975542,-562.5835862
-556.2670288,9.694444444,-431.1808893,-563.2922284
-553.6216059,9.698630137,-428.4274848,-566.3311802
-549.1962849,9.675675676,-427.9989383,-568.7668902
-546.9858528,9.68,-429.4295325,-571.8465783
-546.8189011,9.657894737,-429.2863101,-575.1353293
-545.1356909,9.649350649,-425.5534504,-579.4483366
-542.6437163,9.641025641,-426.2697034,-582.9655681
-539.8546908,9.620253165,-421.1728712,-586.4577294
-536.8492621,9.6125,-419.3440791,-587.9438898
-535.3614858,9.604938272,-416.7124654,-588.1416252
-533.8627268,9.597560976,-412.9916007,-585.5151141
-530.9908956,9.602409639,-409.0076919,-589.8319765
-528.3773407,9.607142857,-405.2381229,-593.0700192
-523.0030074,9.6,-409.3711153,-590.6797613
-518.6215653,9.604651163,-410.3932704,-592.8616957
-514.161713,9.586206897,-406.3116194,-595.3926678
-509.2711534,9.579545455,-403.1321306,-592.0281707
-505.4048777,9.584269663,-401.7290695,-591.747867
-504.5114197,9.577777778,-398.0383024,-593.7815554
-501.4754084,9.582417582,-394.487772,-596.0794718
-499.303802,9.576086957,-390.5035705,-595.005162
-496.6460618,9.591397849,-387.1746357,-596.1347543
-494.7454413,9.585106383,-384.7037338,-599.3928239
-494.1895243,9.578947368,-382.0811255,-598.6357943
-491.8329253,9.5625,-383.1094569,-599.6911359
-490.6557873,9.556701031,-381.1468429,-601.4847072
-487.8760214,9.56122449,-379.151211,-603.177395
-484.4714382,9.555555556,-381.0267274,-605.1298354
-481.2689231,9.55,-378.6308834,-606.7611002
-482.7622105,9.55,-378.4555042,-615.7110505
-476.2552344,9.54,-376.6313964,-617.0257329
-474.6226864,9.55,-372.0506532,-621.0119109
-469.6917952,9.56,-367.3175571,-607.5007046
-436.4502144,9.58,-362.5740806,-599.9138502
-436.0948374,9.58,-357.7355487,-592.418272
-428.552281,9.59,-352.3108236,-594.160253
-423.7397226,9.59,-346.6206599,-597.089355
-421.9975275,9.59,-340.6200029,-598.4457427
-410.2848777,9.59,-339.2754552,-602.4305064
-411.4958661,9.59,-335.9317202,-601.4878777
-412.2615661,9.59,-330.5317492,-600.6443997
-411.3015214,9.59,-324.6561533,-605.3334499
-410.9657171,9.58,-321.4481518,-608.6251056
-410.41042,9.57,-317.2275131,-610.9680851
-409.7433135,9.58,-312.7330935,-617.5514074
-408.8406178,9.57,-308.2242405,-617.250975
-409.1981954,9.58,-304.4002524,-622.0413272
-408.6402177,9.58,-303.5968371,-626.5567244
-406.2067372,9.57,-300.2751789,-625.3581807
-405.505018,9.57,-295.882761,-628.5416759
-405.4493966,9.57,-293.2071935,-630.6074399
-399.7535306,9.55,-293.1823841,-631.6106107
-395.6135699,9.55,-290.4748893,-631.6414463
-391.1888696,9.55,-286.6458266,-634.1439001
-385.762588,9.56,-282.5996419,-638.8439882
-381.7371,9.57,-277.1618123,-644.0571221
-376.6752597,9.58,-274.8347093,-643.7395973
-372.2113737,9.59,-270.922289,-648.4530857
-368.6759362,9.58,-267.1451535,-646.7200098
-364.5272136,9.57,-265.9522448,-644.4750393
-359.6455941,9.55,-260.9951863,-641.4218642
-353.6002921,9.52,-259.5295178,-639.8884847
-345.9800627,9.52,-256.0334112,-644.5261114
-342.304886,9.49,-252.2956933,-640.8993307
-338.0871471,9.49,-248.3366088,-638.5070397
-331.5671516,9.48,-242.9783954,-633.3358726
-326.0684699,9.45,-237.1035457,-630.5768025
-319.1142977,9.44,-233.9946063,-633.1737054
