Experiment 1,Experiment 2,Experiment 3,Experiment 4
-493.4428111,9,-452.8063978,-489.7518721
-469.091156,9,-449.5042319,-307.268892
-358.9937753,18.33333333,-513.9191587,-451.207253
-315.1527985,41.25,-519.748652,-443.1541038
-279.5212096,44.8,-505.8162904,-451.5080814
-239.7899495,50.66666667,-495.1384344,-465.9859574
-229.9729644,55.57142857,-424.7598758,-510.4487823
-219.5790003,73.625,-390.2204078,-513.310735
-209.7039011,76.66666667,-424.3950195,-476.7768305
-202.4059983,75.6,-403.4265885,-481.8645081
-192.3854578,73.81818182,-384.7496912,-453.8864504
-187.9024925,71.66666667,-371.2424072,-470.1415921
-172.2034762,71.30769231,-358.7699551,-489.7070213
-169.4608939,74.57142857,-335.3311555,-494.763271
-167.9215248,71.73333333,-318.5453291,-493.0902771
-167.5973157,68.9375,-307.5044948,-475.6378976
-167.1049466,66.23529412,-276.7492768,-466.4755096
-166.0283642,64.5,-264.4722961,-447.2319936
-164.8355115,62.63157895,-247.5283818,-434.2841777
-161.056229,60.65,-244.2418009,-419.6448057
-159.5256389,58.71428571,-236.0540223,-407.6778375
-161.5066028,57.09090909,-230.773703,-394.8233622
-160.3533973,55.60869565,-224.2712103,-384.825652
-159.2802059,54.20833333,-222.9111729,-379.3241604
-158.6151586,53.36,-222.9763806,-371.5859829
-160.1521356,52.69230769,-220.3749801,-365.8184039
-160.3792324,52.59259259,-219.5648073,-364.5404495
-159.2474829,52.21428571,-220.0926965,-366.6787591
-157.2597878,51.5862069,-222.8999132,-366.8947664
-155.6454263,50.93333333,-229.4967006,-370.3834112
-155.2731175,51.41935484,-230.6615976,-382.5354093
-153.6938613,51.59375,-232.9713859,-383.1858885
-153.8652789,51.6969697,-245.3879294,-387.1933305
-154.1941,52.20588235,-244.2573123,-394.3131796
-152.2848243,52.77142857,-249.8396617,-398.3933202
-151.0791388,54.27777778,-256.8139387,-399.8789193
-150.3318105,54.45945946,-255.3682029,-403.9458333
-149.8792314,55.05263158,-253.7609932,-402.8237925
-149.4257594,55.30769231,-289.843356,-400.4771475
-148.8118973,55.325,-304.8682579,-392.0092484
-148.790906,55.31707317,-311.6552692,-402.1264532
-147.9983884,55.26190476,-312.6643368,-404.4054366
-147.1611716,55.06976744,-309.71473,-416.6440033
-145.0492806,55.86363636,-307.4589281,-422.1720216
-145.2819811,56.51111111,-306.7145276,-426.1475943
-145.3676211,56.2826087,-322.3291264,-437.6692635
-144.9941606,56.10638298,-329.1661281,-477.0658901
-152.9905401,56.70833333,-359.4627061,-489.9739627
-152.7779342,57.16326531,-358.2081754,-497.2925647
-151.4092707,57.38,-371.844412,-512.0373818
-150.090203,57.78431373,-366.8882477,-507.1691323
-149.7785979,58.96153846,-367.1536617,-519.8806967
-149.6919199,59.98113208,-375.6249005,-524.1792936
-155.6008137,62.57407407,-378.7756753,-534.7394241
-154.6333329,65.07272727,-381.7066445,-532.9964838
-154.8930534,67.48214286,-382.5340072,-531.4494989
-155.0406304,69.80701754,-382.2936833,-541.0193813
-154.7485188,72.05172414,-381.5069021,-538.0879662
-155.3613617,74.22033898,-382.6791953,-533.932326
-163.3816074,76.31666667,-385.7601458,-535.7383464
-172.3036024,78.3442623,-385.3802624,-539.5225768
-178.1804308,80.30645161,-384.341263,-537.4056431
-181.2702855,82.0952381,-384.7643344,-540.5700284
-181.8050021,83.9375,-385.9291874,-539.4709255
-187.3738255,85.2,-390.8409067,-541.8442605
-205.8620498,86.93939394,-391.5403417,-545.4446753
-225.8255787,88.62686567,-392.2259023,-549.0946943
-234.1394726,90.26470588,-393.9256213,-582.3840452
-243.5878853,91.85507246,-391.1641085,-583.0748522
-245.2684509,93.4,-391.6667123,-607.2504304
-245.4101085,94.90140845,-391.3822154,-632.8685588
-247.7175434,96.36111111,-394.5631717,-648.7057667
-253.8031752,97.78082192,-395.7398245,-667.5779624
-258.8026016,99.16216216,-395.5056958,-679.90675
-280.62083,100.5066667,-395.0415356,-684.8014892
-282.5774498,101.8157895,-393.0854335,-699.2094344
-292.7303595,103.0909091,-393.1349126,-719.3683315
-299.1684129,104.3333333,-394.1545394,-755.2659958
-313.0931685,105.5443038,-392.4707084,-793.7345707
-314.1648187,106.725,-394.0485745,-842.5396232
-316.0554823,107.8765432,-394.3695024,-882.4037647
-330.8072192,109,-394.7471424,-901.0080937
-335.6967528,110.0963855,-394.8370732,-925.0299403
-337.8504744,111.1666667,-393.3422131,-947.6410283
-342.0485959,112.2117647,-391.3519148,-948.7933386
-346.9260624,113.2325581,-389.1345605,-948.9088482
-343.4131159,114.2298851,-396.9637168,-947.1066666
-349.641529,115.2045455,-408.0425519,-953.5403837
-347.2428224,116.1573034,-413.3885115,-986.4179029
-345.1897948,117.0888889,-418.4156343,-1005.898962
-343.1938268,118,-420.6183808,-1038.698304
-342.7040037,118.8913043,-420.2918626,-1055.283812
-340.9312063,119.7634409,-418.2757376,-1049.646417
-345.6647375,120.6170213,-416.4261014,-1050.412358
