DQN,PPO,A2C,A2C-MLP,A2C-SU
10,9,13,9,17
9.5,9,11.5,9.5,13.5
9.333333333,18.33333333,11,9.333333333,25.33333333
9.25,41.25,10.5,9.25,21.25
9,44.8,10,9.2,36
9.166666667,50.66666667,9.833333333,9.166666667,39.83333333
9.142857143,55.57142857,9.714285714,9.142857143,42.42857143
9.25,73.625,9.625,9.375,43.25
9.333333333,76.66666667,9.555555556,9.333333333,44.33333333
9.3,75.6,12,9.3,41.5
9.272727273,73.81818182,14.45454545,9.272727273,38.63636364
9.25,71.66666667,15.91666667,9.25,38.5
9.307692308,71.30769231,18.92307692,9.230769231,36.61538462
9.357142857,74.57142857,21.64285714,9.285714286,42
9.4,71.73333333,22.73333333,9.333333333,41.26666667
9.375,68.9375,26.25,9.3125,42.125
9.411764706,66.23529412,36.47058824,9.352941176,43.88235294
9.388888889,64.5,40.05555556,9.277777778,44.55555556
9.421052632,62.63157895,41.73684211,9.263157895,45
9.4,60.65,44.15,9.35,43.6
9.380952381,58.71428571,47.76190476,9.476190476,42.9047619
9.409090909,57.09090909,48.13636364,9.636363636,43.36363636
9.47826087,55.60869565,52.52173913,11.39130435,43.04347826
9.5,54.20833333,55.875,14.08333333,43.58333333
9.52,53.36,61.64,16.2,42.96
9.461538462,52.69230769,66.96153846,22.65384615,43.96153846
9.444444444,52.59259259,68.88888889,29.22222222,44.85185185
9.428571429,52.21428571,70.17857143,32.96428571,44.28571429
9.448275862,51.5862069,71.96551724,38.72413793,48.06896552
9.5,50.93333333,71.76666667,43.06666667,47.83333333
9.516129032,51.41935484,73.32258065,48.12903226,47.64516129
9.5625,51.59375,74.28125,52.875,49.53125
9.666666667,51.6969697,74.51515152,57.33333333,51.33333333
9.676470588,52.20588235,75.52941176,60.23529412,51.38235294
9.771428571,52.77142857,77.48571429,64.22857143,52.31428571
9.75,54.27777778,78.27777778,68,53.11111111
9.756756757,54.45945946,79.64864865,71.56756757,53.54054054
9.842105263,55.05263158,80.84210526,74.5,55.52631579
9.871794872,55.30769231,81.64102564,77.71794872,55.46153846
9.925,55.325,83.175,79.85,58.85
9.902439024,55.31707317,84.31707317,82.7804878,61.63414634
9.928571429,55.26190476,84.92857143,83.80952381,61.33333333
9.906976744,55.06976744,85.90697674,84.76744186,61.74418605
9.886363636,55.86363636,86.70454545,86.45454545,63.13636364
9.888888889,56.51111111,87.77777778,87.26666667,63.73333333
9.869565217,56.2826087,89.02173913,89.7173913,63.52173913
9.872340426,56.10638298,89.93617021,90.46808511,66.17021277
9.875,56.70833333,90.75,92.75,67.1875
9.87755102,57.16326531,91.40816327,93.34693878,67.12244898
9.86,57.38,91.9,93.94,66.98
9.862745098,57.78431373,92.33333333,96.01960784,68.31372549
9.865384615,58.96153846,93.23076923,98.01923077,69.75
9.867924528,59.98113208,95.24528302,98.33962264,71.0754717
9.851851852,62.57407407,96.2962963,100.2222222,70.61111111
9.836363636,65.07272727,97.23636364,102.0363636,72.65454545
9.839285714,67.48214286,98.08928571,103.7857143,72.64285714
9.824561404,69.80701754,98.43859649,104.7719298,73.05263158
9.810344828,72.05172414,98.98275862,106.4137931,75.01724138
9.779661017,74.22033898,99.28813559,106.7288136,75.01694915
9.783333333,76.31666667,99.63333333,106.6166667,75.11666667
9.770491803,78.3442623,99.93442623,106.6393443,74.83606557
9.758064516,80.30645161,100.8709677,107.0806452,74.59677419
9.761904762,82.0952381,102.4444444,108.5555556,74.79365079
9.75,83.9375,102.8125,109.984375,74.34375
9.738461538,85.2,102.9692308,110.2461538,74.30769231
9.727272727,86.93939394,103.0909091,110.8333333,73.93939394
9.731343284,88.62686567,103.3880597,112.1641791,73.67164179
9.720588235,90.26470588,103.4852941,112.0441176,73.35294118
9.724637681,91.85507246,104.884058,112.8985507,73.24637681
9.714285714,93.4,105.4285714,112.5857143,72.8
9.718309859,94.90140845,105.5211268,113.8169014,72.64788732
9.694444444,96.36111111,105.75,114.5,72.66666667
9.698630137,97.78082192,105.7808219,115.6712329,72.49315068
9.675675676,99.16216216,105.9054054,116.8108108,72.12162162
9.68,100.5066667,105.9733333,117.92,71.77333333
9.657894737,101.8157895,105.9605263,118.6184211,71.56578947
9.649350649,103.0909091,106.2337662,119.6753247,71.46753247
9.641025641,104.3333333,106.3717949,120.7051282,71.24358974
9.620253165,105.5443038,105.9493671,121.7088608,70.91139241
9.6125,106.725,105.6625,122.6875,70.875
9.604938272,107.8765432,105.2716049,123.6419753,70.81481481
9.597560976,109,105.2682927,123.8292683,70.7195122
9.602409639,110.0963855,104.7349398,124.746988,70.8313253
9.607142857,111.1666667,104.5595238,125.6428571,70.53571429
9.6,112.2117647,104.3764706,126.5176471,70.18823529
9.604651163,113.2325581,104.5581395,127.372093,69.81395349
9.586206897,114.2298851,104.1264368,127.091954,69.5862069
9.579545455,115.2045455,104.1704545,126.6818182,69.25
9.584269663,116.1573034,104.1460674,127.505618,68.98876404
9.577777778,117.0888889,104.2555556,128.3111111,68.68888889
9.582417582,118,104.4395604,129.0989011,68.58241758
9.576086957,118.8913043,105.1304348,129.8695652,68.38043478
9.591397849,119.7634409,105.1935484,129.5913978,68.24731183
9.585106383,120.6170213,106.2021277,130.3404255,68.05319149
9.578947368,121.4526316,106.7473684,130.1684211,67.86315789
9.5625,122.2708333,107.4166667,130.8958333,67.60416667
9.556701031,123.0721649,108.371134,131.6082474,67.41237113
9.56122449,123.8571429,109.2959184,132.3061224,67.33673469
9.555555556,124.6262626,110.0909091,132.989899,67.32323232
9.55,125.38,110.99,133.66,67.29
9.55,127.29,112.86,135.57,68.02
9.54,129.2,114.76,137.47,68.5
9.55,130.83,116.66,139.38,68.71
9.56,131.73,118.57,140.35,69.43
9.58,133.14,120.49,141.19,69.37
9.58,134.34,122.4,143.1,69.5
9.59,135.49,124.31,143.98,69.96
9.59,135.49,126.22,145.87,70.59
9.59,136.48,128.13,147.78,71.43
9.59,137.82,129.79,148.83,72.87
9.59,139.26,131.4,150.74,74.77
9.59,140.78,133.08,152.07,76.4
9.59,142.11,134.53,153.29,78.26
9.58,142.94,135.96,154.37,79.14
9.57,144.62,137.58,156.27,80.83
9.58,146.35,138.79,158.18,81.04
9.57,148.12,138.79,160.08,82.09
9.58,149.77,139.78,161.19,82.51
9.58,151.48,141.06,162.37,83.98
9.57,153.25,142.16,164.26,85.81
9.57,155.05,142.96,165.38,86.77
9.57,156.82,144.4,167.25,88.24
9.55,158.59,144.91,168.75,88.89
9.55,160.37,145.58,169.99,90.33
9.55,162.04,145.58,170.51,92
9.56,163.68,145.58,170.67,93.31
