Environment: LunarLander-v2
Agent: PPO
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 240.7275595664978 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-122.78792685473556	-656.5419855819043
2	-493.6634755893177	-1812.8963940314677
3	-215.61212438996938	-642.3346827455146
4	-100.94837414512493	-585.9212441389542
5	-493.35036778901645	-635.8968437548637
6	-508.33036893900544	-598.201819340391
7	-410.8683041252549	-1089.9090568163915
8	-571.8216896471348	-694.7109188252052
9	-491.81221440038314	-482.61390701844607
10	-247.50279032800742	-653.0816949755739
11	-405.3658910406228	-531.3147285152638
12	-540.9092737599422	-673.1045531383725
13	-248.32183172956766	-505.8808031202811
14	-600.1100014864803	-957.0242270599543
15	-249.34400851118974	-713.8219379190862
16	-843.0849342772561	-923.1446179081003
17	-443.84053414649287	-796.0205399800195
18	-629.6010329337354	-752.4522182080195
19	-1135.1434750522799	-588.9212197686202
20	-507.4177983717568	-621.6313364169622
21	-10782.801700072278	-664.5036230476704
22	-564.0467996237029	-1961.8418017513566
23	-487.81463515428663	-974.9725502987251
24	-889.6352675943895	-730.6548191704568
25	-782.2128916196884	-2525.8891508009356
26	-674.8337642992393	-880.2709810914745
27	-604.6382773222886	-492.2336059404445
28	-574.85459707972	-621.8760969729785
29	-621.5090843258287	-4073.214348980541
30	-766.3991427369612	-841.6146286039858
31	-462.7253449755349	-926.0533005657412
32	-347.4370336767772	-620.0278767866141
33	-1314.3078218134476	-478.12815168529363
34	-1055.1973536381306	-2097.095878215676
35	-2619.7761836178097	-1175.5768305901113
36	-556.9393950832446	-806.6353856533368
37	-750.5391415329627	-613.2862891430852
38	-738.9918074414519	-845.8275318409944
39	-532.512641452462	-587.8203510984424
40	-827.1050488117769	-651.4681409821882
41	-653.9422570212212	-1169.2912279840878
42	-601.8918963238735	-485.8798962364922
43	-839.7552768768475	-735.7883756077018
44	-635.2092933219357	-712.9544226798239
45	-928.6589419579789	-478.74178850383487
46	-881.5267735100188	-482.12146773439395
47	-882.4976559365474	-630.3617620915627
48	-760.4157421417458	-881.8113681001496
49	-2688.1016364775514	-4000.2979007434465
50	-649.7737171012335	-497.77783930619927
51	-682.9628695573417	-648.5007452021134
52	-727.0990569447285	-566.0973717129305
53	-740.506230005339	-1111.633275822155
54	-518.5612820996923	-546.8437080090255
55	-532.5624179388245	-543.1794221311852
56	-588.4015880415855	-930.0622743541321
57	-846.2625992245345	-2976.9143973121504
58	-494.5657103686179	-793.7784866623664
59	-759.6869643844577	-1254.7444264110395
60	-650.4694601759227	-545.202712047663
61	-691.9944154581779	-512.6846195678181
62	-601.83156001976	-3087.1148324932387
63	-708.363554178537	-871.6831368805189
64	-622.4230963818148	-755.1377203973061
65	-767.1592103216726	-640.9109298603247
66	-562.8248780512865	-1313.4219267708875
67	-811.2540592064647	-1825.682126211387
68	-477.5160610543211	-1028.2753440166464
69	-527.0751702988125	-563.4085505322827
70	-487.0386058966909	-920.2903494207453
71	-978.2720216345899	-1708.7801839173976
72	-632.3060316927921	-1744.3605294016438
73	-545.0800081224461	-594.606284357645
74	-669.265262902467	-838.0078205520903
75	-643.228395872719	-1199.6171259082166
76	-398.05387932835436	-578.366069684585
77	-1207.6274109831975	-534.0629418421363
78	-978.9681960214349	-549.3153344810195
79	-643.8953293620244	-683.1453204397103
80	-553.355128018768	-703.7553248893365
81	-556.68480194163	-2286.3778329913753
82	-724.9150976218826	-1987.3379062277518
83	-489.6975068076717	-911.6241566578593
84	-936.5140190160884	-475.5743292037246
85	-557.1596355969806	-870.0902647010184
86	-471.53470264894116	-537.6905238699371
87	-1427.2465660637604	-492.4644024045185
88	-512.5938940258213	-380.92139758628025
89	-430.29128276984017	-606.1382465286149
90	-405.1354479460961	-1223.4319698723084
91	-847.199656424162	-716.0223479744162
92	-651.0063669752387	-444.56582870864554
93	-1121.8752443398691	-500.55439500808035
94	-1001.7096702509311	-537.1278863601723
95	-1658.1088922524832	-1728.4439248240408
96	-836.7909812197954	-648.6112443442535
97	-459.78069770349964	-1163.0887598740942
98	-730.712364099356	-1625.9579607107162
99	-497.37908771045034	-473.63333130309184
100	-2428.540324891347	-910.0083038046798
101	-402.07352970886916	-607.7091050684489
102	-497.6971352126788	-489.4059636753361
103	-901.6146313254964	-1691.6894674444156
104	-468.4441776018043	-488.2931551520287
105	-539.6894560350675	-1336.7428524503803
106	-1146.4635246432827	-563.2221829240596
107	-3191.873249541832	-667.1458032308632
108	-530.0096052747026	-1086.4373414696586
109	-729.9249542486587	-749.6223782962692
