Environment: LunarLander-v2
Agent: PPO
Experiment: wind_and_turbulence_experiment
Parameter: Wind power = 20, Turbulence power = 2
Time Taken: 1293.9846436977386 seconds
Episodes: 1039 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-86.80337014514525	-480.05171227332187
2	-74.90750040966023	-560.5125361125963
3	-324.48482839509694	-681.5263854252959
4	-480.69802550281224	-562.3069116378238
5	-564.3472576223633	-329.56966880575123
6	-122.29467337537041	-330.7454339828329
7	-516.0704898211188	-377.94311275300157
8	-400.09960358303147	-527.9844193247654
9	-389.2285288340849	-857.149613124387
10	-302.10535412136653	-996.7631279460879
11	-229.1931309362324	-285.399988665533
12	-37.88339093741801	-424.82379922699056
13	-164.75011375471234	-270.48753649118817
14	-342.7265444207002	-255.64376178073775
15	-211.09705715679942	-216.41172465765436
16	-320.81259789646236	-486.2217980316023
17	-195.38125324870322	-384.6974645626497
18	-374.33812638862156	-328.47893420924595
19	-159.9984993746071	-384.0821710683984
20	-83.28298907855276	-769.727894957358
21	-544.5133225158204	-622.8747670368246
22	-232.38520479402072	-371.9254449824373
23	-178.6769816316879	-653.4261302014241
24	-60.5113454811897	-526.3711801478335
25	-69.54734309193759	-784.4595923053172
26	-224.83038227790925	-435.1159040249148
27	-399.0525056577763	-411.1794976133687
28	-274.6913909070753	-244.51912452273885
29	-74.8025097737044	-142.31173635521742
30	-73.2831798419498	-303.39218098977153
31	-45.876490110949746	-238.66266994363525
32	-65.70826503745658	-404.4533599830144
33	-510.65724700979956	-412.9479254880578
34	-246.69636872329866	-383.6897273557046
35	-496.20274510758793	-483.54746227011435
36	-36.74440279854457	-574.4993052010179
37	8.820832144721948	-575.8611041586258
38	-358.05042503830555	-516.8078572031845
39	-24.268764366688103	-764.415281032933
40	-127.67712512697038	-659.0246300244662
41	-262.7892498520661	-896.7279213271647
42	-391.08757568232346	-903.098196738051
43	-120.01526120555637	-1054.8072117935808
44	-435.0588776870159	-1206.0930696106386
45	-464.09773735979525	-1910.401417018448
46	-201.09023298011004	-1044.7395031635047
47	-216.17948602901254	-302.1332741597594
48	-430.26966375336855	-6111.22179553608
49	-268.7109563056138	-4313.977801534378
50	-295.54431983452645	-2866.2461113819068
51	-432.9163284164595	-665.3667856316592
