Environment: LunarLander-v2
Agent: PPO
Experiment: standard_experiment
Parameter: standard
Time Taken: 2768.8626234531403 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-153.43531723974888	-267.8642840256882
2	-101.10682854786549	-183.6372645181762
3	-116.56584262599158	-19.580884060612576
4	-305.7470629596297	-30.935854342936594
5	-77.99335797531836	15.810231766713969
6	-274.2481125829746	-44.85905835547928
7	-73.41127323222707	-294.4510121858041
8	-239.33601557638082	-383.35945678320905
9	-175.99809600375792	-169.8180991854885
10	-165.9915151773764	-358.86725760396996
11	-326.7435373180965	-2807.4954469535605
12	-76.58542746724244	-788.451665685774
13	-64.71361646947064	-429.31323437946173
14	-49.11635894653391	-366.28338549028973
15	-278.17958991902873	-205.51441031269007
16	-250.22176914483904	-217.616518060811
17	-10.27871004506568	-752.7127196908084
18	-62.388128564436954	-1503.9558042197764
19	-268.8181847995585	-378.4664540535965
20	-204.4827543227471	-440.6760465363313
21	-99.4639778869567	-848.4480358659615
22	-65.70194585487067	-971.2850132062537
23	-268.31896177953274	-495.168015702345
24	-47.10491212871645	-562.1988708724477
25	-191.33927399481917	-611.9048455854311
26	-255.1694455397871	-366.2974735972472
27	-92.68078229824239	-644.4521726527103
28	-518.0513716073765	-642.3376355206098
29	-400.6174303712793	-992.6843367892027
30	-150.68562511157427	-494.7951109900113
31	-224.245304382882	-404.50711885717334
32	-455.4980536856294	-451.6300099352432
33	-370.0210951401291	-228.23431223956308
34	-255.5354688665848	-313.1879733690047
35	-113.74903489665338	-463.63317868593407
36	-113.66826807783127	-721.444378126389
37	-177.36537736304325	-370.0791591188905
38	-433.5627176774429	-303.37340558148617
39	-352.72334080074916	-477.2805738513302
40	-208.83318781162905	-356.4033862669883
41	-366.8702829925232	-911.4773408821817
42	-690.4921020207539	-319.62052368951385
43	-798.2446933198073	-1588.9672890282513
44	-644.5261949785368	-263.55465621149835
45	-68.87891400218327	-265.68571215319554
46	-653.3781622824623	-613.3217948134746
47	-719.3131261821122	-352.7400447793842
48	-137.5429036456218	-469.60112342784885
49	-223.10770001839057	-732.8791802116227
50	-749.0072941533757	-283.6211520341586
51	-488.991912224164	-718.839796551677
52	-131.3306122180729	-421.8696508261395
53	-849.014306760001	-543.9261893741334
54	-314.80714384041636	-589.1735529103555
55	-541.6401232160555	-559.0598951952263
56	-552.7858079791367	-919.7744491436519
57	-307.3760022185194	-585.3609483614666
58	-192.7737119794461	-765.609421746877
59	-120.83383145611984	-353.5026450082498
60	-101.81869908057341	-583.4563588824324
61	-281.9045942620551	-701.8171113671115
62	-423.5419721035676	-635.89349233409
63	-219.9745464650549	-545.437146648816
64	8.195701116024111	-230.98404747332643
65	-2.777420449051945	-610.3560990988981
66	-44.80105432774354	-458.1926353262185
67	-46.01806806792932	-541.0317582598273
68	-11.025874139253176	-1168.6568249806126
69	-106.51630036249294	-695.6243029140346
70	-99.2295806208241	-985.824359708664
71	-303.2198852407828	-783.3440506890859
72	2.4648129331664137	-543.5931833990905
73	5.71836273061777	-788.7987171287873
74	-4.302787865647701	-1024.8855579984552
75	-45.262834122845035	-1187.167815784979
76	-18.125873406835225	-530.1112890018765
77	-10.13536991580682	-498.5477312368297
78	-4.664055879719015	-649.1033321359698
79	-19.45400047280546	-1143.4007274107407
80	-42.72664751686305	-1163.575593498226
81	-36.1089385232315	-751.1652439671674
82	-31.218383093207194	-783.2088985641235
83	-39.03175660433946	-825.8749153779471
84	-31.797056874901756	-732.602195637651
85	-23.31471747151015	-850.0233220201183
86	-24.39168974686993	-892.5380989290661
87	-56.41474215599444	-1274.131950097567
88	-30.607600309622185	-1180.5350203631663
89	-7.191487269422723	-1356.7557295476263
90	-91.13916665045542	-1150.2916450539117
91	-860.5491913186571	-1048.3231445994006
92	-735.4509729504096	-1495.7787500568359
93	27.170042677586522	-959.0021449998153
94	-941.794411175758	-941.6426207448586
95	-854.1768920936131	-988.0575607745444
96	-16.789975134596872	-1168.2516849284507
97	-29.83647260904415	-1223.1151207503706
98	25.536439101510183	-1310.3495139334525
99	1.8123014015776762	-1421.390046906533
100	-676.7469979246395	-1296.481188871906
101	-679.6539772778455	-1594.6825148608284
102	-0.5717544617403831	-1344.6673363825237
103	-617.2263661731331	-5781.299500922778
104	-3325.1212903051305	-1910.044104744694
105	-2270.8666945678474	-2743.00302405214
106	-3450.0941844873255	-3434.7535722237917
107	-1528.003412821554	-258.82536758604874
108	-823.9507526523511	-1033.334035174852
109	-651.5575041223026	-1487.680144639382
110	-39.6407176861853	-1285.4642934315655
111	-140.37708439280564	-1189.3847998621093
112	-13.460256938031094	-1277.1170043712034
113	-297.0148487815044	-2926.301826893297
114	-29.88219620401813	-1482.1227985724386
115	75.32850287826193	-1588.7413521457786
116	12.12631571451287	-1687.7887521394682
117	-15.962844823837486	-2681.16904705856
118	29.192835992013244	-1761.0717051238069
119	20.16444221187379	-2519.298443357919
120	-1154.5478059942532	-4582.574091105683
121	-101.64276860581845	-2695.706963822508
122	-45.56802426636368	-3342.5462177297504
123	-73.54837549097255	-7678.1744839229395
124	2.577252777901437	-4412.801977123584
125	-1371.9725808842927	-2866.003091876696
126	-1187.47794980216	-4294.041909990287
127	-1420.6661232746521	-3457.2915618580687
128	-937.0177010093503	-3457.379942543857
129	-447.19224380025315	-3107.271792311836
130	-434.5807090739426	-3396.6113972945573
131	-307.96599364361964	-4508.142866690227
132	-193.41232364159674	-5539.453542778693
133	-116.59593860711182	-6663.206459224538
134	-14.03712751863884	-5064.217580823785
135	-309.0416289635034	-4433.813478493892
136	15.010050587419066	-5760.1261288831265
137	27.58190963062946	-4639.131010530747
138	-5.5196335990175385	-7695.894436299942
139	6.162059592652555	-9922.630752318439
140	63.216050541534464	-2384.2434396048334
141	-68.36023759368388	-1808.8886503367914
142	-32.85789992003001	-1672.397188962766
143	15.825799272935345	-1702.111812471936
144	27.926568121726003	-1667.863066871077
145	-5.085168049490477	-1373.935806079197
146	128.54378031921388	-1237.7974636428307
147	13.714905102872365	-1108.916842297765
148	42.135422235020684	-945.7583591766448
149	13.267801883464344	-1136.9183025430325
150	-24.431697599097046	-1227.1040079428665
151	-15.13874033656889	-1274.0646480239202
152	-25.57846551877834	-1272.8654470402503
153	2.754263691370361	-1227.8052226995885
154	-68.39897891291785	-1065.436157947851
155	-18.905314682265633	-1031.1833761609046
156	-0.6039801473685174	-1118.681293134443
157	72.75750207092156	-1143.2099574723013
158	79.60180248319868	-871.2365772416053
159	44.327642685699516	-1179.6754349786597
160	-20.920299252303806	-848.6835412594439
161	32.53781908376487	-782.2197677009061
162	44.76527214182968	-656.8285517254675
163	54.30392223030647	-683.4108565022138
164	-12.345095716990246	-599.9191573152762
165	-91.18020425822215	-566.688445546881
166	38.72582765767074	-620.4044009321507
167	52.33471734568421	-570.8096580928617
168	55.128383514363975	-537.6697508777341
169	53.210936880648916	-564.7512954816817
170	80.65443473501983	-529.1302593289406
171	35.30864276459377	-613.5668363571677
172	84.17483981739618	-660.1159913546013
173	15.176444653861447	-723.0871891091407
174	71.87019315215177	-857.075081132214
175	99.16330123028484	-803.419876653004
176	7.667699572899053	-874.2094098635953
177	-1.2878245854258523	-876.7848313272709
178	115.46975614168934	-943.4170912662548
179	86.38357074597353	-745.6589880809989
180	92.45660905439209	-1058.6725188888493
181	2.418278278936512	-1005.6271134808292
182	81.6285098117619	-527.5999922320169
183	0.1676857315512592	-944.0715638180026
184	14.730563759948328	-996.3947301560288
185	71.56632486689213	-1140.3961065891137
186	71.98842080181197	-943.6364775648386
187	77.82956853163998	-867.9872347881643
188	103.94657352429503	-958.1584833786759
189	81.22544084440118	-972.7707389882167
190	86.60289023481198	-821.8702644015698
191	34.89119799972856	-966.22400801985
192	82.73573237229917	-835.6297512074098
193	55.73334307780653	-549.3827451159905
194	61.05848521609528	-758.2983230693511
195	-50.52542336000073	-477.85601843063756
196	5.368492850313473	-894.6453853749309
197	143.48293164112445	-764.2768450541864
198	-9.150797254734329	-892.6265320911476
199	89.88852027149618	-1040.0172823990147
200	66.29442723379346	-557.9902902415574
201	93.4596722389639	-986.7351983518578
202	41.809158005200274	-1064.7821267221566
203	108.36080495112003	-966.9956903374308
204	48.620960306222315	-808.3086965560229
205	-106.84982353584239	-788.661830725603
206	51.05662804854762	-851.985829909644
207	74.18498888504172	-390.03432297195553
208	14.917190631957084	-1054.9806289900816
209	-30.496924027313792	-737.9460511075317
210	74.71925025940877	-303.787830664341
211	139.54201305140288	-249.24047976803962
212	84.46552775073512	-168.96040092221256
213	64.90573415546626	-104.8647159772477
214	-12.92518227088948	-63.82669760037023
215	-44.19596111725363	-310.2251477242263
216	-8.56842572535136	-461.66913758783204
217	50.39179276896282	-313.9563347486373
218	-32.554708716812456	-199.22822158841674
219	134.6858968668682	-63.33140401184393
220	130.2066296147586	-67.40474898714791
221	96.6050435471824	-99.7584000954485
222	85.03218763936013	-118.48674602735416
223	87.9831617322027	-154.24751704643663
224	164.39761769241386	-26.659232333030104
225	73.94751150712707	54.46143069907448
226	-6.673023590960014	83.8219381735423
227	107.57222237985218	21.939625212627554
228	-48.50229843867718	96.5309175776163
229	112.12941765525257	212.57769156530713
230	-18.06966841937377	182.8605896937382
231	82.98704922547951	31.544895457776533
232	96.46409195277076	22.401902196938543
233	134.9310107878909	14.95390200955402
234	-30.65649998852311	8.539855701308424
235	-28.18666901380439	-151.71693667265703
236	96.96428460812184	-94.38717447476816
237	-62.37708601549406	-137.91675491766463
238	52.979408382403925	-122.68142446751358
239	191.498833367359	-146.44265607307688
240	-38.76985298238816	-219.33032666197192
241	127.72662572055351	-183.8707293241691
242	121.12513998486624	-50.32710993154897
243	15.718411738833879	-122.5660452600106
244	101.0137878413209	-83.30287564289976
245	105.19077473010323	-114.90664273574633
246	70.28848085828	-72.72739491412246
247	120.65085579356298	-112.9926125593296
248	77.30596987640159	-149.50324813737532
249	46.785859713932446	-63.87578932330787
250	37.682678440261675	-23.13787747630447
251	53.51658619270306	107.03591047753709
252	109.7491701255244	-130.66033505774692
253	115.85367174890042	177.5947066828187
254	76.09329263159009	170.94411318472967
255	110.50013653308802	-87.31380400762632
256	98.83713662744793	-0.062476165508497106
257	91.2636930228838	-119.88482249332826
258	92.82931176014489	178.88515878438787
259	111.73388658000532	75.50152637501488
260	74.05556119076822	169.45570329078743
261	93.28176492417929	33.9381946927995
262	0.2832567495304943	214.3865320909903
263	118.81447136606523	6.675939244838814
264	109.68137220074462	30.486917131116
265	167.33809985509095	183.77360648229364
266	137.2465877748395	75.82530010999517
267	93.80063791922724	167.16068555851209
268	139.0150203651878	205.0422610486351
269	100.07593900003278	97.21698474256442
270	107.14577258527876	49.12740464522136
271	88.60061815863955	117.58147348422433
272	125.18311517496635	82.38285771427915
273	143.88311057769383	67.28920535675624
274	73.02686702986603	181.4907758650175
275	74.90996558608548	172.3517964192513
276	170.89805822469646	140.66052612975386
277	92.88361766839519	84.02253815968174
278	101.71085515102943	-70.48859866560485
279	69.57006499733075	94.30669286196532
280	110.40598835037989	72.60203899137751
281	91.88148186915944	171.6258973001424
282	130.28837559977316	-109.15688906458968
283	128.04935773369778	59.21932819383956
284	90.56570501449055	-67.42769489779502
285	127.2238166348045	126.64430427180469
286	90.74750735503613	49.58040221690523
287	87.97737429951458	-71.45482037249815
288	87.76917756562948	71.19823495911855
289	99.7983063153489	75.70683799872452
290	120.9626905363708	7.609050117327553
291	89.7492592471822	228.81368906133443
292	125.06252039119018	192.99980971563926
293	197.6882134354679	116.08753259644593
294	99.11672974991859	120.28550382700641
295	87.93783730208555	223.8320076887966
296	92.92357670335234	60.471804286536454
297	139.99984434421498	103.04902116388328
298	128.9232288516937	167.40133783555
299	88.2851186835882	69.50591978452125
300	118.36021090138962	-43.187486552847986
301	128.9113942106005	204.64210042935684
302	132.90267650090942	116.99112500680987
303	98.83078561027824	74.11845320001004
304	101.81327576366283	169.60772223847903
305	84.81641036371846	97.0564743331854
306	-38.0183213310692	200.30043658099873
307	140.9620214506076	-35.86358108144431
308	159.08678488022977	85.69574992005226
309	131.80239045632092	69.90668388792267
310	6.304150125066997	38.810298122567765
311	59.26184743963339	101.35561520260225
312	36.454772093810455	-123.18296466801252
313	20.839327289484537	125.27260500791263
314	139.4398609130115	93.14648167366704
315	145.6481584021121	64.27654957697584
316	75.72482642667532	186.2958078906832
317	226.01569160276574	148.58729893326455
318	78.51281709489291	-91.35564876255967
319	74.88720087770263	30.67715342284186
320	142.51621964687922	10.480840921724033
321	86.41260293778325	-137.02144577649943
322	187.93076555589997	157.30520727157102
323	136.26726797221906	-112.37221596481223
324	127.16290634395705	124.38692758762804
325	182.50528690476216	142.57514633107942
326	61.4658847121351	120.96866497291253
327	111.87947118490844	-81.32259962331484
328	56.81963393100624	54.039498395463106
329	134.51068969920402	-22.225398447040263
330	116.05153955486996	-86.65349168942993
331	130.99715309381807	118.40335051303109
332	107.6464460811178	143.17966977803232
333	79.72695370215936	0.7657752150348407
334	-77.68132589818828	-56.46822613185046
335	67.27959895455913	21.332874058066512
336	34.20048026820184	-34.12591228890752
337	124.00003885188553	74.20735612571627
338	27.226872318323178	62.361113745512654
339	-58.671148739872294	-105.77947995831757
340	126.44530955032423	105.8382441784795
341	50.76899871269677	109.99723632838614
342	198.67964912817217	49.685048522959335
343	56.816231393703376	-57.43075971163481
344	34.1171169660181	108.0312237625988
345	130.61019093833283	-164.25377500825874
346	-52.37186707350762	-21.441401039940303
347	47.36380524620952	-18.760028327306035
348	172.23117585018954	-75.27772891044921
349	24.031200318652395	-0.008965087350023992
350	-106.94895906976282	-48.73765957531524
351	64.96872648263351	18.584052488197703
352	181.9880286292754	97.20761522522734
353	106.40364799454014	108.76746332828587
354	95.74330714738336	51.86429937536358
355	99.01679971242739	70.07930376678465
356	53.43619832063328	37.2495060119875
357	101.94010052662283	19.649683068720655
358	127.91663218639407	84.6612807986685
359	90.847576935117	144.55115196646446
360	115.58330547877854	99.134218776168
361	94.72633431987481	62.56215119139499
362	85.260919329586	52.66631869223721
363	96.9903673012421	3.764096567841424
364	32.88822956872132	141.936685909404
365	55.18271792007831	166.98582889992872
366	73.95233473408446	49.81080397921288
367	99.71938326152129	98.75706737235532
368	100.79022623094174	31.26774006076475
369	89.48764046428596	67.80728551298037
370	100.65550412273541	70.49835787989706
371	75.69841019875926	176.73579931936422
372	129.34826028017125	28.467536946185152
373	-46.06412735495152	179.59303865678743
374	68.29316529004875	51.78471335499815
375	70.5673886478205	153.8544519982073
376	149.42111349627413	37.24489129458224
377	81.94891388184062	76.89367879590452
378	146.12058269101493	-119.43641666348226
379	92.54848836290142	203.80178994944686
380	114.04637392181465	55.837434662953854
381	61.336699900688025	104.67159009465504
382	133.5026280276425	17.01379935648775
383	80.35959477287008	101.70175494506617
384	78.79811970012973	50.20515354668592
385	-69.47680734101624	89.39356011792692
386	131.920931696273	2.101657894001764
387	-30.445294488094433	171.25470341437483
388	-50.4828034692231	36.801939402718986
389	62.45189520029535	163.81568195527313
390	33.9884869297271	-7.424497984656919
391	47.80677853635925	44.637959469980935
392	88.80347235659313	118.26985481131612
393	92.87950266362935	189.31847386436243
394	65.63222092449993	43.180609984956185
395	60.60994938369791	-119.42104062701213
396	-34.274694354381424	-18.20345192344706
397	106.85782122683962	-11.311460184108478
398	91.9018263252758	25.445128090683067
399	59.97184461910667	163.81604377907587
400	60.12912226369485	132.5951443255375
401	83.50315375280057	10.335469730907633
402	66.3631513080942	45.59387120659893
403	54.49387884015875	-8.04028055887756
404	84.04264271240353	-37.9663709905628
405	90.72800159129604	16.288031929187408
406	97.89323140217218	-3.0919397185926174
407	95.08953142638983	14.964666536444682
408	146.62477315683677	-15.82633115731614
409	56.868305420107504	-29.30405913162486
410	54.318782298395895	-37.39293103643393
411	74.28333949356069	9.03819933191404
412	54.57947457223896	-19.615117778994584
413	19.36498852073122	6.289905625297234
414	46.133418669192366	-49.706603840171546
415	105.67561983902385	-34.35693125213949
416	28.933553991771724	-1.5237453058693735
417	44.661703815258605	-61.17412843781472
418	91.58025598683783	-54.1744571213693
419	18.384724030511798	53.77931024780151
420	18.252567227180165	15.655295040924825
421	68.46553411642702	-51.221879589901505
422	40.52677248813183	-28.76468324662898
423	51.32578525114727	9.192314076154048
424	3.4466005772776764	-72.46788201620262
425	-33.86306756660302	-49.30812546026262
426	-23.352911105328513	-82.32170943524986
427	84.75038923007874	-45.47453691233483
428	14.257278381083784	-33.264496411882185
429	20.765120978548513	-16.877549287598598
430	62.051649552078786	-31.241302097028875
431	50.49070297795388	4.246221271894847
432	78.65865370302133	-11.619698237714603
433	20.136039053026856	-14.127012508644734
