Environment: LunarLander-v2
Agent: PPO
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 2319.3148608207703 seconds
Episodes: 1479 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-78.67673093836737	-642.2152556151977
2	-330.2756451575976	-102.68232648142877
3	-326.09875722800825	-161.58163947264933
4	-210.98813265601538	-344.8542380630455
5	-313.40819507708125	-336.00933660292543
6	-377.1346343759563	-295.1654497608416
7	-249.2962095267473	-485.4133320489261
8	-110.00720961869129	-221.32777290602002
9	-436.3906564523901	-329.3394555566167
10	-89.74771787481353	-631.9691127086589
11	-285.8724144986419	140.54930475452176
12	-320.9319426440628	-113.4898015101754
13	-208.7972199558386	-427.63348311764406
14	-125.62173474417413	-446.47749888589647
15	-206.64059109918236	-1081.1064041485288
16	-283.7529181296843	-177.76185088455154
17	-367.8939921521402	-365.4037001861158
18	-141.0286892242934	-232.57001546263163
19	-252.9414589040593	-274.9379726689807
20	-413.7909627542544	-341.9233908131424
21	-249.49935608816136	-1259.5160649249053
22	-188.33276858425847	-204.65612123027927
23	-76.58846117812351	-613.2719892665634
24	-273.8964000242577	-2652.4365470103894
25	-339.7859323908259	-798.1383702167047
26	-424.66816078654966	-1381.0565444633241
27	-128.96291126145323	-1115.052840847511
28	-257.8581064788889	-1096.9656053613323
29	-235.61997253592966	-1195.849633193224
30	-187.515574504285	-628.6444895969416
31	-157.25362625682308	-485.5327881936435
32	-176.5936188790818	-404.8438837437273
33	-314.183229979772	-204.33345504640303
34	-235.2612455754786	-145.42598446971238
35	-246.86915840786708	-273.05527311872146
36	-264.07448132341517	-358.2425479838646
37	-83.57928332231114	-499.09124578699965
38	-547.3761079118483	-300.055127854671
39	-369.4241587512198	-349.7515027901434
40	-238.11112846536975	-341.62773450367615
41	-365.3459286278016	-468.1218987349339
42	-276.2026153164239	-550.1237623337339
43	-13.587663803114268	-329.6236329612352
44	-282.8610328562665	-626.5963630885034
45	-125.303548608876	-351.71428772878505
46	-151.83242256340128	-550.5533211178267
47	-90.15599457800704	-673.7427831592278
48	-9.371184300790546	-2091.182786600819
49	-14.885366221169136	-1308.1620757673804
50	12.88154195405238	-2529.3954317992257
51	14.496452664990457	-427.55830289656166
52	-249.09715614745778	-793.8294188389381
53	-217.4646088746976	-645.1522099736563
54	-206.60554692200157	-751.2226929924996
55	-236.9602465922829	-1708.1523480722267
56	-180.71204809843402	-2157.4797667970556
57	-49.91226524706657	-2148.4999759581005
58	3.2067849154022525	-1935.4166562052214
59	-190.49916015279558	-1072.088601021013
60	-175.53139513823595	-622.8939568856343
61	60.00951762224145	-674.0234348209783
62	17.00673066308758	-1196.860799082588
63	-717.9399930098512	-704.675114703741
64	-27.73800372769972	-1512.8712684964876
65	-69.82540621447092	-437.1091806387974
66	-151.87665250684717	-680.423037786897
67	-260.98063579108225	-500.01653204824845
68	-1747.584877045391	-650.6440959347538
69	-1274.0583516576642	-1857.9618854510113
70	-1400.72870173046	-2740.8284334281448
71	-718.3856627324494	-874.9321195753099
72	-752.7446881569441	-1130.4410084527317
73	-488.3181384874477	-664.3817411279467
74	-100.77186347638337	-1258.9923508465924
75	-991.4391610896764	-3731.8563136976127
76	-449.90798681323497	-5911.480902056065
77	-72.42324257015989	-2832.061223715939
78	-239.08009429590186	-2173.873375298247
79	-175.49628172905366	-878.6779094583258
80	-129.340088482422	-2229.9298382262186
81	-146.84484700567836	-2920.3401806033285
82	-23.962235083705252	-1156.735118992195
83	-96.14345352052442	-1881.8405401028392
84	-52.86714020301369	-2529.6823124245934
85	-110.8673244070248	-2285.129877028175
86	-115.84369219709485	-1337.3935667230392
87	-42.36298092385199	-3269.5889001507344
88	-59.07658740227485	-1220.3384244885951
89	-16.307154342987985	-913.6274562202454
90	-34.61089946846714	-1169.301308182067
91	-884.5849512755645	-1503.5988975129017
92	-20.394302245913167	-1031.9946566865651
93	-45.77218361868066	-958.8458801627735
94	-323.4514078119355	-1041.7098274792409
95	-586.9562448497122	-718.4671441856729
96	7.127412330651964	-696.1596293719525
97	-6.736421394001766	-1477.9932154925555
98	-231.90493710317784	-2949.0202284976885
99	-48.55904107290246	-3742.7356555137385
100	-67.8761763976008	-2895.6180497922246
101	-93.27189892941811	-1338.575993089068
102	-13.25639367737601	-1016.3036081093387
103	-75.52980174441647	-1038.9889213255728
104	2.994108816316114	-1381.6792157107936
105	19.5344319252668	-964.7286945372609
106	-40.463731159896994	-1068.6166438172186
107	-53.324458079024865	-2492.3340761545346
108	-2.298697287338257	-2800.7040005828217
109	1.2215327176174213	-2205.1492107345766
110	-1664.4147777426915	-1967.309069134411
111	-1343.1242841680312	-1827.3408937202291
112	-1942.9348583675335	-2146.8449743231763
113	-2383.438972079507	-2380.0870775459757
114	-2571.9937365549436	-1387.551327069409
115	-1635.2045122073591	-394.42629963992016
116	-1113.2559763771355	-1171.5529351477178
117	-1002.3182585712261	-1233.8357077589433
118	-38.176863495371684	-1092.0460452828725
119	-1121.8201664571743	-997.2402640149068
120	61.56027746466399	-985.8519447802533
121	-78.56259716078927	-459.2688444989705
122	48.422573211154194	-848.2303868747354
123	-120.07200359663105	-776.2401437695601
124	26.930794119783016	-854.0007519183016
125	-31.938295649134915	-827.4019467792751
126	-93.25702451324754	-790.9953353380167
127	56.71537118801112	-660.4960945199699
128	-58.67787387907782	-725.7559469646468
129	36.370980681283214	-727.9972376280364
130	66.56182174109946	-740.0275473832279
131	58.157430813180596	-670.1140113235207
132	22.408629839549803	-929.6972158738103
133	-27.12840398409483	-882.0162127418135
134	13.85319027773442	-890.1363728514295
135	7.2613533520625	-1149.7972606057342
136	-59.46314439105842	-1293.3421555744176
137	-25.31932975354026	-1237.9695430492288
138	64.578048553106	-1154.6799419749088
139	29.418049220237066	-1283.9641581721246
140	-24.764949273195512	-1189.6422634372486
141	-10.932470672562095	-1291.9401413062055
142	-31.708253081334874	-1134.8219327788922
143	60.94183938104705	-1204.4309379595818
144	19.401244061939963	-1141.9219001451047
145	46.44483828485142	-939.1711722322577
146	-33.55653836039759	-800.2807965739012
147	97.81988516430886	-736.9996341513116
148	48.17027493282342	-680.5262148012397
149	37.221894094967965	-769.8683202832807
150	43.116470898855695	-670.395568122903
151	23.035636919715614	-586.9563109266203
152	12.619298379302748	-468.41802930587556
153	67.71650678188048	-381.41413863045693
154	63.31160727165258	-348.3631453037562
155	37.81250067111187	-269.030049597829
156	65.61083033199564	-310.20291935212776
157	-28.338908370146598	-327.81741137511506
